onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,7.582067012786865,unsat,3.9433634281158447,unsat,3.896698474884033
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,3.788226842880249,unsat,3.7807278633117676,unsat,3.8836872577667236
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,3.8351707458496094,unsat,3.9733245372772217,unsat,3.9259064197540283
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,3.8524887561798096,unsat,3.9348649978637695,unsat,3.931659460067749
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,3.73612380027771,unsat,3.8389620780944824,unsat,3.8192453384399414
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,3.75630259513855,unsat,3.866628885269165,unsat,3.8612494468688965
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,3.716887950897217,unsat,3.79715633392334,unsat,3.7739148139953613
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,3.705265760421753,unsat,3.7636401653289795,unsat,3.722093105316162
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,3.6525626182556152,unsat,3.705166816711426,unsat,3.709451198577881
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,3.7947046756744385,unsat,3.8496391773223877,unsat,3.8304178714752197
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,3.897249698638916,unsat,3.966559648513794,unsat,3.9914469718933105
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,3.7747745513916016,unsat,3.899883270263672,unsat,3.828132390975952
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,3.8355140686035156,unsat,3.918447971343994,unsat,3.8796684741973877
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,4.074623107910156,unsat,4.200545310974121,unsat,4.206571817398071
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,3.907972812652588,unsat,4.018903732299805,unsat,4.000929355621338
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,4.146395444869995,unsat,4.317137241363525,unsat,4.2671709060668945
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,4.18533992767334,unsat,4.342392921447754,unsat,4.3661723136901855
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,4.310709476470947,unsat,4.46629524230957,unsat,4.460082292556763
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,3.8431146144866943,unsat,3.9312844276428223,unsat,3.9370508193969727
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,3.869706630706787,unsat,3.984771728515625,unsat,3.8983635902404785
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,3.8244683742523193,unsat,3.9253039360046387,unsat,3.8921658992767334
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,3.813087224960327,unsat,3.9408626556396484,unsat,3.9367406368255615
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,3.9410085678100586,unsat,4.097618818283081,unsat,4.038203239440918
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,25,unsat,4.000916481018066,unsat,4.223081350326538,unsat,4.154255151748657
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,13,unsat,4.044098377227783,unsat,4.273054599761963,unsat,4.237905263900757
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,17,unsat,4.118460178375244,unsat,4.252912998199463,unsat,4.248464822769165
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,14,unsat,4.592641353607178,unsat,4.854210615158081,unsat,4.772283315658569
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,29,unsat,3.863421678543091,unsat,4.016807794570923,unsat,4.011374235153198
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,3.7781260013580322,unsat,3.869020938873291,unsat,3.8293991088867188
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,3.8475303649902344,unsat,3.988353729248047,unsat,3.8884992599487305
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,3.8468117713928223,unsat,3.945037364959717,unsat,3.920515537261963
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,3.890915632247925,unsat,4.027912378311157,unsat,3.9997124671936035
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,17,unsat,4.21105432510376,unsat,4.36338996887207,unsat,4.343764781951904
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,17,unsat,4.370354890823364,unsat,4.5272839069366455,unsat,4.549792528152466
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,16,unsat,4.244319200515747,unsat,4.409168720245361,unsat,4.389909982681274
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,11,unsat,4.404578447341919,unsat,4.5768420696258545,unsat,4.565369367599487
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,3.817629337310791,unsat,3.931840181350708,unsat,3.928907632827759
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,3.831976890563965,unsat,3.919696807861328,unsat,3.934035539627075
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable,20,unsat,3.835653066635132,unsat,3.905594825744629,unsat,3.93072247505188
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable,33,unsat,3.8013908863067627,unsat,3.868271589279175,unsat,3.8640713691711426
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable,25,unsat,3.903942108154297,unsat,4.046514987945557,unsat,4.026318073272705
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable,14,unsat,4.06307578086853,unsat,4.205441236495972,unsat,4.215918064117432
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable,12,unsat,4.055029630661011,unsat,4.1849870681762695,unsat,4.178629636764526
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable,16,unsat,4.297834634780884,unsat,4.454819917678833,unsat,4.462158441543579
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable,15,unsat,4.047735929489136,unsat,4.188751220703125,unsat,4.206063508987427
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable,32,unsat,5.102072477340698,unsat,5.399095773696899,unsat,5.343653678894043
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable,24,sat,3.4606361389160156,sat,3.459062337875366,sat,3.472217559814453
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable,23,sat,3.5673372745513916,sat,3.740332841873169,sat,3.6220695972442627
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable,26,sat,1.978520393371582,sat,1.9762518405914307,sat,1.9643628597259521
ACASXU_run2a_1_5_batch_2000_converted,prop_2,random,stable,28,sat,6.197065353393555,sat,30.942932605743408,sat,6.357202529907227
ACASXU_run2a_1_6_batch_2000_converted,prop_2,random,stable,24,sat,1.957190752029419,sat,1.9925477504730225,sat,1.9694774150848389
ACASXU_run2a_1_7_batch_2000_converted,prop_2,random,stable,27,unsat,4.066906213760376,unsat,4.209601640701294,unsat,4.213902235031128
ACASXU_run2a_1_8_batch_2000_converted,prop_2,random,stable,29,unsat,4.059927701950073,unsat,4.340959072113037,unsat,4.234897136688232
ACASXU_run2a_1_9_batch_2000_converted,prop_2,random,stable,25,unsat,4.226714372634888,unsat,4.432939767837524,unsat,4.336426734924316
ACASXU_run2a_2_1_batch_2000_converted,prop_2,random,stable,25,sat,1.971656084060669,sat,1.9687519073486328,sat,1.9794063568115234
