onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
ACASXU_run2a_1_1_batch_2000_converted, prop_1, 2.5923445224761963,2.5349316596984863,2.556305408477783,2.516061305999756,2.578075885772705,unsat,unsat,unsat,unsat,unsat,2.803715705871582,2.7438485622406006,2.6219112873077393,2.748656749725342,2.730121374130249,unsat,unsat,unsat,unsat,unsat,2.578809976577759,2.7380664348602295,2.7588281631469727,2.7520649433135986,2.736962080001831,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_2_batch_2000_converted, prop_1, 2.54756498336792,2.4632227420806885,2.476687431335449,2.5367767810821533,2.5299973487854004,unsat,unsat,unsat,unsat,unsat,2.6250782012939453,2.508387327194214,2.5545382499694824,2.6590542793273926,2.649013042449951,unsat,unsat,unsat,unsat,unsat,2.631415367126465,2.5096218585968018,2.532830238342285,2.594665765762329,2.6421191692352295,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_3_batch_2000_converted, prop_1, 2.61037015914917,2.584968328475952,2.582296133041382,2.5414185523986816,2.5691590309143066,unsat,unsat,unsat,unsat,unsat,2.822355031967163,2.7599527835845947,2.615048885345459,2.6698837280273438,2.733443260192871,unsat,unsat,unsat,unsat,unsat,2.7299015522003174,2.762054204940796,2.629260301589966,2.7963998317718506,2.7565860748291016,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_4_batch_2000_converted, prop_1, 2.6425602436065674,2.5245373249053955,2.594135046005249,2.5881752967834473,2.589522123336792,unsat,unsat,unsat,unsat,unsat,2.7698733806610107,2.648721933364868,2.706934928894043,2.6448781490325928,2.6688435077667236,unsat,unsat,unsat,unsat,unsat,2.5803022384643555,2.684494733810425,2.758838415145874,2.662724733352661,2.6572422981262207,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_5_batch_2000_converted, prop_1, 2.479275941848755,2.467949151992798,2.4994969367980957,2.4740889072418213,2.4836385250091553,unsat,unsat,unsat,unsat,unsat,2.6078436374664307,2.6492812633514404,2.582742214202881,2.5258162021636963,2.6004791259765625,unsat,unsat,unsat,unsat,unsat,2.6130030155181885,2.600752830505371,2.4921302795410156,2.6064443588256836,2.60741925239563,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_6_batch_2000_converted, prop_1, 2.507626533508301,2.543135404586792,2.4982385635375977,2.5188088417053223,2.544347047805786,unsat,unsat,unsat,unsat,unsat,2.6797914505004883,2.6532676219940186,2.5484421253204346,2.6883366107940674,2.6764400005340576,unsat,unsat,unsat,unsat,unsat,2.689002752304077,2.6641628742218018,2.6773695945739746,2.7105069160461426,2.5337512493133545,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_7_batch_2000_converted, prop_1, 2.489555835723877,2.4559316635131836,2.573538303375244,2.455535411834717,2.5408246517181396,unsat,unsat,unsat,unsat,unsat,2.570019483566284,2.644742488861084,2.4648332595825195,2.6276750564575195,2.585622549057007,unsat,unsat,unsat,unsat,unsat,2.6150271892547607,2.572171449661255,2.5801892280578613,2.6191041469573975,2.576115131378174,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_8_batch_2000_converted, prop_1, 2.421994924545288,2.4280142784118652,2.4314217567443848,2.414419651031494,2.390561103820801,unsat,unsat,unsat,unsat,unsat,2.5499565601348877,2.5913803577423096,2.5636143684387207,2.5566065311431885,2.560300350189209,unsat,unsat,unsat,unsat,unsat,2.441141366958618,2.408823251724243,2.5601534843444824,2.4018030166625977,2.523883581161499,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_9_batch_2000_converted, prop_1, 2.417520761489868,2.4325637817382812,2.382930278778076,2.3437228202819824,2.4228403568267822,unsat,unsat,unsat,unsat,unsat,2.4969639778137207,2.526001214981079,2.472429037094116,2.333671808242798,2.492482900619507,unsat,unsat,unsat,unsat,unsat,2.4333267211914062,2.5526881217956543,2.5054142475128174,2.4898834228515625,2.4774463176727295,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_1_batch_2000_converted, prop_1, 2.573725461959839,2.5468664169311523,2.529801368713379,2.5230867862701416,2.542684555053711,unsat,unsat,unsat,unsat,unsat,2.697693109512329,2.5601775646209717,2.6891255378723145,2.6165130138397217,2.6720845699310303,unsat,unsat,unsat,unsat,unsat,2.6312830448150635,2.6676089763641357,2.662660837173462,2.6726393699645996,2.65427827835083,unsat,unsat,unsat,unsat,unsat
