onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
ACASXU_run2a_1_1_batch_2000_converted, prop_1, 1.075,1.083,1.07,1.082,1.093,unsat,unsat,unsat,unsat,unsat,1.352,1.344,1.345,1.443,1.38,unsat,unsat,unsat,unsat,unsat,1.344,1.335,1.342,1.375,1.382,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_2_batch_2000_converted, prop_1, 1.402,1.396,1.403,1.397,1.398,unsat,unsat,unsat,unsat,unsat,1.669,1.618,1.734,1.675,1.679,unsat,unsat,unsat,unsat,unsat,1.691,1.681,1.722,1.701,1.672,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_3_batch_2000_converted, prop_1, 2.802,2.782,2.813,2.822,2.821,unsat,unsat,unsat,unsat,unsat,3.434,3.69,3.688,3.442,3.409,unsat,unsat,unsat,unsat,unsat,3.382,3.337,3.444,3.393,3.321,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_4_batch_2000_converted, prop_1, 1.96,1.94,1.985,1.967,1.941,unsat,unsat,unsat,unsat,unsat,2.465,2.426,2.447,2.53,2.52,unsat,unsat,unsat,unsat,unsat,2.458,2.486,2.47,2.372,2.42,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_5_batch_2000_converted, prop_1, 1.069,1.077,1.085,1.091,1.103,unsat,unsat,unsat,unsat,unsat,1.309,1.416,1.481,1.452,1.481,unsat,unsat,unsat,unsat,unsat,1.286,1.347,1.342,1.384,1.384,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_6_batch_2000_converted, prop_1, 1.342,1.349,1.321,1.322,1.319,unsat,unsat,unsat,unsat,unsat,1.783,1.938,1.792,1.987,1.954,unsat,unsat,unsat,unsat,unsat,1.674,1.726,1.791,1.672,1.642,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_7_batch_2000_converted, prop_1, 0.873,0.843,0.865,0.839,0.87,unsat,unsat,unsat,unsat,unsat,1.294,1.102,1.287,1.205,1.089,unsat,unsat,unsat,unsat,unsat,1.092,1.073,1.042,1.138,1.151,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_8_batch_2000_converted, prop_1, 0.613,0.612,0.624,0.643,0.635,unsat,unsat,unsat,unsat,unsat,0.961,0.976,1.111,0.949,0.904,unsat,unsat,unsat,unsat,unsat,0.777,0.735,0.751,0.774,0.876,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_9_batch_2000_converted, prop_1, 0.678,0.698,0.702,0.669,0.705,unsat,unsat,unsat,unsat,unsat,0.922,0.773,0.735,0.819,0.766,unsat,unsat,unsat,unsat,unsat,0.808,0.787,0.888,0.745,0.784,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_1_batch_2000_converted, prop_1, 1.81,1.818,1.781,1.822,1.798,unsat,unsat,unsat,unsat,unsat,2.368,2.401,2.316,2.325,2.392,unsat,unsat,unsat,unsat,unsat,2.114,2.248,2.075,2.152,2.198,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_2_batch_2000_converted, prop_1, 4.378,4.37,4.346,4.334,4.349,unsat,unsat,unsat,unsat,unsat,5.832,5.392,4.987,5.683,5.504,unsat,unsat,unsat,unsat,unsat,5.324,5.221,5.08,5.078,5.353,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_3_batch_2000_converted, prop_1, 3.094,3.112,3.115,3.07,3.077,unsat,unsat,unsat,unsat,unsat,3.797,3.869,3.884,3.818,3.68,unsat,unsat,unsat,unsat,unsat,3.843,3.674,3.659,3.543,3.723,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_4_batch_2000_converted, prop_1, 1.779,1.759,1.785,1.844,1.797,unsat,unsat,unsat,unsat,unsat,2.463,2.444,2.532,2.359,2.231,unsat,unsat,unsat,unsat,unsat,2.23,2.319,2.303,2.279,2.261,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_5_batch_2000_converted, prop_1, 16.054,16.067,16.121,16.035,16.062,unsat,unsat,unsat,unsat,unsat,19.575,21.019,20.961,20.027,23.393,unsat,unsat,unsat,unsat,unsat,19.595,19.417,19.391,19.532,18.389,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_6_batch_2000_converted, prop_1, 11.552,11.575,11.507,11.538,11.512,unsat,unsat,unsat,unsat,unsat,14.6,14.229,15.092,14.902,13.936,unsat,unsat,unsat,unsat,unsat,13.232,13.443,13.199,13.481,13.776,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_7_batch_2000_converted, prop_1, 86.028,86.504,86.332,86.435,86.033,unsat,unsat,unsat,unsat,unsat,104.524,124.934,108.845,111.129,110.714,unsat,unsat,unsat,unsat,unsat,104.421,114.422,102.139,103.871,109.124,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_8_batch_2000_converted, prop_1, 63.558,63.917,63.74,63.634,63.795,unsat,unsat,unsat,unsat,unsat,89.805,80.375,83.699,87.423,86.839,unsat,unsat,unsat,unsat,unsat,88.498,82.755,90.743,83.793,83.24,unsat,unsat,unsat,unsat,unsat
