onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
ACASXU_run2a_1_1_batch_2000_converted, prop_1, 4.4529,4.3817,4.5305,4.4048,4.5614,unsat,unsat,unsat,unsat,unsat,4.8214,4.838,4.8537,4.8831,4.9349,unsat,unsat,unsat,unsat,unsat,4.7865,4.7207,4.861,4.8561,4.8927,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_2_batch_2000_converted, prop_1, 4.3812,4.4123,4.3061,4.2831,4.3308,unsat,unsat,unsat,unsat,unsat,4.3997,4.4677,4.4954,4.4524,4.4919,unsat,unsat,unsat,unsat,unsat,4.4555,4.4869,4.575,4.5524,4.3491,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_3_batch_2000_converted, prop_1, 9.1092,8.988,9.2957,9.1304,8.8908,unsat,unsat,unsat,unsat,unsat,10.4975,10.1532,10.2637,10.4624,10.3809,unsat,unsat,unsat,unsat,unsat,10.4098,10.3728,10.064,10.1136,10.3805,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_4_batch_2000_converted, prop_1, 8.8163,9.1337,8.9844,9.0304,8.9901,unsat,unsat,unsat,unsat,unsat,10.0076,10.0141,9.9306,9.9294,10.0967,unsat,unsat,unsat,unsat,unsat,9.8415,9.5323,9.9124,10.0811,9.8226,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_5_batch_2000_converted, prop_1, 4.2158,4.2027,4.1961,4.2214,4.2054,unsat,unsat,unsat,unsat,unsat,4.3428,4.6907,5.1421,4.4067,4.6538,unsat,unsat,unsat,unsat,unsat,4.326,4.4621,4.4536,4.3598,4.3128,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_6_batch_2000_converted, prop_1, 4.1536,4.2442,4.2313,4.2154,4.2032,unsat,unsat,unsat,unsat,unsat,4.4441,4.4491,4.4326,4.3943,4.4782,unsat,unsat,unsat,unsat,unsat,4.5195,4.4305,4.2913,4.4693,4.39,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_7_batch_2000_converted, prop_1, 4.0281,4.0057,4.0375,4.0242,4.0512,unsat,unsat,unsat,unsat,unsat,4.1255,4.0912,4.1874,4.121,4.2677,unsat,unsat,unsat,unsat,unsat,4.0962,4.0316,4.0759,4.0419,4.0466,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_8_batch_2000_converted, prop_1, 4.0685,3.9594,3.9886,4.0996,4.0895,unsat,unsat,unsat,unsat,unsat,4.1001,4.2889,4.0609,4.123,4.114,unsat,unsat,unsat,unsat,unsat,4.0883,4.126,4.1848,4.116,4.2527,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_9_batch_2000_converted, prop_1, 3.9477,3.9858,3.9458,3.9987,4.001,unsat,unsat,unsat,unsat,unsat,3.9964,4.0454,4.0872,4.0591,4.0491,unsat,unsat,unsat,unsat,unsat,4.0082,4.1058,4.0515,4.0212,4.0425,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_2_1_batch_2000_converted, prop_1, 4.221,4.2854,4.2323,4.254,4.2877,unsat,unsat,unsat,unsat,unsat,4.9718,4.649,4.8117,5.0284,4.7914,unsat,unsat,unsat,unsat,unsat,4.7075,4.5154,4.5661,4.5196,4.518,unsat,unsat,unsat,unsat,unsat
