onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.4601938724517822,unsat,2.5161831378936768,unsat,2.513310194015503
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,2.3854801654815674,unsat,2.467210531234741,unsat,2.466860294342041
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,2.444185733795166,unsat,2.589933156967163,unsat,2.5274465084075928
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,2.4656624794006348,unsat,2.5249056816101074,unsat,2.5443308353424072
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,2.3264291286468506,unsat,2.411026954650879,unsat,2.4145236015319824
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,2.372704267501831,unsat,2.4608776569366455,unsat,2.5014805793762207
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,2.2570979595184326,unsat,2.4023962020874023,unsat,2.376383066177368
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,2.2827701568603516,unsat,2.3467674255371094,unsat,2.316107749938965
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,2.1580970287323,unsat,2.290942430496216,unsat,2.287761688232422
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,2.3098649978637695,unsat,2.445594310760498,unsat,2.452446699142456
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,2.4740231037139893,unsat,2.5789871215820312,unsat,2.5397279262542725
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,2.326601982116699,unsat,2.4894371032714844,unsat,2.461820363998413
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,2.411452054977417,unsat,2.5084969997406006,unsat,2.505704164505005
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,2.6836318969726562,unsat,2.8016393184661865,unsat,2.8078341484069824
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,2.451805591583252,unsat,2.6146299839019775,unsat,2.555276393890381
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,2.759596586227417,unsat,2.8756468296051025,unsat,2.8701722621917725
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,2.8347275257110596,unsat,3.020909309387207,unsat,2.9530723094940186
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,2.925048828125,unsat,3.080526351928711,unsat,3.063378095626831
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.43739914894104,unsat,2.521984338760376,unsat,2.4854209423065186
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,2.4918859004974365,unsat,2.5909481048583984,unsat,2.561946153640747
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,2.436194896697998,unsat,2.4866745471954346,unsat,2.4922032356262207
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,2.421771287918091,unsat,2.481161594390869,unsat,2.437833309173584
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,2.534606456756592,unsat,2.6221606731414795,unsat,2.6217472553253174
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,25,unsat,2.592900276184082,unsat,2.7910590171813965,unsat,2.7469639778137207
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,13,unsat,2.699814796447754,unsat,2.824753999710083,unsat,2.820693254470825
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,17,unsat,2.7597126960754395,unsat,2.836345911026001,unsat,2.841081380844116
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,14,unsat,3.2172396183013916,unsat,3.393282651901245,unsat,3.3988637924194336
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,29,unsat,2.5098717212677,unsat,2.6112654209136963,unsat,2.561194896697998
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,2.308867931365967,unsat,2.4554975032806396,unsat,2.4588205814361572
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,2.4195475578308105,unsat,2.554673194885254,unsat,2.534818410873413
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,2.4273197650909424,unsat,2.5554378032684326,unsat,2.5136959552764893
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,2.539933681488037,unsat,2.640359878540039,unsat,2.6138081550598145
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,17,unsat,2.7990264892578125,unsat,2.958777666091919,unsat,2.872666120529175
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,17,unsat,2.994765043258667,unsat,3.1277499198913574,unsat,3.1237709522247314
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,16,unsat,2.8436784744262695,unsat,2.9797587394714355,unsat,2.9868288040161133
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,11,unsat,2.954455614089966,unsat,3.18034029006958,unsat,3.1475374698638916
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.429002523422241,unsat,2.5416553020477295,unsat,2.5076711177825928
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,2.431550979614258,unsat,2.5260140895843506,unsat,2.524244785308838
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable,20,unsat,2.418008327484131,unsat,2.4948654174804688,unsat,2.513331413269043
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable,33,unsat,2.3842639923095703,unsat,2.4493608474731445,unsat,2.48954439163208
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable,25,unsat,2.509410858154297,unsat,2.6427345275878906,unsat,2.6166436672210693
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable,14,unsat,2.6499810218811035,unsat,2.771016836166382,unsat,2.791306495666504
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable,12,unsat,2.6886513233184814,unsat,2.7718632221221924,unsat,2.8106234073638916
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable,16,unsat,2.902236223220825,unsat,3.0484201908111572,unsat,3.0883307456970215
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable,15,unsat,2.670534372329712,unsat,2.7984251976013184,unsat,2.7757115364074707
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable,32,unsat,3.706454038619995,unsat,3.9661827087402344,unsat,3.9995884895324707
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable,24,sat,2.053135871887207,sat,2.080341339111328,sat,2.0798065662384033
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable,23,sat,2.1617379188537598,sat,2.286810874938965,sat,2.1983518600463867
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable,26,sat,0.5016269683837891,sat,0.5264034271240234,sat,0.49822425842285156
