onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.315,unsat,3.258,unsat,2.719
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,2.366,unsat,3.793,unsat,2.928
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,5.687,unsat,9.385,unsat,7.375
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,4.728,sat,6.656,unsat,4.989
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,2.097,unsat,3.649,unsat,2.521
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,3.024,unsat,5.011,unsat,3.347
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,1.464,unsat,2.482,unsat,1.578
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,1.454,unsat,2.534,unsat,1.846
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,1.383,unsat,1.418,unsat,1.793
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,3.88,unsat,6.184,unsat,4.549
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,9.024,unsat,16.572,unsat,10.164
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,8.749,unsat,11.674,unsat,9.992
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,3.613,unsat,6.987,unsat,4.879
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,39.499,unsat,105.861,unsat,54.595
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,37.934,unsat,83.813,unsat,37.732
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,4.615,unsat,7.333,unsat,5.947
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,5.189,unsat,9.338,unsat,8.744
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,6.248,unsat,11.849,unsat,7.495
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,3.9,unsat,9.855,unsat,4.215
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,21.209,unsat,43.048,unsat,25.935
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,8.22,unsat,9.277,unsat,37.927
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,9.394,unsat,18.12,unsat,13.269
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,7.665,unsat,20.399,unsat,6.574
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,21.722,unsat,63.868,unsat,31.482
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,4.387,unsat,6.977,unsat,5.481
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,5.406,unsat,8.962,unsat,7.845
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable,20,unsat,3.886,unsat,4.926,unsat,4.229
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable,33,unsat,2.989,unsat,41.333,unsat,5.612
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable,25,unsat,16.866,unsat,43.479,unsat,19.804
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable,14,unsat,119.918,timeout,150,timeout,120
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable,12,unsat,77.814,timeout,150,timeout,120
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable,32,unsat,34.575,unsat,73.535,unsat,48.668
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable,24,sat,29.847,sat,68.746,sat,42.078
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable,23,sat,1.837,sat,3.001,sat,2.324
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable,26,sat,3.115,sat,4.065,sat,3.056
ACASXU_run2a_1_5_batch_2000_converted,prop_2,random,stable,28,sat,109.738,timeout,150,timeout,120
ACASXU_run2a_1_6_batch_2000_converted,prop_2,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_1_7_batch_2000_converted,prop_2,random,stable,27,unsat,50.301,unsat,99.576,unsat,58.627
ACASXU_run2a_1_8_batch_2000_converted,prop_2,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_1_9_batch_2000_converted,prop_2,random,stable,25,unsat,76.096,timeout,150,unsat,98.796
ACASXU_run2a_2_1_batch_2000_converted,prop_2,random,stable,25,sat,1.525,sat,3.114,sat,0.445
ACASXU_run2a_2_2_batch_2000_converted,prop_2,random,stable,23,sat,6.629,sat,0.454,sat,0.317
ACASXU_run2a_2_3_batch_2000_converted,prop_2,random,stable,29,sat,0.26,sat,0.445,sat,0.398
ACASXU_run2a_2_4_batch_2000_converted,prop_2,random,stable,30,sat,0.312,sat,0.367,sat,1.945
ACASXU_run2a_2_5_batch_2000_converted,prop_2,random,stable,23,sat,0.368,sat,0.449,sat,0.391
ACASXU_run2a_2_6_batch_2000_converted,prop_2,random,stable,19,sat,0.419,sat,0.683,sat,0.341
ACASXU_run2a_2_7_batch_2000_converted,prop_2,random,stable,15,sat,37.514,sat,0.282,sat,86.467
ACASXU_run2a_2_8_batch_2000_converted,prop_2,random,stable,13,sat,0.585,sat,10.522,sat,20.619
ACASXU_run2a_2_9_batch_2000_converted,prop_2,random,stable,11,sat,37.704,sat,31.516,sat,24.571
ACASXU_run2a_3_1_batch_2000_converted,prop_2,random,stable,32,sat,2.741,sat,5.754,sat,0.336
ACASXU_run2a_3_2_batch_2000_converted,prop_2,random,stable,27,sat,3.203,sat,4.997,sat,2.121
ACASXU_run2a_3_3_batch_2000_converted,prop_2,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_4_batch_2000_converted,prop_2,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_5_batch_2000_converted,prop_2,random,stable,26,sat,0.361,sat,0.38,sat,5.232
ACASXU_run2a_3_6_batch_2000_converted,prop_2,random,stable,25,sat,37.15,sat,100.966,sat,36.739
ACASXU_run2a_3_7_batch_2000_converted,prop_2,random,stable,13,sat,74.023,sat,88.569,sat,74.679
ACASXU_run2a_3_8_batch_2000_converted,prop_2,random,stable,17,sat,13.818,sat,0.502,sat,9.304
ACASXU_run2a_3_9_batch_2000_converted,prop_2,random,stable,14,sat,0.415,sat,0.478,sat,0.495
ACASXU_run2a_4_1_batch_2000_converted,prop_2,random,stable,29,sat,6.347,sat,11.783,sat,9.498
ACASXU_run2a_4_2_batch_2000_converted,prop_2,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_3_batch_2000_converted,prop_2,random,stable,26,sat,2.755,sat,4.241,sat,2.281
ACASXU_run2a_4_4_batch_2000_converted,prop_2,random,stable,30,sat,1.19,sat,10.081,sat,1.467
ACASXU_run2a_4_5_batch_2000_converted,prop_2,random,stable,25,sat,0.407,sat,0.493,sat,0.46
ACASXU_run2a_4_6_batch_2000_converted,prop_2,random,stable,17,sat,0.351,sat,0.469,sat,0.316
ACASXU_run2a_4_7_batch_2000_converted,prop_2,random,stable,17,sat,6.421,sat,0.538,sat,0.316
ACASXU_run2a_4_8_batch_2000_converted,prop_2,random,stable,16,sat,0.372,sat,0.487,sat,0.411
ACASXU_run2a_4_9_batch_2000_converted,prop_2,random,stable,11,sat,0.493,timeout,150,timeout,120
ACASXU_run2a_5_1_batch_2000_converted,prop_2,random,stable,32,sat,0.349,sat,0.705,sat,1.908
ACASXU_run2a_5_2_batch_2000_converted,prop_2,random,stable,33,sat,3.176,sat,6.982,sat,4.104
ACASXU_run2a_5_3_batch_2000_converted,prop_2,random,stable,20,sat,90.026,sat,145.027,timeout,120
ACASXU_run2a_5_4_batch_2000_converted,prop_2,random,stable,33,sat,1.733,sat,0.489,sat,2.827
ACASXU_run2a_5_5_batch_2000_converted,prop_2,random,stable,25,sat,4.693,sat,7.843,sat,4.675
ACASXU_run2a_5_6_batch_2000_converted,prop_2,random,stable,14,sat,0.298,sat,0.446,sat,0.484
ACASXU_run2a_5_7_batch_2000_converted,prop_2,random,stable,12,sat,0.38,sat,0.377,sat,7.258
ACASXU_run2a_5_8_batch_2000_converted,prop_2,random,stable,16,sat,7.347,sat,0.372,sat,13.215
ACASXU_run2a_5_9_batch_2000_converted,prop_2,random,stable,15,sat,31.867,sat,53.827,sat,0.367
ACASXU_run2a_1_1_batch_2000_converted,prop_3,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_1_2_batch_2000_converted,prop_3,random,stable,42,unsat,41.979,timeout,150,unsat,68.76
ACASXU_run2a_1_3_batch_2000_converted,prop_3,random,stable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_1_4_batch_2000_converted,prop_3,random,stable,42,unsat,0.357,unsat,3.863,unsat,0.587
ACASXU_run2a_1_5_batch_2000_converted,prop_3,random,stable,45,unsat,0.754,unsat,17.468,unsat,1.05
ACASXU_run2a_1_6_batch_2000_converted,prop_3,random,stable,46,unsat,0.074,unsat,1.45,unsat,0.094
ACASXU_run2a_1_7_batch_2000_converted,prop_3,random,stable,42,sat,0.203,sat,0.285,sat,0.206
ACASXU_run2a_1_8_batch_2000_converted,prop_3,random,stable,43,sat,0.178,sat,0.288,sat,0.193
ACASXU_run2a_1_9_batch_2000_converted,prop_3,random,stable,45,sat,0.224,sat,0.469,sat,0.242
ACASXU_run2a_2_1_batch_2000_converted,prop_3,random,stable,45,unsat,7.472,unsat,39.737,unsat,17.673
ACASXU_run2a_2_2_batch_2000_converted,prop_3,random,stable,47,unsat,19.013,unsat,104.682,unsat,43.567
ACASXU_run2a_2_3_batch_2000_converted,prop_3,random,stable,44,unsat,3.873,unsat,33.784,unsat,5.261
ACASXU_run2a_2_4_batch_2000_converted,prop_3,random,stable,45,unsat,0.07,unsat,0.443,unsat,0.098
ACASXU_run2a_2_5_batch_2000_converted,prop_3,random,stable,43,unsat,0.271,unsat,0.981,unsat,0.351
ACASXU_run2a_2_6_batch_2000_converted,prop_3,random,stable,44,unsat,0.069,unsat,0.863,unsat,0.108
ACASXU_run2a_2_7_batch_2000_converted,prop_3,random,stable,45,unsat,0.078,unsat,1.566,unsat,0.113
ACASXU_run2a_2_8_batch_2000_converted,prop_3,random,stable,45,unsat,0.078,unsat,1.112,unsat,0.095
ACASXU_run2a_2_9_batch_2000_converted,prop_3,random,stable,44,unsat,0.068,unsat,0.37,unsat,0.095
ACASXU_run2a_3_1_batch_2000_converted,prop_3,random,stable,46,unsat,0.42,unsat,3.073,unsat,0.505
ACASXU_run2a_3_2_batch_2000_converted,prop_3,random,stable,46,unsat,14.56,unsat,52.428,unsat,20.55
ACASXU_run2a_3_3_batch_2000_converted,prop_3,random,stable,45,unsat,0.96,unsat,10.717,unsat,1.447
ACASXU_run2a_3_4_batch_2000_converted,prop_3,random,stable,41,unsat,0.39,unsat,1.602,unsat,0.6
ACASXU_run2a_3_5_batch_2000_converted,prop_3,random,stable,47,unsat,0.201,unsat,1.035,unsat,0.231
ACASXU_run2a_3_6_batch_2000_converted,prop_3,random,stable,45,unsat,0.314,unsat,3.556,unsat,0.431
ACASXU_run2a_3_7_batch_2000_converted,prop_3,random,stable,46,unsat,0.069,unsat,0.654,unsat,0.096
ACASXU_run2a_3_8_batch_2000_converted,prop_3,random,stable,45,unsat,0.317,unsat,3.914,unsat,0.383
ACASXU_run2a_3_9_batch_2000_converted,prop_3,random,stable,45,unsat,0.298,unsat,3.556,unsat,0.669
ACASXU_run2a_4_1_batch_2000_converted,prop_3,random,stable,45,unsat,11.723,unsat,46.961,unsat,17.001
ACASXU_run2a_4_2_batch_2000_converted,prop_3,random,stable,43,unsat,43.037,timeout,150,timeout,120
ACASXU_run2a_4_3_batch_2000_converted,prop_3,random,stable,45,unsat,16.736,unsat,52.055,unsat,15.501
ACASXU_run2a_4_4_batch_2000_converted,prop_3,random,stable,45,unsat,0.185,unsat,0.656,unsat,0.479
ACASXU_run2a_4_5_batch_2000_converted,prop_3,random,stable,47,unsat,0.141,unsat,0.794,unsat,0.105
ACASXU_run2a_4_6_batch_2000_converted,prop_3,random,stable,42,unsat,0.446,unsat,2.19,unsat,0.482
ACASXU_run2a_4_7_batch_2000_converted,prop_3,random,stable,44,unsat,0.402,unsat,2.233,unsat,0.414
ACASXU_run2a_4_8_batch_2000_converted,prop_3,random,stable,46,unsat,0.075,unsat,1.492,unsat,0.098
ACASXU_run2a_4_9_batch_2000_converted,prop_3,random,stable,45,unsat,0.355,unsat,1.097,unsat,0.441
ACASXU_run2a_5_1_batch_2000_converted,prop_3,random,stable,44,unsat,34.003,unsat,104.818,unsat,42.82
ACASXU_run2a_5_2_batch_2000_converted,prop_3,random,stable,46,unsat,1.444,unsat,23.971,unsat,1.367
ACASXU_run2a_5_3_batch_2000_converted,prop_3,random,stable,47,unsat,0.409,unsat,3.806,unsat,0.528
ACASXU_run2a_5_4_batch_2000_converted,prop_3,random,stable,47,unsat,0.214,unsat,0.95,unsat,0.269
