onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,5.6074,unsat,5.8129,unsat,5.9405
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,5.3972,unsat,9.3767,unsat,5.5905
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,9.9407,unsat,13.6014,unsat,11.1056
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,10.1078,unsat,11.1624,unsat,10.8872
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,5.3019,unsat,10.2873,unsat,5.54
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,5.4557,unsat,5.5853,unsat,5.5384
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,5.2925,unsat,5.315,unsat,5.2819
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,5.2492,unsat,5.3265,unsat,5.2595
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,5.1537,unsat,5.3242,unsat,5.2495
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,5.4428,unsat,6.3087,unsat,5.6137
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,9.691,unsat,10.8576,unsat,10.345
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,9.8235,unsat,11.3411,unsat,10.5912
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,7.8747,unsat,11.6046,unsat,10.3435
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,7.8323,unsat,13.2852,unsat,10.5309
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,10.0292,unsat,14.1237,unsat,11.0924
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,11.229,unsat,16.9352,unsat,12.9236
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,12.3493,unsat,24.7985,unsat,23.1018
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,13.1179,unsat,16.4362,unsat,14.5287
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,5.4877,unsat,6.1266,unsat,5.7881
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,9.9196,unsat,11.5812,unsat,11.1329
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,5.69,unsat,6.5405,unsat,5.9392
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,7.1971,unsat,11.7467,unsat,10.2244
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,6.7532,unsat,11.3243,unsat,10.9212
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,25,unsat,11.4191,unsat,16.8744,unsat,14.1684
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,13,unsat,11.0631,unsat,13.2522,unsat,12.0979
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,17,unsat,11.2216,unsat,14.5509,unsat,12.8779
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,14,unsat,14.0149,unsat,16.6064,unsat,16.8774
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,29,unsat,11.5957,unsat,16.6769,unsat,15.9726
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,5.7206,unsat,6.1657,unsat,6.0779
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,5.7999,unsat,11.3406,unsat,6.8911
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,7.7774,unsat,11.3527,unsat,10.2729
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,10.2025,unsat,16.629,unsat,11.5463
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,17,unsat,12.7634,unsat,16.3259,unsat,16.3109
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,17,unsat,15.3959,unsat,19.9244,unsat,16.2372
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,16,unsat,12.8975,unsat,17.0627,unsat,16.7288
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,11,unsat,16.0668,unsat,17.0107,unsat,17.729
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,6.6771,unsat,11.1579,unsat,8.6102
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,6.0289,unsat,12.5702,unsat,6.7819
