onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.5,unsat,9.5,unsat,1.6
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,1.5,unsat,14.5,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,1.6,unsat,17.0,unsat,1.6
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,1.5,unsat,20.2,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,1.5,unsat,14.2,unsat,1.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,1.6,unsat,28.6,unsat,1.7
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,1.5,unsat,8.4,unsat,1.6
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,1.5,unsat,5.3,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,1.5,unsat,3.7,unsat,1.7
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,1.6,error,-1,unsat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,1.6,unsat,24.3,unsat,1.8
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,1.6,unsat,42.7,unsat,1.7
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,1.6,unsat,8.5,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,1.7,unsat,66.14,unsat,1.8
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,1.6,unsat,11.7,unsat,1.8
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,1.7,unsat,30.3,unsat,2.0
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,1.7,unsat,20.0,unsat,1.9
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,1.8,unsat,27.0,unsat,2.0
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.6,unsat,93.34,unsat,1.7
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,1.6,unsat,35.6,unsat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,1.6,unsat,67.41,unsat,1.8
