onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.5,unsat,9.2,unsat,1.6
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,1.5,unsat,14.9,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,1.6,unsat,17.0,unsat,1.6
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,1.5,unsat,21.6,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,1.5,unsat,14.4,unsat,1.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,1.6,unsat,25.8,unsat,1.7
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,1.5,unsat,9.2,unsat,1.7
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,1.5,unsat,4.7,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,1.5,unsat,3.8,unsat,1.6
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,1.6,None,None,unsat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,1.6,unsat,23.7,unsat,1.9
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,1.6,unsat,44.3,unsat,1.8
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,1.5,unsat,8.5,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,1.7,unsat,70.23,unsat,1.9
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,1.6,unsat,11.4,unsat,1.8
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,1.7,unsat,29.8,unsat,1.9
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,1.7,unsat,20.2,unsat,2.0
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,1.9,unsat,28.0,unsat,2.1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.6,unsat,88.13,unsat,1.8
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,1.6,unsat,35.8,unsat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,1.6,unsat,65.02,unsat,1.8
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,1.6,unsat,32.9,unsat,1.7
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,1.6,unsat,39.1,unsat,1.8
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,25,unsat,1.9,unsat,35.5,unsat,2.1
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,13,unsat,1.8,unsat,8.1,unsat,2.0
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,17,unsat,1.7,unsat,21.9,unsat,1.9
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,14,unsat,1.7,unsat,10.7,unsat,1.9
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,29,unsat,1.7,unsat,123.53,unsat,1.9
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,1.6,unsat,37.5,unsat,1.9
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,1.6,unsat,28.3,unsat,1.8
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,1.5,unsat,31.3,unsat,1.7
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,1.7,unsat,34.0,unsat,1.8
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,17,unsat,2.1,unsat,11.2,unsat,2.5
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,17,unsat,1.8,unsat,13.4,unsat,2.0
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,16,unsat,1.7,unsat,6.5,unsat,1.9
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,11,unsat,2.6,unsat,35.2,unsat,2.9
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.5,unsat,78.69,unsat,1.7
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,1.5,unsat,53.3,unsat,1.8
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable,20,unsat,1.5,unsat,15.5,unsat,1.7
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable,33,unsat,1.6,unsat,14.0,unsat,1.7
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable,25,unsat,1.6,unsat,41.1,unsat,1.7
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable,14,unsat,1.7,unsat,14.4,unsat,1.9
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable,12,unsat,1.7,None,None,unsat,1.8
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable,16,unsat,1.7,unsat,8.5,unsat,1.9
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable,15,unsat,1.8,unsat,14.9,unsat,1.9
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable,32,unsat,1.6,unsat,70.42,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable,24,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable,23,sat,1.7,sat,29.3,sat,1.9
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable,26,sat,1.5,sat,1.9,sat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_2,random,stable,28,sat,1.5,sat,7.4,sat,1.8
ACASXU_run2a_1_6_batch_2000_converted,prop_2,random,stable,24,sat,1.6,sat,2.0,sat,1.8
ACASXU_run2a_1_7_batch_2000_converted,prop_2,random,stable,27,unsat,1.6,None,None,unsat,1.8
ACASXU_run2a_1_8_batch_2000_converted,prop_2,random,stable,29,unsat,1.7,unsat,54.2,unsat,2.0
ACASXU_run2a_1_9_batch_2000_converted,prop_2,random,stable,25,unsat,1.7,unsat,129.3,unsat,1.8
ACASXU_run2a_2_1_batch_2000_converted,prop_2,random,stable,25,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_2_2_batch_2000_converted,prop_2,random,stable,23,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_3_batch_2000_converted,prop_2,random,stable,29,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_4_batch_2000_converted,prop_2,random,stable,30,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_2,random,stable,23,sat,1.5,sat,1.6,sat,1.7
ACASXU_run2a_2_6_batch_2000_converted,prop_2,random,stable,19,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_2_7_batch_2000_converted,prop_2,random,stable,15,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_2_8_batch_2000_converted,prop_2,random,stable,13,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_9_batch_2000_converted,prop_2,random,stable,11,sat,1.5,sat,1.8,sat,1.7
ACASXU_run2a_3_1_batch_2000_converted,prop_2,random,stable,32,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_3_2_batch_2000_converted,prop_2,random,stable,27,sat,1.5,sat,1.7,sat,1.8
ACASXU_run2a_3_3_batch_2000_converted,prop_2,random,stable,28,unsat,4.5,None,None,unsat,6.7
ACASXU_run2a_3_4_batch_2000_converted,prop_2,random,stable,28,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_3_5_batch_2000_converted,prop_2,random,stable,26,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_3_6_batch_2000_converted,prop_2,random,stable,25,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_3_7_batch_2000_converted,prop_2,random,stable,13,sat,1.6,sat,1.7,sat,1.7
ACASXU_run2a_3_8_batch_2000_converted,prop_2,random,stable,17,sat,1.5,sat,1.6,sat,1.6
ACASXU_run2a_3_9_batch_2000_converted,prop_2,random,stable,14,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_4_1_batch_2000_converted,prop_2,random,stable,29,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_4_2_batch_2000_converted,prop_2,random,stable,26,unsat,5.5,None,None,unsat,9.6
ACASXU_run2a_4_3_batch_2000_converted,prop_2,random,stable,26,sat,1.6,sat,1.6,sat,1.6
ACASXU_run2a_4_4_batch_2000_converted,prop_2,random,stable,30,sat,1.5,sat,1.6,sat,1.6
ACASXU_run2a_4_5_batch_2000_converted,prop_2,random,stable,25,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_4_6_batch_2000_converted,prop_2,random,stable,17,sat,1.5,sat,1.6,sat,1.7
ACASXU_run2a_4_7_batch_2000_converted,prop_2,random,stable,17,sat,1.5,sat,1.6,sat,1.6
ACASXU_run2a_4_8_batch_2000_converted,prop_2,random,stable,16,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_4_9_batch_2000_converted,prop_2,random,stable,11,sat,1.5,sat,1.6,sat,1.6
ACASXU_run2a_5_1_batch_2000_converted,prop_2,random,stable,32,sat,1.5,sat,1.7,sat,1.6
