onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar10_2_255_simplified, cifar10_spec_idx_0_eps_0.00784_n1, 1.126,0.897,0.8878,0.9651,0.9009,sat,sat,sat,sat,sat,1.0072,0.9368,0.9107,1.0339,0.9406,sat,sat,sat,sat,sat,0.9415,0.9889,0.9432,0.9189,0.9778,sat,sat,sat,sat,sat
cifar10_2_255_simplified, cifar10_spec_idx_1_eps_0.00784_n1, 4.3881,4.3548,4.3331,4.3814,4.4266,unsat,unsat,unsat,unsat,unsat,4.6959,4.745,4.6397,4.6058,4.586,unsat,unsat,unsat,unsat,unsat,4.6305,4.621,4.6551,4.6342,4.6529,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_2_eps_0.00784_n1, 12.0339,11.4104,11.9392,12.0094,11.9945,unsat,unsat,unsat,unsat,unsat,14.5273,14.4715,14.6573,14.4771,14.4793,unsat,unsat,unsat,unsat,unsat,14.1015,14.1872,14.1318,14.2822,14.142,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_3_eps_0.00784_n1, 4.4663,4.3711,4.3959,4.3712,4.4799,unsat,unsat,unsat,unsat,unsat,4.8076,4.7848,4.8339,4.6539,4.7313,unsat,unsat,unsat,unsat,unsat,4.5937,4.6197,4.7549,4.6048,4.6086,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_4_eps_0.00784_n1, 15.2251,14.9686,15.131,14.8501,14.9674,unsat,unsat,unsat,unsat,unsat,19.7081,19.465,19.4484,19.372,19.6033,unsat,unsat,unsat,unsat,unsat,17.3941,17.7787,17.44,17.6171,17.5332,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_5_eps_0.00784_n1, 8.3198,8.128,8.2317,8.2779,8.317,unsat,unsat,unsat,unsat,unsat,9.7532,9.7794,9.7401,9.7184,9.7769,unsat,unsat,unsat,unsat,unsat,9.3492,9.2708,9.2894,9.3453,9.4776,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_6_eps_0.00784_n1, 4.3901,4.365,4.3765,4.3694,4.3621,unsat,unsat,unsat,unsat,unsat,4.8089,4.648,4.7423,4.7514,4.6428,unsat,unsat,unsat,unsat,unsat,4.6412,4.6515,4.6212,4.6112,4.6148,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_8_eps_0.00784_n1, ERROR_SKIPPED, LAST RES timeout 300
cifar10_2_255_simplified, cifar10_spec_idx_9_eps_0.00784_n1, 11.7936,11.8871,11.883,11.8313,11.8859,unsat,unsat,unsat,unsat,unsat,15.6479,15.4634,15.6744,15.2837,15.5718,unsat,unsat,unsat,unsat,unsat,14.1583,14.1205,14.0998,13.9586,14.2281,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_10_eps_0.00784_n1, 4.4054,4.3566,4.383,4.3763,4.3784,unsat,unsat,unsat,unsat,unsat,4.6799,4.618,4.6291,4.6269,4.6525,unsat,unsat,unsat,unsat,unsat,4.7779,4.7518,4.7341,4.7864,4.6645,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_11_eps_0.00784_n1, 4.3928,4.3899,4.4707,4.4004,4.3762,unsat,unsat,unsat,unsat,unsat,4.6377,4.6955,4.7797,4.7457,4.6031,unsat,unsat,unsat,unsat,unsat,4.6473,4.7472,4.7498,4.6214,4.6234,unsat,unsat,unsat,unsat,unsat
cifar10_2_255_simplified, cifar10_spec_idx_12_eps_0.00784_n1, 0.9884,0.8985,1.0104,1.0062,0.9688,sat,sat,sat,sat,sat,1.0137,0.9292,0.9338,1.0064,0.9251,sat,sat,sat,sat,sat,1.0009,0.9435,1.0456,0.9636,1.0463,sat,sat,sat,sat,sat
