onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
NN_rul_small_window_20, robustness_2perturbations_delta5_epsilon10_w20, 1.884,1.891,1.835,1.865,1.832,sat,sat,sat,sat,sat,3.872,3.841,3.852,3.798,3.813,sat,sat,sat,sat,sat,3.818,3.828,3.772,3.813,3.832,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta10_epsilon10_w20, 1.822,1.853,1.841,1.847,1.864,sat,sat,sat,sat,sat,3.828,3.808,3.818,3.818,3.804,sat,sat,sat,sat,sat,3.791,3.83,3.817,3.822,3.802,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta20_epsilon10_w20, 1.84,1.811,1.81,1.853,1.834,sat,sat,sat,sat,sat,3.771,3.824,3.799,3.796,3.794,sat,sat,sat,sat,sat,3.843,3.797,3.787,3.792,3.788,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta40_epsilon10_w20, 1.853,1.847,1.819,1.849,1.853,sat,sat,sat,sat,sat,3.85,3.825,3.857,3.809,3.825,sat,sat,sat,sat,sat,3.804,3.824,3.824,3.819,3.839,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_4perturbations_delta5_epsilon10_w20, 0.941,0.952,0.957,0.973,0.943,unsat,unsat,unsat,unsat,unsat,1.071,1.08,1.069,1.066,1.044,unsat,unsat,unsat,unsat,unsat,1.062,1.05,1.079,1.048,1.065,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta10_epsilon10_w20, 0.97,0.944,0.944,0.96,0.935,unsat,unsat,unsat,unsat,unsat,1.05,1.062,1.062,1.084,1.078,unsat,unsat,unsat,unsat,unsat,1.046,1.05,1.076,1.066,1.069,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta20_epsilon10_w20, 1.816,1.82,1.826,1.832,1.829,unsat,unsat,unsat,unsat,unsat,3.79,3.826,3.815,3.824,3.8,unsat,unsat,unsat,unsat,unsat,3.776,3.78,3.827,3.77,3.811,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta40_epsilon10_w20, 1.846,1.893,1.891,1.867,1.86,sat,sat,sat,sat,sat,3.865,3.849,3.87,3.878,3.875,sat,sat,sat,sat,sat,3.839,3.901,3.838,3.821,3.893,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta5_epsilon10_w20, 1.853,1.831,1.851,1.853,1.862,sat,sat,sat,sat,sat,3.842,3.852,3.815,3.824,3.85,sat,sat,sat,sat,sat,3.868,3.864,3.883,3.881,3.844,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta10_epsilon10_w20, 1.887,1.884,1.905,1.904,1.888,sat,sat,sat,sat,sat,3.911,3.895,3.873,3.888,3.907,sat,sat,sat,sat,sat,3.861,3.922,3.861,3.864,3.87,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta20_epsilon10_w20, 1.801,1.839,1.827,1.826,1.819,unsat,unsat,unsat,unsat,unsat,3.842,3.786,3.821,3.844,3.787,unsat,unsat,unsat,unsat,unsat,3.804,3.834,3.818,3.81,3.816,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_8perturbations_delta40_epsilon10_w20, 1.889,1.872,1.878,1.913,1.874,sat,sat,sat,sat,sat,3.866,3.882,3.898,3.869,3.874,sat,sat,sat,sat,sat,3.87,3.917,3.865,3.888,3.889,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_16perturbations_delta5_epsilon10_w20, 1.929,1.935,1.931,1.929,1.93,sat,sat,sat,sat,sat,3.982,3.919,3.958,3.934,3.99,sat,sat,sat,sat,sat,3.97,3.9,3.952,3.935,3.916,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_16perturbations_delta10_epsilon10_w20, 1.937,1.932,1.946,1.943,1.949,sat,sat,sat,sat,sat,3.922,3.942,3.919,3.944,3.914,sat,sat,sat,sat,sat,3.924,3.934,3.987,3.943,3.937,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_16perturbations_delta20_epsilon10_w20, 1.823,1.814,1.813,1.854,1.839,unsat,unsat,unsat,unsat,unsat,3.837,3.821,3.81,3.774,3.785,unsat,unsat,unsat,unsat,unsat,3.802,3.776,3.799,3.831,3.791,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_16perturbations_delta40_epsilon10_w20, 2.022,2.007,2.025,2.024,2.041,sat,sat,sat,sat,sat,4.048,3.996,4.014,4.052,4.037,sat,sat,sat,sat,sat,3.995,3.981,4.013,4.031,4.038,sat,sat,sat,sat,sat
NN_rul_small_window_20, monotonicity_CI_shift5_w20, 1.837,1.87,1.875,1.839,1.858,sat,sat,sat,sat,sat,3.814,3.834,3.811,3.873,3.836,sat,sat,sat,sat,sat,3.836,3.817,3.836,3.843,3.831,sat,sat,sat,sat,sat
NN_rul_small_window_20, monotonicity_CI_shift10_w20, 0.953,0.962,0.958,0.955,0.958,unsat,unsat,unsat,unsat,unsat,1.058,1.075,1.065,1.041,1.055,unsat,unsat,unsat,unsat,unsat,1.07,1.068,1.083,1.04,1.081,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, monotonicity_CI_shift20_w20, 1.84,1.847,1.843,1.831,1.836,sat,sat,sat,sat,sat,3.842,3.851,3.832,3.852,3.819,sat,sat,sat,sat,sat,3.821,3.819,3.85,3.802,3.841,sat,sat,sat,sat,sat
NN_rul_small_window_20, if_then_5levels_w20, 2.458,2.452,2.46,2.446,2.469,sat,sat,sat,sat,sat,5.354,5.454,5.892,5.665,5.731,sat,sat,sat,sat,sat,4.471,4.576,4.624,8.928,7.238,sat,sat,sat,sat,sat
NN_rul_small_window_20, if_then_7levels_w20, ERROR_SKIPPED, LAST RES timeout 1800
NN_rul_small_window_20, if_then_9levels_w20, 13.512,12.542,12.568,12.303,12.455,sat,sat,sat,sat,sat,2567.0,2700,2700,2700,356.976,sat,timeout,timeout,timeout,sat,29.874,42.703,13.419,2700,491.133,sat,sat,sat,timeout,sat
NN_rul_full_window_20, robustness_2perturbations_delta5_epsilon10_w20, 5.668,5.612,5.589,5.559,5.571,sat,sat,sat,sat,sat,17.446,17.352,17.437,17.207,17.28,sat,sat,sat,sat,sat,17.285,17.334,17.415,17.521,17.364,sat,sat,sat,sat,sat
NN_rul_full_window_20, robustness_2perturbations_delta10_epsilon10_w20, 5.474,5.52,5.511,5.479,5.46,sat,sat,sat,sat,sat,17.26,17.251,17.3,17.305,17.409,sat,sat,sat,sat,sat,17.275,17.397,17.253,17.26,17.325,sat,sat,sat,sat,sat
NN_rul_full_window_20, robustness_2perturbations_delta20_epsilon10_w20, 5.457,5.463,5.471,5.473,5.497,sat,sat,sat,sat,sat,17.252,17.454,17.334,17.314,17.313,sat,sat,sat,sat,sat,17.334,17.235,17.244,17.197,17.214,sat,sat,sat,sat,sat
NN_rul_full_window_20, robustness_2perturbations_delta40_epsilon10_w20, 5.596,5.518,5.529,5.546,5.581,sat,sat,sat,sat,sat,17.299,17.375,17.393,17.356,17.289,sat,sat,sat,sat,sat,17.253,17.488,17.459,17.283,17.29,sat,sat,sat,sat,sat
NN_rul_full_window_20, robustness_4perturbations_delta5_epsilon10_w20, 1.508,1.542,1.48,1.483,1.503,unsat,unsat,unsat,unsat,unsat,1.819,1.813,1.828,1.848,1.828,unsat,unsat,unsat,unsat,unsat,1.808,1.816,1.834,1.818,1.835,unsat,unsat,unsat,unsat,unsat
NN_rul_full_window_20, robustness_4perturbations_delta10_epsilon10_w20, 1.509,1.51,1.519,1.51,1.517,unsat,unsat,unsat,unsat,unsat,1.851,1.862,1.886,1.855,1.857,unsat,unsat,unsat,unsat,unsat,1.867,1.845,1.859,1.851,1.864,unsat,unsat,unsat,unsat,unsat
NN_rul_full_window_20, robustness_4perturbations_delta20_epsilon10_w20, 1.486,1.482,1.518,1.513,1.537,unsat,unsat,unsat,unsat,unsat,1.81,1.87,1.858,1.809,1.835,unsat,unsat,unsat,unsat,unsat,1.879,1.846,1.812,1.858,1.831,unsat,unsat,unsat,unsat,unsat
