onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
NN_rul_small_window_20, robustness_2perturbations_delta5_epsilon10_w20, 0.6731,0.5298,0.4649,0.5337,0.5337,sat,sat,sat,sat,sat,0.5541,0.5299,0.4471,0.5153,0.5298,sat,sat,sat,sat,sat,0.5158,0.5159,0.5459,0.5219,0.5375,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta10_epsilon10_w20, 0.493,0.5193,0.5411,0.519,0.5464,sat,sat,sat,sat,sat,0.5256,0.519,0.4168,0.527,0.5108,sat,sat,sat,sat,sat,0.5185,0.6057,0.5866,0.5206,0.5393,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta20_epsilon10_w20, 0.5184,0.5633,0.571,0.4723,0.5598,sat,sat,sat,sat,sat,0.4455,0.5168,0.5333,0.5202,0.4698,sat,sat,sat,sat,sat,0.5304,0.5261,0.4821,0.5152,0.5068,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_2perturbations_delta40_epsilon10_w20, 0.4989,0.5672,0.5296,0.5731,0.5178,sat,sat,sat,sat,sat,0.5616,0.5259,0.5279,0.5132,0.5826,sat,sat,sat,sat,sat,0.5338,0.5334,0.4636,0.5176,0.5366,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_4perturbations_delta5_epsilon10_w20, 2.3284,2.2699,2.2258,2.1616,2.2922,unsat,unsat,unsat,unsat,unsat,2.1855,2.2804,2.2273,2.1865,2.2694,unsat,unsat,unsat,unsat,unsat,2.2674,2.3034,2.2766,2.3034,2.2899,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta10_epsilon10_w20, 2.061,1.9458,2.0525,1.9169,1.9633,unsat,unsat,unsat,unsat,unsat,2.0022,1.8855,1.8803,1.897,1.9434,unsat,unsat,unsat,unsat,unsat,1.9751,1.9977,1.8697,1.9151,1.8791,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta20_epsilon10_w20, 1.9549,1.945,1.9511,2.027,1.9931,unsat,unsat,unsat,unsat,unsat,1.9817,1.882,1.9576,1.9859,1.9777,unsat,unsat,unsat,unsat,unsat,1.9762,1.9898,2.002,1.9501,1.9564,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_4perturbations_delta40_epsilon10_w20, 0.4432,0.5336,0.52,0.4442,0.548,sat,sat,sat,sat,sat,0.5212,0.5312,0.4584,0.5235,0.594,sat,sat,sat,sat,sat,0.4478,0.5789,0.5357,0.4707,0.5005,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta5_epsilon10_w20, 0.5162,0.592,0.5249,0.444,0.5617,sat,sat,sat,sat,sat,0.4335,0.5855,0.4492,0.4664,0.4504,sat,sat,sat,sat,sat,0.4123,0.5268,0.4283,0.5192,0.4151,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta10_epsilon10_w20, 0.4945,0.4876,0.5171,0.5152,0.4587,sat,sat,sat,sat,sat,0.4678,0.5212,0.5251,0.5054,0.5032,sat,sat,sat,sat,sat,0.484,0.5027,0.5312,0.5804,0.5216,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_8perturbations_delta20_epsilon10_w20, 1.8801,1.8754,1.9219,1.9008,1.8805,unsat,unsat,unsat,unsat,unsat,1.9067,1.9243,1.9567,2.0125,2.0443,unsat,unsat,unsat,unsat,unsat,1.8794,1.9364,1.9905,1.879,1.9927,unsat,unsat,unsat,unsat,unsat
NN_rul_small_window_20, robustness_8perturbations_delta40_epsilon10_w20, 0.4763,0.5309,0.4674,0.4515,0.5858,sat,sat,sat,sat,sat,0.4277,0.4599,0.5896,0.5169,0.5955,sat,sat,sat,sat,sat,0.4361,0.5266,0.5098,0.5322,0.5832,sat,sat,sat,sat,sat
NN_rul_small_window_20, robustness_16perturbations_delta5_epsilon10_w20, 0.5075,0.5322,0.5088,0.537,0.5084,sat,sat,sat,sat,sat,0.5156,0.5161,0.4456,0.5414,0.5309,sat,sat,sat,sat,sat,0.4321,0.4593,0.5667,0.5126,0.4951,sat,sat,sat,sat,sat
