onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
6cnn_ry_20_3_no_custom_OP, spec_idx_109_eps_0.00000436, 1.752983808517456,1.4154207706451416,1.4210457801818848,1.4422810077667236,1.4443721771240234,unsat,unsat,unsat,unsat,unsat,1.5450000762939453,1.4659502506256104,1.488966941833496,1.4634857177734375,1.4571568965911865,unsat,unsat,unsat,unsat,unsat,1.4842979907989502,1.4942171573638916,1.4766619205474854,1.4635136127471924,1.4763298034667969,unsat,unsat,unsat,unsat,unsat
4cnn_ry_117_19_no_custom_OP, spec_idx_3_eps_0.00000436, 5.8872458934783936,5.714899063110352,5.720746040344238,5.67646598815918,5.591446399688721,unsat,unsat,unsat,unsat,unsat,6.138789892196655,6.124040842056274,5.990853786468506,5.99239706993103,6.227338552474976,unsat,unsat,unsat,unsat,unsat,5.7028937339782715,5.831862449645996,5.716642618179321,5.741854906082153,5.742634296417236,unsat,unsat,unsat,unsat,unsat
6cnn_tz_105_17_no_custom_OP, spec_idx_156_eps_0.00001000, 1.9341213703155518,1.6967122554779053,1.6356065273284912,1.654231071472168,1.6471645832061768,unsat,unsat,unsat,unsat,unsat,1.7098376750946045,1.7290070056915283,1.7144498825073242,1.748213768005371,1.7193384170532227,unsat,unsat,unsat,unsat,unsat,1.6481635570526123,1.7311656475067139,1.6615519523620605,1.6650171279907227,1.6599624156951904,unsat,unsat,unsat,unsat,unsat
6cnn_ry_67_11_no_custom_OP, spec_idx_135_eps_0.00000436, 1.9090700149536133,1.6556487083435059,1.640303611755371,1.6797494888305664,1.7266302108764648,unsat,unsat,unsat,unsat,unsat,1.6953113079071045,1.6682934761047363,1.7199270725250244,1.6414194107055664,1.6702907085418701,unsat,unsat,unsat,unsat,unsat,1.6561505794525146,1.7429656982421875,1.766078233718872,1.6872105598449707,1.6856176853179932,unsat,unsat,unsat,unsat,unsat
6cnn_ry_91_15_no_custom_OP, spec_idx_146_eps_0.00000436, 1.9174156188964844,1.6741642951965332,1.7419452667236328,1.6125805377960205,1.650871992111206,unsat,unsat,unsat,unsat,unsat,1.7218303680419922,1.7652101516723633,1.6860682964324951,1.7488057613372803,1.7420320510864258,unsat,unsat,unsat,unsat,unsat,1.7400867938995361,1.717923641204834,1.7363109588623047,1.6799335479736328,1.707101583480835,unsat,unsat,unsat,unsat,unsat
6cnn_ry_65_10_no_custom_OP, spec_idx_133_eps_0.00000436, 1.5774998664855957,1.2889108657836914,1.2723462581634521,1.2621958255767822,1.3246400356292725,unsat,unsat,unsat,unsat,unsat,1.2542552947998047,1.3152344226837158,1.3195180892944336,1.307931900024414,1.3121283054351807,unsat,unsat,unsat,unsat,unsat,1.3598849773406982,1.3342740535736084,1.291313886642456,1.3205742835998535,1.28139328956604,unsat,unsat,unsat,unsat,unsat
6cnn_tz_9_1_no_custom_OP, spec_idx_211_eps_0.00001000, 1.3122894763946533,1.241692066192627,1.3240301609039307,1.2794809341430664,1.273376703262329,unsat,unsat,unsat,unsat,unsat,1.3324472904205322,1.2699267864227295,1.2911386489868164,1.3367691040039062,1.300657033920288,unsat,unsat,unsat,unsat,unsat,1.2739098072052002,1.3083734512329102,1.287236213684082,1.3359367847442627,1.2894258499145508,unsat,unsat,unsat,unsat,unsat
4cnn_ry_82_13_no_custom_OP, spec_idx_40_eps_0.00000436, 1.6898517608642578,1.3944480419158936,1.285815715789795,1.3083453178405762,1.3105571269989014,unsat,unsat,unsat,unsat,unsat,1.4193120002746582,1.3118510246276855,1.3956544399261475,1.3893001079559326,1.4137659072875977,unsat,unsat,unsat,unsat,unsat,1.3929789066314697,1.3983712196350098,1.3616559505462646,1.412280559539795,1.331500768661499,unsat,unsat,unsat,unsat,unsat
6cnn_ry_39_6_no_custom_OP, spec_idx_119_eps_0.00000436, ERROR_SKIPPED, LAST RES timeout 210
6cnn_tz_66_11_no_custom_OP, spec_idx_197_eps_0.00001000, 1.7500457763671875,1.3713481426239014,1.3987526893615723,1.3443431854248047,1.4360432624816895,unsat,unsat,unsat,unsat,unsat,1.4879400730133057,1.4282598495483398,1.4686110019683838,1.4524259567260742,1.5188181400299072,unsat,unsat,unsat,unsat,unsat,1.4622561931610107,1.4847166538238525,1.4735863208770752,1.4669909477233887,1.46421480178833,unsat,unsat,unsat,unsat,unsat
