onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,2.654141902923584,unsat,4.4270830154418945,unsat,2.775386095046997
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,2.122427463531494,sat,2.252201557159424,sat,2.2644996643066406
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,5.605114221572876,sat,8.113653421401978,sat,5.887507677078247
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,2.6558098793029785,unsat,2.810816764831543,unsat,2.7906334400177
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,4.266731023788452,unsat,4.454832315444946,unsat,4.415821552276611
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,2.6409659385681152,unsat,4.458611011505127,unsat,2.7946884632110596
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,6.3472747802734375,unsat,8.753720045089722,unsat,6.8427863121032715
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,2.7591755390167236,unsat,2.9298746585845947,unsat,2.927431106567383
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,6.273678779602051,unsat,7.579349756240845,unsat,6.57892918586731
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,2.662863254547119,unsat,2.79583477973938,unsat,2.816082000732422
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,2.6514317989349365,unsat,4.4005045890808105,unsat,2.7752256393432617
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,2.6761019229888916,unsat,2.798830032348633,unsat,2.8092896938323975
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,1.8894236087799072,sat,2.0218400955200195,sat,2.035367488861084
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,2.626361608505249,unsat,2.805835247039795,unsat,2.781635046005249
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,2.6466739177703857,unsat,2.76053524017334,unsat,2.7897119522094727
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,7.400949001312256,sat,20.854496717453003,sat,8.43034839630127
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,2.1555356979370117,sat,2.2747581005096436,sat,2.274930953979492
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,2.141489267349243,sat,2.2815139293670654,sat,2.255444288253784
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,4.279483795166016,unsat,4.408414840698242,unsat,4.381237983703613
mnist-net_256x2,prop_4_0.05,random,stable,240,sat,2.1402642726898193,sat,2.254544496536255,sat,2.2681124210357666
mnist-net_256x2,prop_5_0.05,random,stable,242,sat,2.1093392372131348,sat,2.2849323749542236,sat,2.2766318321228027
