onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,23.035,timeout,330,unsat,127.002
mnist-net_256x2,prop_1_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,91.328,sat,243.783,sat,155.442
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,17.359,unsat,99.353,unsat,102.89
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,57.446,sat,239.006,unsat,112.148
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,18.017,timeout,330,unsat,93.074
mnist-net_256x2,prop_6_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,16.137,unsat,37.403,unsat,41.31
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,33.751,timeout,330,unsat,204.3
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,24.441,timeout,330,unsat,77.947
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,16.235,timeout,330,unsat,92.197
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,15.795,unsat,120.966,unsat,73.185
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,139.102,sat,254.389,timeout,300
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,15.425,unsat,35.389,unsat,34.358
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,16.183,unsat,138.613,unsat,57.257
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,17.327,sat,252.275,sat,45.963
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,16.643,sat,148.421,sat,38.589
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,17.006,timeout,330,sat,91.529
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,40.821,timeout,330,unsat,234.138
mnist-net_256x2,prop_4_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_5_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_6_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,random,stable,250,unsat,16.983,unsat,328.546,unsat,62.033
mnist-net_256x2,prop_8_0.05,random,stable,243,sat,20.724,sat,175.318,sat,41.602
mnist-net_256x2,prop_9_0.05,random,stable,248,unsat,156.546,sat,323.447,timeout,300
mnist-net_256x2,prop_10_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_11_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_12_0.05,random,stable,248,sat,15.16,sat,227.163,sat,34.792
mnist-net_256x2,prop_13_0.05,random,stable,251,unsat,33.985,timeout,330,unsat,251.99
mnist-net_256x2,prop_14_0.05,random,stable,246,unsat,50.593,timeout,330,timeout,300
