onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,2.7873,unsat,5.3279,unsat,2.9105
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,1.9826,sat,2.0976,sat,2.0862
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,12.7048,timeout,330,sat,18.7288
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,2.8435,unsat,2.9281,unsat,2.9334
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,4.237,unsat,5.2774,unsat,4.4442
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,2.7892,unsat,5.2827,unsat,2.9031
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,5.9725,unsat,7.4416,unsat,6.8194
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,2.8686,unsat,3.0561,unsat,3.0309
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,5.5085,unsat,6.9502,unsat,6.0725
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,2.7737,unsat,2.9437,unsat,2.9063
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,2.7644,unsat,4.3834,unsat,2.8983
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,2.848,unsat,2.942,unsat,2.8991
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,1.7624,sat,1.8602,sat,1.8543
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,2.7592,unsat,2.9705,unsat,2.8958
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,2.7508,unsat,2.9014,unsat,2.9358
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,2.0522,sat,2.1839,sat,2.1505
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,2.0014,sat,2.0789,sat,2.0838
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,2.0129,sat,2.0597,sat,2.0836
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,4.2248,unsat,5.2912,unsat,4.388
mnist-net_256x2,prop_4_0.05,random,stable,240,sat,2.0157,sat,2.1468,sat,2.0878
mnist-net_256x2,prop_5_0.05,random,stable,242,sat,1.9841,sat,2.1249,sat,2.0767
mnist-net_256x2,prop_6_0.05,random,stable,225,sat,2.0178,sat,2.0908,sat,2.0942
mnist-net_256x2,prop_7_0.05,random,stable,250,unsat,2.7806,unsat,2.9063,unsat,2.9354
mnist-net_256x2,prop_8_0.05,random,stable,243,sat,2.0101,sat,2.0923,sat,2.0757
mnist-net_256x2,prop_9_0.05,random,stable,248,unsat,5.8806,unsat,6.9448,unsat,7.1542
mnist-net_256x2,prop_10_0.05,random,stable,242,unsat,6.6208,unsat,8.0843,unsat,7.8167
mnist-net_256x2,prop_11_0.05,random,stable,248,unsat,5.8407,unsat,6.9519,unsat,6.6389
mnist-net_256x2,prop_12_0.05,random,stable,248,sat,1.7557,sat,1.8441,sat,1.8384
mnist-net_256x2,prop_13_0.05,random,stable,251,unsat,4.7405,unsat,5.3379,unsat,5.1702
mnist-net_256x2,prop_14_0.05,random,stable,246,unsat,5.6604,unsat,6.616,unsat,5.9852
mnist-net_256x4,prop_0_0.03,random,stable,230,unsat,3.0542,unsat,9.0878,unsat,3.16
