onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
mnist-net_256x2, prop_0_0.03, 1.4963459968566895,1.5261073112487793,1.4615685939788818,1.552398920059204,1.4825539588928223,unsat,unsat,unsat,unsat,unsat,3.3416051864624023,3.2788970470428467,3.2800559997558594,1.6827630996704102,1.5993690490722656,unsat,unsat,unsat,unsat,unsat,1.6968622207641602,1.6398413181304932,1.675489902496338,1.6982998847961426,1.632615089416504,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_1_0.03, 0.6733028888702393,0.668684720993042,0.6558430194854736,0.6964931488037109,0.7063431739807129,sat,sat,sat,sat,sat,0.7859272956848145,0.8641629219055176,0.7707202434539795,0.8072588443756104,0.8525347709655762,sat,sat,sat,sat,sat,0.8250072002410889,0.7942981719970703,0.8067989349365234,0.816436767578125,0.7891499996185303,sat,sat,sat,sat,sat
mnist-net_256x2, prop_2_0.03, 0.6864604949951172,0.639244794845581,0.7125375270843506,0.6448798179626465,0.6825752258300781,sat,sat,sat,sat,sat,0.7701590061187744,0.8179452419281006,0.816091775894165,0.8009016513824463,0.8341798782348633,sat,sat,sat,sat,sat,0.7868785858154297,0.8360006809234619,0.8331372737884521,0.8234350681304932,0.827559232711792,sat,sat,sat,sat,sat
mnist-net_256x2, prop_3_0.03, 1.5441176891326904,1.5238680839538574,1.5308785438537598,1.5207571983337402,1.47719144821167,unsat,unsat,unsat,unsat,unsat,1.6295278072357178,1.6998045444488525,1.6799006462097168,1.6505005359649658,1.6855182647705078,unsat,unsat,unsat,unsat,unsat,1.655444622039795,1.6500945091247559,1.664752721786499,1.6465117931365967,1.6042745113372803,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_4_0.03, 3.1676692962646484,3.1505048274993896,3.1557371616363525,3.1507136821746826,3.226048231124878,unsat,unsat,unsat,unsat,unsat,3.351728916168213,3.2840092182159424,3.2883660793304443,3.3457322120666504,3.269017457962036,unsat,unsat,unsat,unsat,unsat,3.2933833599090576,3.3246331214904785,3.385038375854492,3.35025691986084,3.2219998836517334,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_5_0.03, 1.5450873374938965,1.5258738994598389,1.5347838401794434,1.552046298980713,1.516597032546997,unsat,unsat,unsat,unsat,unsat,3.2839760780334473,3.3367245197296143,3.343552350997925,3.3974874019622803,1.6426987648010254,unsat,unsat,unsat,unsat,unsat,1.6313269138336182,1.6428089141845703,1.6439571380615234,1.6471259593963623,1.6441450119018555,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_6_0.03, 5.639525413513184,5.691216945648193,5.783769369125366,5.654481410980225,5.681628465652466,unsat,unsat,unsat,unsat,unsat,7.085332870483398,6.68786883354187,7.334485054016113,6.958808422088623,7.142892599105835,unsat,unsat,unsat,unsat,unsat,6.083806276321411,5.870636463165283,6.088343620300293,6.085864782333374,6.108248472213745,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_7_0.03, 1.62392258644104,1.6768925189971924,1.613907814025879,1.590815782546997,1.598066806793213,unsat,unsat,unsat,unsat,unsat,1.7403581142425537,1.8679473400115967,1.713430404663086,1.7897257804870605,1.6951136589050293,unsat,unsat,unsat,unsat,unsat,1.8346226215362549,1.7093720436096191,1.7194952964782715,1.7639942169189453,1.786271333694458,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_8_0.03, 5.033334732055664,5.038474798202515,5.040444850921631,4.994569540023804,5.028491020202637,unsat,unsat,unsat,unsat,unsat,5.595449924468994,5.692575454711914,5.677961349487305,5.796029329299927,5.71743631362915,unsat,unsat,unsat,unsat,unsat,5.5837156772613525,5.500673055648804,5.248852252960205,5.47219705581665,5.4438512325286865,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_9_0.03, 1.527207612991333,1.5241496562957764,1.5167832374572754,1.497072458267212,1.5376362800598145,unsat,unsat,unsat,unsat,unsat,1.6081736087799072,1.659998893737793,1.6944446563720703,1.6720061302185059,1.6088931560516357,unsat,unsat,unsat,unsat,unsat,1.6893362998962402,1.700279712677002,1.621502161026001,1.6755967140197754,1.595033884048462,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_10_0.03, 1.508255958557129,1.4568846225738525,1.5024890899658203,1.5331683158874512,1.5522148609161377,unsat,unsat,unsat,unsat,unsat,1.6385009288787842,1.629983901977539,1.7183914184570312,1.688861608505249,1.6874563694000244,unsat,unsat,unsat,unsat,unsat,1.6219029426574707,1.6546556949615479,1.652468204498291,1.6466550827026367,1.6593148708343506,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_11_0.03, 1.516629934310913,1.4990649223327637,1.5419039726257324,1.497520923614502,1.5336344242095947,unsat,unsat,unsat,unsat,unsat,1.6529467105865479,1.6584758758544922,1.6545519828796387,1.6158864498138428,1.6328294277191162,unsat,unsat,unsat,unsat,unsat,1.6859939098358154,1.6950650215148926,1.6792540550231934,1.666853666305542,1.636829137802124,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_12_0.03, 0.5704562664031982,0.5549650192260742,0.5304923057556152,0.596581220626831,0.5287737846374512,sat,sat,sat,sat,sat,0.7359271049499512,0.6842637062072754,0.7150890827178955,0.6824624538421631,0.7131814956665039,sat,sat,sat,sat,sat,0.6738235950469971,0.7245807647705078,0.7490291595458984,0.6737709045410156,0.6891896724700928,sat,sat,sat,sat,sat
mnist-net_256x2, prop_13_0.03, 1.4512083530426025,1.5220675468444824,1.5349514484405518,1.442854881286621,1.4546482563018799,unsat,unsat,unsat,unsat,unsat,1.6818125247955322,1.7010562419891357,1.6251566410064697,1.6771323680877686,1.713402271270752,unsat,unsat,unsat,unsat,unsat,1.7138099670410156,1.6941711902618408,1.6755070686340332,1.6408710479736328,1.6076672077178955,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_14_0.03, 1.4919662475585938,1.492666244506836,1.470060110092163,1.4870727062225342,1.5742378234863281,unsat,unsat,unsat,unsat,unsat,1.6483116149902344,1.5829098224639893,1.642531156539917,1.701735019683838,1.7223103046417236,unsat,unsat,unsat,unsat,unsat,1.6987297534942627,1.6823170185089111,1.6225371360778809,1.6711370944976807,1.633512258529663,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_0_0.05, 0.7052698135375977,0.6775996685028076,0.6856038570404053,0.7083466053009033,0.6999902725219727,sat,sat,sat,sat,sat,0.8692214488983154,0.8315751552581787,0.8388216495513916,0.7758910655975342,0.7869493961334229,sat,sat,sat,sat,sat,0.8026418685913086,0.8306765556335449,0.8587698936462402,0.8197293281555176,0.8902826309204102,sat,sat,sat,sat,sat
mnist-net_256x2, prop_1_0.05, 0.6607611179351807,0.724942684173584,0.6280770301818848,0.721855640411377,0.7029542922973633,sat,sat,sat,sat,sat,0.8622040748596191,0.798846960067749,0.7890868186950684,0.7954449653625488,0.7794866561889648,sat,sat,sat,sat,sat,0.8111011981964111,0.7916684150695801,0.7899718284606934,0.8298912048339844,0.8155486583709717,sat,sat,sat,sat,sat
