onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
mnist-net_256x2, prop_0_0.03, 14.917,15.243,15.076,15.056,14.971,unsat,unsat,unsat,unsat,unsat,31.767,32.506,32.408,32.599,31.078,unsat,unsat,unsat,unsat,unsat,31.545,31.468,32.429,31.49,31.382,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_1_0.03, 15.423,15.51,15.421,15.484,15.812,sat,sat,sat,sat,sat,48.959,40.736,39.454,41.21,39.803,sat,sat,sat,sat,sat,31.342,31.918,31.161,30.956,31.951,sat,sat,sat,sat,sat
mnist-net_256x2, prop_2_0.03, 15.082,15.406,15.419,15.214,15.254,sat,sat,sat,sat,sat,34.299,33.197,45.434,32.407,32.506,sat,sat,sat,sat,sat,31.264,31.795,31.098,31.851,31.149,sat,sat,sat,sat,sat
mnist-net_256x2, prop_3_0.03, 15.018,15.315,14.894,15.03,15.073,unsat,unsat,unsat,unsat,unsat,32.838,32.798,32.057,32.186,31.817,unsat,unsat,unsat,unsat,unsat,31.711,32.791,32.024,31.375,31.715,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_4_0.03, 15.158,15.118,15.412,15.384,15.016,unsat,unsat,unsat,unsat,unsat,34.39,39.408,33.658,32.451,38.188,unsat,unsat,unsat,unsat,unsat,32.192,31.097,30.944,30.903,31.423,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_5_0.03, 15.013,14.988,14.983,14.958,15.229,unsat,unsat,unsat,unsat,unsat,31.559,33.118,32.471,33.693,32.097,unsat,unsat,unsat,unsat,unsat,31.362,31.091,30.812,31.67,31.553,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_6_0.03, 16.952,17.463,17.021,17.004,17.037,unsat,unsat,unsat,unsat,unsat,66.756,62.265,71.916,70.15,70.29,unsat,unsat,unsat,unsat,unsat,36.371,34.507,34.587,34.781,33.472,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_7_0.03, 15.061,15.055,15.282,15.295,14.982,unsat,unsat,unsat,unsat,unsat,32.653,31.969,31.937,31.999,32.429,unsat,unsat,unsat,unsat,unsat,31.652,32.747,32.39,32.06,31.736,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_8_0.03, 15.203,15.232,15.318,15.382,15.17,unsat,unsat,unsat,unsat,unsat,69.134,67.166,49.501,61.131,51.222,unsat,unsat,unsat,unsat,unsat,31.988,32.007,31.859,31.566,31.812,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_9_0.03, 15.013,15.022,15.059,15.062,15.081,unsat,unsat,unsat,unsat,unsat,31.925,31.956,31.805,32.6,31.867,unsat,unsat,unsat,unsat,unsat,31.926,32.411,31.499,31.574,32.011,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_10_0.03, 15.238,15.089,15.037,15.03,15.228,unsat,unsat,unsat,unsat,unsat,31.507,31.38,31.338,31.14,31.305,unsat,unsat,unsat,unsat,unsat,31.667,31.33,31.203,31.661,31.208,unsat,unsat,unsat,unsat,unsat
