onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
mnist-net_256x2, prop_0_0.03, 15.214,15.23,15.47,15.569,15.482,unsat,unsat,unsat,unsat,unsat,180,180,180,33.311,32.867,timeout,timeout,timeout,unsat,unsat,32.524,32.226,32.427,31.931,32.475,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_1_0.03, 15.939,15.801,15.903,15.536,15.556,sat,sat,sat,sat,sat,180,180,180,180,91.008,timeout,timeout,timeout,timeout,sat,31.994,31.734,32.169,32.476,32.609,sat,sat,sat,sat,sat
mnist-net_256x2, prop_2_0.03, 15.878,15.489,15.325,15.771,15.732,sat,sat,sat,sat,sat,180,34.878,38.659,180,37.371,timeout,sat,sat,timeout,sat,32.955,31.954,32.215,32.335,32.429,sat,sat,sat,sat,sat
mnist-net_256x2, prop_3_0.03, 15.547,15.522,15.705,15.361,15.64,unsat,unsat,unsat,unsat,unsat,32.641,32.519,33.309,32.911,33.266,unsat,unsat,unsat,unsat,unsat,32.942,32.469,32.367,32.819,32.225,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_4_0.03, 22.884,22.887,22.39,22.902,22.374,unsat,unsat,unsat,unsat,unsat,180,180,180,180,180,timeout,timeout,timeout,timeout,timeout,54.966,60.664,54.314,52.969,57.305,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_5_0.03, 15.301,15.565,15.349,15.161,15.457,unsat,unsat,unsat,unsat,unsat,33.163,180,180,180,32.14,unsat,timeout,timeout,timeout,unsat,32.007,32.118,32.346,31.93,31.971,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_6_0.03, ERROR_SKIPPED, LAST RES timeout 120
mnist-net_256x2, prop_7_0.03, 15.539,15.367,15.562,15.655,15.513,unsat,unsat,unsat,unsat,unsat,33.315,33.217,32.614,33.66,33.213,unsat,unsat,unsat,unsat,unsat,32.977,32.372,32.993,32.438,33.043,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_8_0.03, 20.952,21.424,21.409,21.39,21.107,unsat,unsat,unsat,unsat,unsat,180,180,180,180,180,timeout,timeout,timeout,timeout,timeout,61.199,55.649,64.063,72.013,55.959,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_9_0.03, 15.436,15.379,15.596,15.565,15.747,unsat,unsat,unsat,unsat,unsat,32.982,32.863,33.314,33.121,32.678,unsat,unsat,unsat,unsat,unsat,32.476,32.789,33.621,32.435,33.158,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_10_0.03, 15.762,15.289,15.449,15.465,15.646,unsat,unsat,unsat,unsat,unsat,32.079,31.822,32.558,31.972,33.052,unsat,unsat,unsat,unsat,unsat,32.342,32.256,31.926,32.156,31.862,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_11_0.03, 15.705,15.446,15.704,15.838,15.327,unsat,unsat,unsat,unsat,unsat,33.699,32.683,32.915,32.783,33.174,unsat,unsat,unsat,unsat,unsat,32.972,32.722,32.798,32.616,32.661,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_12_0.03, 15.383,15.642,15.61,15.17,15.119,sat,sat,sat,sat,sat,38.694,38.188,37.921,37.83,37.234,sat,sat,sat,sat,sat,33.287,33.536,32.545,33.572,33.094,sat,sat,sat,sat,sat
