onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
mnist-net_256x2, prop_0_0.03, 1.5366,1.5549,1.5192,1.5576,1.6026,unsat,unsat,unsat,unsat,unsat,4.0478,4.1363,4.2193,1.711,1.6255,unsat,unsat,unsat,unsat,unsat,1.6864,1.7313,1.6393,1.6176,1.7409,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_1_0.03, 0.7478,0.7796,0.7714,0.7758,0.6767,sat,sat,sat,sat,sat,0.8613,0.7536,0.7487,0.8445,0.8298,sat,sat,sat,sat,sat,0.8602,0.7591,0.874,0.7595,0.8743,sat,sat,sat,sat,sat
mnist-net_256x2, prop_2_0.03, 11.8322,11.8978,11.9654,12.038,12.0374,sat,sat,sat,sat,sat,180,180,180,180,180,timeout,timeout,timeout,timeout,timeout,20.5105,19.0739,17.1517,17.7604,28.1501,sat,sat,sat,sat,sat
mnist-net_256x2, prop_3_0.03, 1.583,1.5914,1.5465,1.594,1.6134,unsat,unsat,unsat,unsat,unsat,1.7036,1.7618,1.6623,1.7592,1.6687,unsat,unsat,unsat,unsat,unsat,1.7622,1.7395,1.6879,1.7428,1.6796,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_4_0.03, 3.1415,3.0529,3.1087,3.1529,3.1329,unsat,unsat,unsat,unsat,unsat,4.1304,4.2214,4.2194,4.1184,4.1408,unsat,unsat,unsat,unsat,unsat,3.3279,3.3247,3.1655,3.3546,3.2668,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_5_0.03, 1.607,1.6139,1.536,1.6234,1.5702,unsat,unsat,unsat,unsat,unsat,4.2131,4.2227,4.0706,4.179,1.7559,unsat,unsat,unsat,unsat,unsat,1.6279,1.6174,1.7357,1.6508,1.7336,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_6_0.03, 5.0341,5.014,4.9503,5.0271,5.0376,unsat,unsat,unsat,unsat,unsat,6.2527,6.1976,6.2052,6.1087,6.4216,unsat,unsat,unsat,unsat,unsat,5.6805,5.5156,5.6091,5.8473,5.789,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_7_0.03, 1.7081,1.7036,1.7332,1.7022,1.72,unsat,unsat,unsat,unsat,unsat,1.9063,1.865,1.7948,1.7601,1.8753,unsat,unsat,unsat,unsat,unsat,1.7287,1.7815,1.8666,1.8596,1.8659,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_8_0.03, 4.3957,4.4529,4.5169,4.4842,4.3784,unsat,unsat,unsat,unsat,unsat,5.6155,5.821,5.8093,6.0189,5.9513,unsat,unsat,unsat,unsat,unsat,4.96,5.0785,4.9845,4.9651,5.0752,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_9_0.03, 1.5911,1.6249,1.5888,1.6133,1.5579,unsat,unsat,unsat,unsat,unsat,1.8028,1.6598,1.7995,1.7477,1.745,unsat,unsat,unsat,unsat,unsat,1.691,1.6795,1.6305,1.7465,1.6809,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_10_0.03, 1.5745,1.514,1.6057,1.6062,1.4992,unsat,unsat,unsat,unsat,unsat,1.7237,1.7041,1.7324,1.6437,1.6521,unsat,unsat,unsat,unsat,unsat,1.7666,1.7366,1.63,1.7304,1.7228,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_11_0.03, 1.5203,1.5989,1.5994,1.6292,1.6554,unsat,unsat,unsat,unsat,unsat,1.7429,1.7775,1.6458,1.7503,1.7214,unsat,unsat,unsat,unsat,unsat,1.6524,1.7339,1.7006,1.7477,1.7415,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_12_0.03, 0.5179,0.4037,0.549,0.5215,0.4695,sat,sat,sat,sat,sat,0.5327,0.5262,0.5755,0.4574,0.4975,sat,sat,sat,sat,sat,0.4888,0.5681,0.5155,0.5969,0.4996,sat,sat,sat,sat,sat
mnist-net_256x2, prop_13_0.03, 1.6175,1.599,1.6164,1.6246,1.6068,unsat,unsat,unsat,unsat,unsat,1.6652,1.745,1.6462,1.6238,1.7585,unsat,unsat,unsat,unsat,unsat,1.7711,1.6507,1.7538,1.7644,1.7513,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_14_0.03, 1.625,1.6211,1.5843,1.6103,1.6303,unsat,unsat,unsat,unsat,unsat,1.6658,1.78,1.7281,1.743,1.6446,unsat,unsat,unsat,unsat,unsat,1.6536,1.724,1.7485,1.7566,1.7503,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_0_0.05, 0.8999,0.8932,0.8934,0.8623,0.8764,sat,sat,sat,sat,sat,1.01,0.8679,0.9469,0.9607,1.0104,sat,sat,sat,sat,sat,0.95,0.9462,0.893,0.9489,0.8847,sat,sat,sat,sat,sat
mnist-net_256x2, prop_1_0.05, 0.7798,0.7638,0.7735,0.7509,0.7994,sat,sat,sat,sat,sat,0.8881,0.8919,0.8438,0.8584,0.7696,sat,sat,sat,sat,sat,0.7546,0.8833,0.8498,0.8816,0.87,sat,sat,sat,sat,sat
mnist-net_256x2, prop_2_0.05, 0.7899,0.7653,0.7649,0.7844,0.7461,sat,sat,sat,sat,sat,0.8823,0.8757,0.7467,0.8683,0.7528,sat,sat,sat,sat,sat,0.8142,0.856,0.8316,0.8551,0.8387,sat,sat,sat,sat,sat
mnist-net_256x2, prop_3_0.05, 3.0915,3.0426,3.0705,3.0506,3.177,unsat,unsat,unsat,unsat,unsat,4.1168,4.0988,4.2078,4.1241,4.3136,unsat,unsat,unsat,unsat,unsat,3.3157,3.315,3.1648,3.3012,3.2478,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_4_0.05, 0.7789,0.7025,0.6782,0.763,0.6865,sat,sat,sat,sat,sat,0.7733,0.8537,0.8116,0.8435,0.8184,sat,sat,sat,sat,sat,0.7814,0.7781,0.8138,0.8795,0.8687,sat,sat,sat,sat,sat
mnist-net_256x2, prop_5_0.05, 0.778,0.7478,0.7763,0.7664,0.7912,sat,sat,sat,sat,sat,0.7572,0.7893,0.8778,0.8585,0.8568,sat,sat,sat,sat,sat,0.8677,0.8878,0.7506,0.877,0.8014,sat,sat,sat,sat,sat
mnist-net_256x2, prop_6_0.05, 0.7479,0.7868,0.7572,0.7888,0.7677,sat,sat,sat,sat,sat,0.856,0.8551,0.7738,0.8396,0.75,sat,sat,sat,sat,sat,0.8707,0.7448,0.8961,0.8616,0.8718,sat,sat,sat,sat,sat
mnist-net_256x2, prop_7_0.05, 1.5225,1.6277,1.5921,1.4941,1.6029,unsat,unsat,unsat,unsat,unsat,4.397,3.2237,3.2494,1.6962,4.4181,unsat,unsat,unsat,unsat,unsat,1.7537,1.6372,1.6155,1.6272,1.7131,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_8_0.05, 0.7801,0.7628,0.7728,0.784,0.7755,sat,sat,sat,sat,sat,0.8896,0.8777,0.8805,0.8638,0.7635,sat,sat,sat,sat,sat,0.9093,0.8647,0.8355,0.8185,0.9033,sat,sat,sat,sat,sat
mnist-net_256x2, prop_9_0.05, 4.9662,4.8422,4.9129,4.9812,4.9744,unsat,unsat,unsat,unsat,unsat,5.8787,5.898,6.1061,5.9581,5.6955,unsat,unsat,unsat,unsat,unsat,5.8307,5.6609,5.8104,5.8673,5.8785,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_10_0.05, 5.5328,5.6963,5.6885,5.6691,5.5799,unsat,unsat,unsat,unsat,unsat,6.7578,7.066,7.6429,7.1813,7.254,unsat,unsat,unsat,unsat,unsat,6.9499,7.0499,6.9671,6.8875,6.9268,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_11_0.05, 4.8651,4.6823,4.8447,4.8682,4.8769,unsat,unsat,unsat,unsat,unsat,6.1478,6.1355,5.8874,6.1133,5.9234,unsat,unsat,unsat,unsat,unsat,5.2897,5.5801,5.4259,5.6261,5.6547,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_12_0.05, 0.424,0.4681,0.4451,0.4788,0.487,sat,sat,sat,sat,sat,0.5824,0.5195,0.5909,0.4976,0.5952,sat,sat,sat,sat,sat,0.535,0.5163,0.45,0.4986,0.5151,sat,sat,sat,sat,sat
mnist-net_256x2, prop_13_0.05, 3.7348,3.6079,3.7486,3.7332,3.7462,unsat,unsat,unsat,unsat,unsat,4.3193,4.2262,4.339,4.1939,4.2819,unsat,unsat,unsat,unsat,unsat,4.0772,4.1171,4.2003,4.1551,4.0031,unsat,unsat,unsat,unsat,unsat
mnist-net_256x2, prop_14_0.05, 4.5977,4.6842,4.6542,4.5866,4.5249,unsat,unsat,unsat,unsat,unsat,5.378,5.4275,5.3874,5.7653,5.7176,unsat,unsat,unsat,unsat,unsat,5.1861,5.1186,5.2628,5.2728,5.1084,unsat,unsat,unsat,unsat,unsat
