onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,1.3640825748443604,unsat,3.1112959384918213,unsat,1.445207118988037
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,0.812929630279541,sat,0.8995730876922607,sat,0.9033355712890625
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,4.092174768447876,sat,7.223685264587402,sat,4.257402181625366
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.3394668102264404,unsat,1.4673082828521729,unsat,1.4771032333374023
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,2.946685552597046,unsat,3.1302812099456787,unsat,3.07258939743042
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.3482615947723389,unsat,3.17230224609375,unsat,1.4443058967590332
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,4.6078574657440186,unsat,7.01528525352478,unsat,5.29503607749939
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.7279179096221924,unsat,1.5419573783874512,unsat,1.5592148303985596
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,4.6693665981292725,unsat,5.780680179595947,unsat,4.936986923217773
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.3616597652435303,unsat,1.454803705215454,unsat,1.435697078704834
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.3125531673431396,unsat,3.1190426349639893,unsat,1.4664862155914307
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,1.2974836826324463,unsat,1.4363093376159668,unsat,1.452904462814331
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,0.4906167984008789,sat,0.6461470127105713,sat,0.6068062782287598
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,1.3228216171264648,unsat,1.4768750667572021,unsat,1.472994089126587
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,1.3019461631774902,unsat,1.4675540924072266,unsat,1.4935872554779053
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,5.794593811035156,sat,23.759931802749634,sat,6.425613164901733
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,0.7659492492675781,sat,0.9085826873779297,sat,0.8781657218933105
