onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,1.4429,unsat,3.9048,unsat,1.5806
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,0.6263,sat,0.7157,sat,0.7191
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,11.3956,timeout,330,sat,17.0324
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.4617,unsat,1.5846,unsat,1.5943
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,2.9202,unsat,3.8862,unsat,3.0776
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.4573,unsat,3.9735,unsat,1.5814
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,4.69,unsat,5.9064,unsat,5.5543
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.52,unsat,1.7144,unsat,1.6975
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,4.184,unsat,5.6658,unsat,4.781
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.4347,unsat,1.5942,unsat,1.5969
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.4353,unsat,3.0665,unsat,1.5685
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,1.4508,unsat,1.5556,unsat,1.5593
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,0.3464,sat,0.4296,sat,0.4321
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,1.4239,unsat,1.598,unsat,1.5909
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,1.4297,unsat,1.5654,unsat,1.5729
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,0.7229,sat,0.798,sat,0.8174
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,0.6301,sat,0.7256,sat,0.7111
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,0.6232,sat,0.7232,sat,0.6968
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,2.9018,unsat,3.9034,unsat,3.0381
