onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,1.0,unsat,44.0,unsat,1.5
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,7.8,timeout,330,sat,18.8
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,3.8,timeout,330,sat,9.1
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,1.0,unsat,46.0,unsat,1.5
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.0,unsat,33.3,unsat,1.5
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,10.2,timeout,330,unsat,22.6
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,3.7,timeout,330,unsat,9.9
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.0,unsat,18.3,unsat,1.5
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,2.6,sat,143.21,sat,6.4
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,2.7,sat,141.88,sat,6.4
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,2.7,sat,140.54,sat,6.2
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,1.9,unsat,66.89,unsat,4.6
mnist-net_256x2,prop_4_0.05,random,stable,240,sat,22.3,timeout,330,sat,77.62
mnist-net_256x2,prop_5_0.05,random,stable,242,sat,8.5,timeout,330,sat,19.5
mnist-net_256x2,prop_6_0.05,random,stable,225,sat,25.0,timeout,330,sat,77.53
mnist-net_256x2,prop_7_0.05,random,stable,250,unsat,1.6,unsat,25.9,unsat,4.6
mnist-net_256x2,prop_8_0.05,random,stable,243,sat,2.6,sat,140.42,sat,6.2
mnist-net_256x2,prop_9_0.05,random,stable,248,unsat,5.7,timeout,330,unsat,16.6
mnist-net_256x2,prop_10_0.05,random,stable,242,unsat,14.9,timeout,330,unsat,31.5
mnist-net_256x2,prop_11_0.05,random,stable,248,unsat,5.0,timeout,330,unsat,12.8
mnist-net_256x2,prop_12_0.05,random,stable,248,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.05,random,stable,251,unsat,1.9,unsat,83.67,unsat,4.9
mnist-net_256x2,prop_14_0.05,random,stable,246,unsat,5.0,timeout,330,unsat,14.4
mnist-net_256x4,prop_0_0.03,random,stable,230,unsat,1.0,timeout,330,unsat,1.8
mnist-net_256x4,prop_1_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,stable,225,unsat,5.2,timeout,330,unsat,11.8
mnist-net_256x4,prop_3_0.03,random,stable,239,unsat,1.0,timeout,330,unsat,1.8
mnist-net_256x4,prop_4_0.03,random,stable,223,unsat,5.2,timeout,330,unsat,12.0
mnist-net_256x4,prop_5_0.03,random,stable,225,unsat,1.0,unsat,216.13,unsat,1.8
mnist-net_256x4,prop_6_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,stable,235,unsat,4.7,timeout,330,unsat,10.5
mnist-net_256x4,prop_8_0.03,random,stable,227,unsat,39.9,timeout,330,unsat,82.07
mnist-net_256x4,prop_9_0.03,random,stable,233,unsat,4.9,timeout,330,unsat,11.2
mnist-net_256x4,prop_10_0.03,random,stable,235,unsat,1.0,timeout,330,unsat,1.8
mnist-net_256x4,prop_11_0.03,random,stable,232,unsat,1.0,timeout,330,unsat,1.8
mnist-net_256x4,prop_12_0.03,random,stable,240,unsat,4.6,timeout,330,unsat,10.4
mnist-net_256x4,prop_13_0.03,random,stable,231,unsat,1.0,unsat,237.86,unsat,1.8
mnist-net_256x4,prop_14_0.03,random,stable,233,unsat,1.0,unsat,159.69,unsat,1.8
mnist-net_256x4,prop_0_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,stable,223,unsat,17.7,timeout,330,unsat,43.0
mnist-net_256x4,prop_4_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,random,stable,201,unsat,230.19,timeout,330,timeout,300
mnist-net_256x4,prop_6_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,random,stable,217,unsat,88.84,timeout,330,error,-1
mnist-net_256x4,prop_12_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,random,stable,214,unsat,53.2,timeout,330,unsat,136.97
mnist-net_256x6,prop_0_0.03,random,stable,217,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_1_0.03,random,stable,SKIPPED,error,-1,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,random,stable,205,unsat,10.4,timeout,330,unsat,21.8
mnist-net_256x6,prop_3_0.03,random,stable,227,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_4_0.03,random,stable,226,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_5_0.03,random,stable,213,unsat,11.4,timeout,330,unsat,23.6
mnist-net_256x6,prop_6_0.03,random,stable,SKIPPED,error,-1,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.03,random,stable,231,unsat,41.2,timeout,330,unsat,93.37
mnist-net_256x6,prop_8_0.03,random,stable,236,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_9_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,random,stable,229,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_11_0.03,random,stable,223,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_12_0.03,random,stable,238,unsat,19.0,timeout,330,unsat,37.5
mnist-net_256x6,prop_13_0.03,random,stable,228,unsat,9.3,timeout,330,unsat,19.5
mnist-net_256x6,prop_14_0.03,random,stable,228,unsat,1.0,timeout,330,unsat,2.1
mnist-net_256x6,prop_0_0.05,random,stable,SKIPPED,error,-1,-1,-1,-1,-1
mnist-net_256x6,prop_1_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1
