onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 12.360555648803711,12.275421619415283,12.63164496421814,12.472999572753906,12.492745161056519,unsat,unsat,unsat,unsat,unsat,26.400209426879883,23.942482233047485,23.0162570476532,23.579137086868286,24.602436065673828,unsat,unsat,unsat,unsat,unsat,13.733498334884644,13.803377389907837,14.002794742584229,13.955014944076538,13.6782968044281,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 16.355655908584595,16.867280960083008,17.047061920166016,17.193382740020752,17.10477375984192,unsat,unsat,unsat,unsat,unsat,23.734376668930054,23.98684287071228,23.756799697875977,23.424400806427002,22.98951768875122,unsat,unsat,unsat,unsat,unsat,19.236372709274292,21.153704166412354,19.47825288772583,19.287389516830444,20.580727100372314,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 9.344207048416138,9.165101528167725,9.280380249023438,9.1369309425354,8.88194751739502,unsat,unsat,unsat,unsat,unsat,10.470891952514648,10.458597898483276,9.985048532485962,10.383317947387695,10.574065923690796,unsat,unsat,unsat,unsat,unsat,9.884489059448242,9.959392547607422,9.997323751449585,9.93699049949646,9.924021244049072,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 8.472161531448364,8.212814807891846,8.547031879425049,8.2332444190979,8.679548025131226,unsat,unsat,unsat,unsat,unsat,11.603269815444946,11.367417097091675,11.18676209449768,11.126197099685669,11.191104412078857,unsat,unsat,unsat,unsat,unsat,9.129766941070557,8.899287939071655,9.069728374481201,9.092312574386597,8.962666749954224,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 10.921760320663452,10.956818103790283,10.522377729415894,10.552685976028442,10.587259531021118,unsat,unsat,unsat,unsat,unsat,13.833312034606934,13.720115423202515,12.888804197311401,13.525020122528076,13.308412075042725,unsat,unsat,unsat,unsat,unsat,11.067367792129517,11.79831600189209,11.570314884185791,11.334282636642456,11.29699993133545,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 16.86974787712097,16.746875762939453,18.040061950683594,17.09500765800476,15.687567472457886,unsat,unsat,unsat,unsat,unsat,26.357411861419678,27.776196479797363,29.276978492736816,26.796969175338745,26.22646188735962,unsat,unsat,unsat,unsat,unsat,19.547832489013672,19.469208002090454,20.090362071990967,19.06757402420044,19.21672773361206,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 9.543226718902588,9.423959732055664,9.59746503829956,9.400915622711182,9.478509664535522,unsat,unsat,unsat,unsat,unsat,11.237479209899902,11.369202375411987,11.278028964996338,11.28563380241394,11.38696026802063,unsat,unsat,unsat,unsat,unsat,10.203068971633911,8.913499593734741,10.147828578948975,8.739288568496704,10.088898658752441,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 20.44901752471924,20.04473328590393,20.03562307357788,19.973039627075195,20.31746506690979,unsat,unsat,unsat,unsat,unsat,27.759385347366333,26.63599419593811,28.05429482460022,27.693509578704834,26.222275257110596,unsat,unsat,unsat,unsat,unsat,26.742791414260864,26.19911217689514,25.95619249343872,25.69350814819336,25.390435457229614,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 23.581091165542603,24.795087337493896,22.695713996887207,23.565723180770874,25.093300342559814,unsat,unsat,unsat,unsat,unsat,33.16789650917053,32.726337909698486,30.09387755393982,32.831660747528076,32.40616178512573,unsat,unsat,unsat,unsat,unsat,25.014676332473755,24.925445795059204,24.25536298751831,24.039533615112305,23.144239902496338,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img6432-eps0.034771241830065365, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img7564-eps0.04183006535947713, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img8517-eps0.006928104575163399, 23.695707321166992,24.07506227493286,23.214228630065918,21.529009580612183,23.441863298416138,unsat,unsat,unsat,unsat,unsat,34.729952573776245,36.02202033996582,34.05197882652283,38.96558332443237,34.37047600746155,unsat,unsat,unsat,unsat,unsat,29.732657432556152,29.183470726013184,29.678059577941895,28.91581082344055,28.872931957244873,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img2732-eps0.04967320261437909, 272.89825654029846,307.68195271492004,255.64585280418396,258.86385321617126,251.25197911262512,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,467.5762004852295,563.1621649265289,431.51983618736267,366.02317929267883,441.12806963920593,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img1909-eps0.0033986928104575162, 1.9907042980194092,1.9070806503295898,1.9576306343078613,1.8904776573181152,1.8531067371368408,sat,sat,sat,sat,sat,2.024489164352417,1.999154806137085,1.9913461208343506,2.019458055496216,2.031557083129883,sat,sat,sat,sat,sat,1.994980812072754,2.0118701457977295,1.996856689453125,2.0371344089508057,2.0452492237091064,sat,sat,sat,sat,sat
cifar_wide_kw, cifar_wide_kw-img5989-eps0.028235294117647063, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img9916-eps0.053202614379084974, 256.7979564666748,323.6574749946594,237.88179206848145,268.51628375053406,287.6349537372589,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,375.26271629333496,423.1044566631317,450.80465292930603,349.4491431713104,427.46357226371765,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img3478-eps0.004313725490196079, 10.61650800704956,10.744470834732056,10.70372462272644,10.862136363983154,10.891818046569824,unsat,unsat,unsat,unsat,unsat,16.118472814559937,17.797545909881592,16.593737363815308,17.097458362579346,16.94912576675415,unsat,unsat,unsat,unsat,unsat,12.601885318756104,12.791701316833496,12.740417242050171,12.79036831855774,12.433726787567139,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img9062-eps0.0014379084967320263, 1.3783214092254639,1.4908747673034668,1.4250719547271729,1.4248449802398682,1.496253252029419,unsat,unsat,unsat,unsat,unsat,1.4585254192352295,1.4774737358093262,1.43513822555542,1.446838617324829,1.5193595886230469,unsat,unsat,unsat,unsat,unsat,1.5027458667755127,1.514549970626831,1.3998305797576904,1.4960386753082275,1.524190902709961,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img3458-eps0.022875816993464054, 62.63191556930542,61.136985778808594,57.22925591468811,60.506760597229004,57.10960841178894,unsat,unsat,unsat,unsat,unsat,253.61762881278992,229.08714938163757,345.7973747253418,277.9922368526459,295.86680340766907,unsat,unsat,unsat,unsat,unsat,68.55690217018127,69.71154499053955,68.27433657646179,68.44154572486877,70.13041138648987,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4405-eps0.036732026143790855, 85.3030354976654,82.63206744194031,85.8347716331482,84.56061220169067,83.75652241706848,unsat,unsat,unsat,unsat,unsat,94.50940418243408,99.24589848518372,98.62214136123657,100.20967245101929,98.2681667804718,unsat,unsat,unsat,unsat,unsat,77.1002368927002,84.71688747406006,77.67539715766907,78.10248923301697,77.55244183540344,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img7878-eps0.009934640522875817, 13.322679996490479,13.627551555633545,13.33979082107544,13.250465631484985,13.526102304458618,unsat,unsat,unsat,unsat,unsat,14.7103111743927,14.883047103881836,14.765822410583496,14.448054313659668,14.604209899902344,unsat,unsat,unsat,unsat,unsat,14.341336250305176,14.160604000091553,14.37869143486023,14.775268316268921,14.443084239959717,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img1052-eps0.010718954248366015, 42.63405179977417,38.99424743652344,42.1387939453125,42.285048723220825,40.74752688407898,unsat,unsat,unsat,unsat,unsat,57.91342759132385,58.410154819488525,57.93916034698486,57.41816997528076,58.81238102912903,unsat,unsat,unsat,unsat,unsat,43.41078281402588,46.06390452384949,39.8236346244812,40.46341896057129,44.508097410202026,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4325-eps0.01673202614379085, 12.858007907867432,12.767356634140015,12.857208967208862,12.85250973701477,12.716527223587036,unsat,unsat,unsat,unsat,unsat,12.994866371154785,13.253239870071411,13.13305139541626,13.071503162384033,13.156951189041138,unsat,unsat,unsat,unsat,unsat,12.689707279205322,12.688232898712158,12.667970418930054,12.471509456634521,12.635447263717651,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4168-eps0.03150326797385621, 22.630379915237427,22.050359964370728,22.8279128074646,21.883448600769043,22.122921228408813,unsat,unsat,unsat,unsat,unsat,32.570903301239014,34.73690986633301,34.69108581542969,34.81321477890015,35.677754163742065,unsat,unsat,unsat,unsat,unsat,23.03069233894348,24.400278568267822,25.286391258239746,24.351763248443604,25.031739234924316,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img3062-eps0.007450980392156864, 9.93181300163269,9.164472579956055,10.156805753707886,10.560901165008545,10.358271598815918,unsat,unsat,unsat,unsat,unsat,10.827390670776367,10.993133068084717,11.17791485786438,11.311474084854126,11.321511268615723,unsat,unsat,unsat,unsat,unsat,10.871648073196411,10.361910104751587,10.373368263244629,10.30208420753479,10.768781423568726,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img9931-eps0.02496732026143791, 67.71243286132812,67.44027066230774,67.97490930557251,69.10401391983032,68.05293798446655,unsat,unsat,unsat,unsat,unsat,89.58060121536255,96.84358477592468,97.4869556427002,91.87288165092468,96.0270631313324,unsat,unsat,unsat,unsat,unsat,65.08798789978027,69.57680058479309,65.44113636016846,72.44265556335449,56.59332537651062,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img8366-eps0.0550326797385621, 5.059490442276001,5.160696983337402,5.109389781951904,5.092226505279541,5.018566131591797,unsat,unsat,unsat,unsat,unsat,5.419932126998901,5.465073347091675,5.3944127559661865,5.370855093002319,5.297787666320801,unsat,unsat,unsat,unsat,unsat,5.2323479652404785,5.139152526855469,5.08363938331604,5.1328535079956055,5.148322820663452,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img9845-eps0.009673202614379085, 4.975298881530762,5.0647900104522705,5.071540832519531,5.091096878051758,4.905804634094238,unsat,unsat,unsat,unsat,unsat,5.101466417312622,5.095343112945557,4.916511297225952,4.993699789047241,4.943260669708252,unsat,unsat,unsat,unsat,unsat,5.033950567245483,5.063178539276123,5.023110628128052,4.997228384017944,5.0554375648498535,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4510-eps0.028235294117647063, 17.519203186035156,18.179466485977173,17.91334056854248,17.759613275527954,17.618720054626465,unsat,unsat,unsat,unsat,unsat,23.725650310516357,23.954068899154663,23.399492979049683,23.564444541931152,23.536924123764038,unsat,unsat,unsat,unsat,unsat,19.219332218170166,18.77970552444458,20.376530408859253,18.656633138656616,19.281510829925537,unsat,unsat,unsat,unsat,unsat
