onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 11.0528,10.9142,10.8878,10.9549,10.9003,unsat,unsat,unsat,unsat,unsat,19.9104,20.1951,20.169,19.7132,19.7427,unsat,unsat,unsat,unsat,unsat,12.8108,12.6263,12.4899,12.6292,12.6805,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 13.0437,13.0703,13.0092,12.9025,12.8866,unsat,unsat,unsat,unsat,unsat,18.1719,18.0506,18.2256,18.0631,18.3893,unsat,unsat,unsat,unsat,unsat,14.7263,14.881,14.8135,14.522,14.7415,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 8.6124,8.5619,8.3125,8.1308,8.514,unsat,unsat,unsat,unsat,unsat,10.1467,10.1124,10.1102,9.7923,10.2355,unsat,unsat,unsat,unsat,unsat,9.4411,9.4237,9.3106,9.0375,9.3927,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 7.432,7.3837,7.4871,7.4478,7.4762,unsat,unsat,unsat,unsat,unsat,10.2149,10.7367,10.7292,10.4873,10.6804,unsat,unsat,unsat,unsat,unsat,7.9061,8.0818,8.0611,8.0767,8.1213,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 9.5473,9.0553,9.556,9.5553,9.5512,unsat,unsat,unsat,unsat,unsat,12.432,12.542,12.353,12.678,12.514,unsat,unsat,unsat,unsat,unsat,10.6488,10.6533,10.8923,10.6821,10.7898,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 13.0097,12.811,12.6734,12.8411,13.0459,unsat,unsat,unsat,unsat,unsat,19.622,19.2857,19.2301,19.5655,19.645,unsat,unsat,unsat,unsat,unsat,14.7188,14.7837,14.7961,14.7556,14.924,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 7.726,7.7395,7.7989,7.7353,7.692,unsat,unsat,unsat,unsat,unsat,10.849,10.804,10.7516,10.8795,10.926,unsat,unsat,unsat,unsat,unsat,8.4701,8.4743,8.5153,8.4429,8.3642,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 14.8755,15.0718,15.0677,14.7939,15.1003,unsat,unsat,unsat,unsat,unsat,18.5373,18.3794,18.624,18.6699,18.6911,unsat,unsat,unsat,unsat,unsat,16.5464,17.6148,17.4275,17.6416,17.1503,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 22.5881,22.5337,22.8681,22.8909,22.3227,unsat,unsat,unsat,unsat,unsat,119.4386,120.6382,118.8573,120.0496,117.2895,unsat,unsat,unsat,unsat,unsat,24.2758,22.5724,25.2375,22.745,25.9063,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img6432-eps0.034771241830065365, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img7564-eps0.04183006535947713, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img8517-eps0.006928104575163399, 15.9511,16.5201,16.4789,16.0952,16.2832,unsat,unsat,unsat,unsat,unsat,188.8697,190.9099,191.3752,188.7211,189.6468,unsat,unsat,unsat,unsat,unsat,17.6217,18.5795,18.3167,17.9149,18.3004,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img2732-eps0.04967320261437909, 180.8166,182.155,185.2602,182.0484,181.3342,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout
cifar_wide_kw, cifar_wide_kw-img1909-eps0.0033986928104575162, 0.8578,0.915,0.8307,0.9139,0.8945,sat,sat,sat,sat,sat,0.9787,0.9349,0.9276,0.9629,0.9464,sat,sat,sat,sat,sat,0.9702,0.9678,0.954,0.9385,0.8904,sat,sat,sat,sat,sat
cifar_wide_kw, cifar_wide_kw-img5989-eps0.028235294117647063, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img9916-eps0.053202614379084974, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img3478-eps0.004313725490196079, 10.8524,10.8155,10.644,10.8581,10.9574,unsat,unsat,unsat,unsat,unsat,14.4837,14.6734,14.3825,13.6965,14.5168,unsat,unsat,unsat,unsat,unsat,12.3478,11.7379,11.935,12.1941,12.0724,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img9062-eps0.0014379084967320263, 2.5615,2.5819,2.6243,2.6188,2.6569,unsat,unsat,unsat,unsat,unsat,2.6431,2.6627,2.6645,2.6599,2.6399,unsat,unsat,unsat,unsat,unsat,2.6335,2.5729,2.6172,2.5959,2.6455,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img3458-eps0.022875816993464054, 254.2168,256.5014,257.8247,259.0482,256.2131,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,926.3069,515.812,704.1394,698.0795,837.2674,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4405-eps0.036732026143790855, ERROR_SKIPPED, LAST RES timeout 720
cifar_deep_kw, cifar_deep_kw-img7878-eps0.009934640522875817, 12.2644,11.9765,12.2283,12.1007,12.1565,unsat,unsat,unsat,unsat,unsat,13.7752,13.4578,13.852,14.1571,14.0577,unsat,unsat,unsat,unsat,unsat,12.5272,12.7618,13.1449,13.079,13.2043,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img1052-eps0.010718954248366015, 489.6371,457.7656,505.1071,519.4119,529.6558,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,566.7761,530.9684,576.4117,595.421,504.3226,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4325-eps0.01673202614379085, 12.5341,12.5013,12.537,12.4817,12.4202,unsat,unsat,unsat,unsat,unsat,14.3887,14.438,14.3728,14.4693,14.2286,unsat,unsat,unsat,unsat,unsat,13.6935,13.5438,13.46,13.6073,13.8069,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4168-eps0.03150326797385621, 20.4141,21.3969,21.5128,20.8217,21.1265,unsat,unsat,unsat,unsat,unsat,30.919,31.0849,31.3882,31.0865,30.9506,unsat,unsat,unsat,unsat,unsat,26.1422,26.0202,26.0453,25.8575,26.5251,unsat,unsat,unsat,unsat,unsat
