onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 12.544590711593628,12.588476419448853,12.404820919036865,12.411357402801514,12.616161108016968,unsat,unsat,unsat,unsat,unsat,24.66531491279602,29.445995092391968,32.449830055236816,29.77731227874756,28.928823947906494,unsat,unsat,unsat,unsat,unsat,18.072613954544067,22.926738023757935,22.649518251419067,18.532872915267944,21.80148196220398,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 16.96541666984558,16.845550298690796,17.077964544296265,16.327942371368408,16.17908024787903,unsat,unsat,unsat,unsat,unsat,23.836337566375732,30.784322023391724,31.44517993927002,31.862977743148804,28.26455330848694,unsat,unsat,unsat,unsat,unsat,22.37700057029724,24.74131155014038,26.873072147369385,21.98302459716797,23.205763578414917,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 9.065966129302979,9.222650289535522,8.895890235900879,9.183776140213013,9.13822627067566,unsat,unsat,unsat,unsat,unsat,9.732564449310303,17.968865394592285,10.895406484603882,18.149560689926147,16.90265679359436,unsat,unsat,unsat,unsat,unsat,10.03668999671936,10.691939115524292,10.668097734451294,10.506408452987671,10.796532154083252,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 8.13819932937622,7.994868516921997,8.156618118286133,8.143906354904175,8.183690786361694,unsat,unsat,unsat,unsat,unsat,10.188107013702393,13.96782922744751,21.071008682250977,11.962658166885376,22.198431253433228,unsat,unsat,unsat,unsat,unsat,9.364067316055298,9.415519952774048,9.42153525352478,9.2952880859375,9.147894620895386,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 10.302206754684448,10.398047685623169,10.374475479125977,10.359855890274048,10.31127405166626,unsat,unsat,unsat,unsat,unsat,13.976341247558594,22.68414568901062,24.843709707260132,24.56307816505432,27.995788097381592,unsat,unsat,unsat,unsat,unsat,12.393928527832031,12.82660961151123,12.449511766433716,12.471547603607178,12.05970549583435,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 16.647337198257446,16.731955766677856,16.44154691696167,16.63569450378418,16.787440299987793,unsat,unsat,unsat,unsat,unsat,29.57050633430481,27.411620378494263,27.044925928115845,29.162957429885864,31.88636326789856,unsat,unsat,unsat,unsat,unsat,22.46903157234192,27.71627187728882,30.984203577041626,23.509918689727783,24.933847904205322,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 9.311785221099854,9.302807092666626,9.250952959060669,9.137641668319702,9.107517719268799,unsat,unsat,unsat,unsat,unsat,12.079564809799194,11.112749099731445,12.201818227767944,12.014452457427979,20.899866580963135,unsat,unsat,unsat,unsat,unsat,10.609752416610718,8.118884801864624,9.973979234695435,8.651874780654907,10.95436716079712,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 19.902350664138794,19.547450065612793,19.999741077423096,20.434324026107788,19.53170418739319,unsat,unsat,unsat,unsat,unsat,27.063490390777588,35.455052852630615,39.26400589942932,31.981889724731445,39.66877746582031,unsat,unsat,unsat,unsat,unsat,29.845489263534546,35.36506199836731,34.540905237197876,32.27707505226135,31.499216318130493,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 23.230437517166138,23.361640691757202,23.271348476409912,24.18159508705139,22.32390522956848,unsat,unsat,unsat,unsat,unsat,36.81647205352783,39.715089082717896,45.94479298591614,47.00384569168091,46.76735520362854,unsat,unsat,unsat,unsat,unsat,29.84830379486084,29.445952892303467,30.812795639038086,28.629804849624634,26.559821605682373,unsat,unsat,unsat,unsat,unsat
