onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 10.7452,10.9617,10.8732,11.0318,10.785,unsat,unsat,unsat,unsat,unsat,23.151,173.0589,201.045,196.6868,192.7528,unsat,unsat,unsat,unsat,unsat,14.7792,15.326,15.8756,14.118,15.6814,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 13.0142,12.8597,12.9863,13.0274,12.904,unsat,unsat,unsat,unsat,unsat,21.1156,88.3193,155.5578,365.0151,192.4685,unsat,unsat,unsat,unsat,unsat,16.5851,17.1056,18.1839,17.064,16.7317,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 8.422,8.5082,8.5264,8.5227,8.5447,unsat,unsat,unsat,unsat,unsat,13.2901,17.5916,14.4518,18.696,18.2956,unsat,unsat,unsat,unsat,unsat,10.1059,10.1603,10.1018,10.3272,10.2054,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 7.4488,7.4384,7.5007,7.3932,7.3308,unsat,unsat,unsat,unsat,unsat,13.0901,15.5552,17.2252,14.1522,34.1672,unsat,unsat,unsat,unsat,unsat,8.4028,8.0714,8.4476,8.4601,8.1261,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 9.4458,9.4409,9.435,9.4997,9.4732,unsat,unsat,unsat,unsat,unsat,14.7633,18.1625,38.1996,29.2945,200.564,unsat,unsat,unsat,unsat,unsat,11.5542,11.8488,11.8921,11.9074,11.8053,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 12.7584,12.8405,12.8882,12.6253,12.9397,unsat,unsat,unsat,unsat,unsat,26.7839,22.2491,26.7479,26.943,40.8797,unsat,unsat,unsat,unsat,unsat,16.5054,18.0198,22.6703,16.8466,17.5122,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 7.8316,7.7751,7.8497,7.707,7.57,unsat,unsat,unsat,unsat,unsat,13.6677,13.0661,13.9621,13.8675,16.3677,unsat,unsat,unsat,unsat,unsat,9.1261,8.5444,9.2289,9.2854,8.9664,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 15.1188,15.0537,15.0391,15.0044,15.1968,unsat,unsat,unsat,unsat,unsat,21.3681,226.3972,350.9699,114.1465,372.1331,unsat,unsat,unsat,unsat,unsat,19.7083,24.1528,30.8326,19.936,25.1866,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 22.7058,22.2967,22.5835,22.765,22.8979,unsat,unsat,unsat,unsat,unsat,233.6955,639.7798,686.6621,627.0825,790.5666,unsat,unsat,unsat,unsat,unsat,27.1304,27.3602,82.5468,27.2134,33.0404,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img6432-eps0.034771241830065365, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img7564-eps0.04183006535947713, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img8517-eps0.006928104575163399, 16.1145,16.1011,16.1195,16.3803,16.2241,unsat,unsat,unsat,unsat,unsat,226.7557,660.305,98.6863,229.6589,309.9325,unsat,unsat,unsat,unsat,unsat,19.7349,23.8462,77.2502,22.9724,23.1471,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img2732-eps0.04967320261437909, 183.3362,193.9014,185.3737,190.4892,187.4438,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout
cifar_wide_kw, cifar_wide_kw-img1909-eps0.0033986928104575162, ERROR_SKIPPED, LAST RES sat 0.8895
cifar_wide_kw, cifar_wide_kw-img5989-eps0.028235294117647063, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img9916-eps0.053202614379084974, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img3478-eps0.004313725490196079, 10.7098,10.6373,10.892,10.9132,10.8821,unsat,unsat,unsat,unsat,unsat,13.9831,18.3987,35.6917,14.1922,16.2101,unsat,unsat,unsat,unsat,unsat,13.1456,13.2318,13.5706,14.0359,13.3942,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img9062-eps0.0014379084967320263, 2.6376,2.6416,2.6114,2.6307,2.6241,unsat,unsat,unsat,unsat,unsat,2.7354,2.7758,2.7143,2.7,2.7655,unsat,unsat,unsat,unsat,unsat,2.7563,2.749,2.6799,2.7561,2.737,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img3458-eps0.022875816993464054, 252.8113,254.8463,256.0844,255.5077,259.7974,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout
cifar_deep_kw, cifar_deep_kw-img4405-eps0.036732026143790855, ERROR_SKIPPED, LAST RES timeout 720
