onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 12.462157011032104,12.433993816375732,12.47078013420105,12.24920654296875,12.443394422531128,unsat,unsat,unsat,unsat,unsat,41.58503794670105,40.095510482788086,40.64950394630432,40.09895205497742,41.09156060218811,unsat,unsat,unsat,unsat,unsat,26.869613647460938,23.991333723068237,24.759039163589478,27.982340097427368,20.907313108444214,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 16.9214928150177,16.999947547912598,17.102336168289185,16.860664129257202,16.958844900131226,unsat,unsat,unsat,unsat,unsat,40.738036155700684,39.6789436340332,38.08835220336914,40.275063276290894,38.259177923202515,unsat,unsat,unsat,unsat,unsat,32.20266580581665,25.902337789535522,29.596559524536133,31.582512855529785,26.447360277175903,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 9.047324419021606,8.866846799850464,9.016640663146973,9.06057858467102,9.091403245925903,unsat,unsat,unsat,unsat,unsat,26.71236276626587,27.18005681037903,26.87563943862915,27.91016173362732,27.36220622062683,unsat,unsat,unsat,unsat,unsat,10.628347158432007,10.726957082748413,10.585197925567627,10.749765872955322,10.529921531677246,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 8.22625994682312,8.114284038543701,8.181202173233032,8.012988328933716,8.10259199142456,unsat,unsat,unsat,unsat,unsat,27.53008008003235,25.526856660842896,28.2154438495636,27.998286485671997,27.181492805480957,unsat,unsat,unsat,unsat,unsat,9.357128381729126,9.352929592132568,9.351933240890503,9.383068561553955,9.29613971710205,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 9.946373701095581,10.063731670379639,10.114126443862915,9.80368709564209,10.377585649490356,unsat,unsat,unsat,unsat,unsat,33.335201263427734,31.8070228099823,33.54786491394043,31.24481773376465,31.222543001174927,unsat,unsat,unsat,unsat,unsat,12.752279281616211,13.121025323867798,12.802531957626343,12.91657042503357,12.680937767028809,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 16.82425308227539,16.666295766830444,16.672841548919678,16.737509965896606,16.25560688972473,unsat,unsat,unsat,unsat,unsat,33.8398380279541,35.3615825176239,34.390411615371704,36.473071336746216,34.126354455947876,unsat,unsat,unsat,unsat,unsat,39.594645500183105,32.126039028167725,39.12282681465149,39.14741063117981,32.59594750404358,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 9.303847312927246,9.276880502700806,9.205873966217041,9.214718103408813,9.057754516601562,unsat,unsat,unsat,unsat,unsat,26.77273464202881,23.2933292388916,23.654213190078735,23.337093591690063,24.222671031951904,unsat,unsat,unsat,unsat,unsat,10.921544790267944,9.468544006347656,10.782370567321777,9.334441184997559,10.766595602035522,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 20.013413429260254,19.823901653289795,20.184377193450928,19.89042377471924,19.92591953277588,unsat,unsat,unsat,unsat,unsat,47.262861013412476,47.37902307510376,46.23702383041382,47.782615661621094,46.71233296394348,unsat,unsat,unsat,unsat,unsat,41.80338978767395,43.528310775756836,39.41133999824524,42.44913625717163,39.94048261642456,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 23.981202840805054,24.915228128433228,23.726020336151123,23.487879753112793,23.606879949569702,unsat,unsat,unsat,unsat,unsat,68.0505166053772,66.7657744884491,67.85093379020691,66.91403007507324,65.20263338088989,unsat,unsat,unsat,unsat,unsat,41.601359128952026,37.790510177612305,40.17207908630371,39.24680042266846,37.27042865753174,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img6432-eps0.034771241830065365, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img7564-eps0.04183006535947713, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img8517-eps0.006928104575163399, 23.628064393997192,23.23971676826477,23.23311495780945,22.992189407348633,23.499522924423218,unsat,unsat,unsat,unsat,unsat,58.361886501312256,64.17708253860474,60.62792229652405,58.18061828613281,63.42880392074585,unsat,unsat,unsat,unsat,unsat,48.99275350570679,44.085153102874756,46.88014483451843,48.37018942832947,47.503931760787964,unsat,unsat,unsat,unsat,unsat
