onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
cifar_base_kw, cifar_base_kw-img8194-eps0.018300653594771243, 11.0875,10.9453,11.0893,11.1477,10.9366,unsat,unsat,unsat,unsat,unsat,726.5688,603.815,636.9147,608.761,586.4504,unsat,unsat,unsat,unsat,unsat,17.521,16.6518,16.8728,17.5952,15.9662,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img2578-eps0.021176470588235297, 12.8968,13.0184,12.7711,12.915,12.8988,unsat,unsat,unsat,unsat,unsat,415.537,453.383,411.6144,455.8677,454.7531,unsat,unsat,unsat,unsat,unsat,19.4903,17.4158,18.9549,19.2142,18.4134,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img4763-eps0.024705882352941175, 8.2855,8.5471,8.4915,8.6096,8.2644,unsat,unsat,unsat,unsat,unsat,24.5175,23.7793,24.2561,24.332,24.129,unsat,unsat,unsat,unsat,unsat,10.765,10.2204,10.1432,9.8399,10.3087,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img9410-eps0.043137254901960784, ERROR_SKIPPED, LAST RES timeout 720
cifar_base_kw, cifar_base_kw-img8095-eps0.010457516339869282, 7.5525,7.5268,7.4473,7.3744,7.5559,unsat,unsat,unsat,unsat,unsat,29.8628,34.0932,38.3963,31.1361,75.1995,unsat,unsat,unsat,unsat,unsat,8.1377,8.4582,8.411,8.1887,8.4615,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img8717-eps0.011633986928104577, 9.5226,9.6045,9.3859,9.5537,9.4222,unsat,unsat,unsat,unsat,unsat,171.7268,184.6646,122.68,134.0101,127.2456,unsat,unsat,unsat,unsat,unsat,12.7632,13.2162,12.2518,12.7154,12.4894,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img6767-eps0.020000000000000004, 12.8555,12.8811,12.7914,12.8882,12.7227,unsat,unsat,unsat,unsat,unsat,35.1569,35.7692,36.2446,35.4987,37.8778,unsat,unsat,unsat,unsat,unsat,24.8561,20.2703,24.1588,23.6904,21.0061,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3161-eps0.018562091503267972, 7.734,7.5511,7.7385,7.7389,7.6865,unsat,unsat,unsat,unsat,unsat,17.1487,17.625,17.7944,17.5185,17.7413,unsat,unsat,unsat,unsat,unsat,9.3414,9.0734,9.3012,9.1063,8.9798,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img876-eps0.024836601307189544, 15.2007,15.018,15.0844,15.2478,15.1394,unsat,unsat,unsat,unsat,unsat,516.7516,413.551,422.581,443.3781,504.9589,unsat,unsat,unsat,unsat,unsat,103.4315,104.6506,25.0194,37.0774,26.0824,unsat,unsat,unsat,unsat,unsat
cifar_base_kw, cifar_base_kw-img3568-eps0.030457516339869282, 22.6674,22.666,22.7451,22.4732,22.7409,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,84.8005,36.6344,36.8756,36.4041,34.0486,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img6432-eps0.034771241830065365, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img7564-eps0.04183006535947713, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img8517-eps0.006928104575163399, 16.1031,16.0449,15.9042,16.1614,16.2408,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,160.0814,146.865,203.7885,143.0923,288.5793,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img2732-eps0.04967320261437909, 185.2703,188.9507,191.2556,184.5053,189.8823,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout
cifar_wide_kw, cifar_wide_kw-img1909-eps0.0033986928104575162, ERROR_SKIPPED, LAST RES sat 0.8492
cifar_wide_kw, cifar_wide_kw-img5989-eps0.028235294117647063, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img9916-eps0.053202614379084974, ERROR_SKIPPED, LAST RES timeout 720
cifar_wide_kw, cifar_wide_kw-img3478-eps0.004313725490196079, 10.6743,10.8426,10.7744,10.742,10.7409,unsat,unsat,unsat,unsat,unsat,100.699,38.9408,37.7281,36.0574,39.3917,unsat,unsat,unsat,unsat,unsat,17.2155,15.9939,16.951,17.2345,16.0799,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img9062-eps0.0014379084967320263, 2.5939,2.6402,2.6251,2.7147,2.6084,unsat,unsat,unsat,unsat,unsat,2.6516,2.6935,2.701,2.6609,2.6777,unsat,unsat,unsat,unsat,unsat,2.6321,2.6674,2.6945,2.7051,2.6855,unsat,unsat,unsat,unsat,unsat
cifar_wide_kw, cifar_wide_kw-img3458-eps0.022875816993464054, 252.8113,254.8463,256.0844,255.5077,259.7974,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout
cifar_deep_kw, cifar_deep_kw-img4405-eps0.036732026143790855, ERROR_SKIPPED, LAST RES timeout 720
cifar_deep_kw, cifar_deep_kw-img7878-eps0.009934640522875817, 12.0005,12.2019,12.1686,12.2566,12.1216,unsat,unsat,unsat,unsat,unsat,16.1999,16.352,16.1189,15.3984,16.2073,unsat,unsat,unsat,unsat,unsat,13.1818,13.3871,13.2279,13.52,13.6687,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img1052-eps0.010718954248366015, 438.4833,462.7445,457.2642,470.4504,454.4952,unsat,unsat,unsat,unsat,unsat,1080,1080,1080,1080,1080,timeout,timeout,timeout,timeout,timeout,793.3254,843.5405,758.7421,1034.2596,559.8891,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4325-eps0.01673202614379085, 12.3635,12.5391,12.3542,12.4962,12.8051,unsat,unsat,unsat,unsat,unsat,16.4766,16.518,16.6079,16.3395,16.6304,unsat,unsat,unsat,unsat,unsat,14.8103,14.9312,14.773,15.0034,14.7454,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img4168-eps0.03150326797385621, 21.5449,21.6423,21.6502,21.7067,21.6762,unsat,unsat,unsat,unsat,unsat,42.4081,43.013,43.1779,43.3201,42.8949,unsat,unsat,unsat,unsat,unsat,30.5176,30.6956,30.9561,30.6401,30.1538,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img3062-eps0.007450980392156864, 8.5843,8.5832,8.5197,8.7339,8.5686,unsat,unsat,unsat,unsat,unsat,10.6842,10.7486,10.8586,10.8828,10.9501,unsat,unsat,unsat,unsat,unsat,9.8131,9.9562,9.9081,9.4883,9.4724,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img9931-eps0.02496732026143791, ERROR_SKIPPED, LAST RES timeout 720
cifar_deep_kw, cifar_deep_kw-img8366-eps0.0550326797385621, 8.9539,9.0165,8.9672,8.9888,9.0066,unsat,unsat,unsat,unsat,unsat,11.2214,11.2592,11.4477,11.2435,11.3122,unsat,unsat,unsat,unsat,unsat,9.9299,10.0852,10.1701,10.0277,9.9813,unsat,unsat,unsat,unsat,unsat
cifar_deep_kw, cifar_deep_kw-img9845-eps0.009673202614379085, 5.7867,5.8315,5.8619,5.8351,5.8441,unsat,unsat,unsat,unsat,unsat,6.4898,6.374,6.416,6.4995,6.4145,unsat,unsat,unsat,unsat,unsat,6.0802,6.109,6.0523,5.9321,6.0206,unsat,unsat,unsat,unsat,unsat
