onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
vdp, vdp_0, 1.3844897747039795,1.4225225448608398,1.3763577938079834,1.2688262462615967,1.4430034160614014,unsat,unsat,unsat,unsat,unsat,1.3512933254241943,1.506047010421753,1.4479048252105713,1.4985504150390625,1.5187573432922363,unsat,unsat,unsat,unsat,unsat,1.4580225944519043,1.4932992458343506,1.4912805557250977,1.451369047164917,1.491579294204712,unsat,unsat,unsat,unsat,unsat
vdp, vdp_1, 1.2963356971740723,1.2741539478302002,1.2810416221618652,1.2681183815002441,1.3166813850402832,unsat,unsat,unsat,unsat,unsat,1.3955600261688232,1.4379346370697021,1.400322437286377,1.4144747257232666,1.37565279006958,unsat,unsat,unsat,unsat,unsat,1.4012987613677979,1.3994956016540527,1.3966538906097412,1.378385305404663,1.3827712535858154,unsat,unsat,unsat,unsat,unsat
vdp, vdp_2, 1.259044885635376,1.3763411045074463,1.3700718879699707,1.3244273662567139,1.3145151138305664,unsat,unsat,unsat,unsat,unsat,1.4989323616027832,1.3266119956970215,1.3137047290802002,1.479952096939087,1.4509422779083252,unsat,unsat,unsat,unsat,unsat,1.4613232612609863,1.4661331176757812,1.2927255630493164,1.486659288406372,1.428572177886963,unsat,unsat,unsat,unsat,unsat
vdp, vdp_3, 1.3292546272277832,1.400226354598999,1.2847177982330322,1.367832899093628,1.3234148025512695,sat,sat,sat,sat,sat,1.4306488037109375,1.3520622253417969,1.4180691242218018,1.4420313835144043,1.418452501296997,sat,sat,sat,sat,sat,1.4405841827392578,1.4234015941619873,1.3033294677734375,1.4217910766601562,1.3648223876953125,sat,sat,sat,sat,sat
vdp, vdp_4, 1.3888888359069824,1.4070379734039307,1.3803164958953857,1.3180170059204102,1.2881767749786377,unsat,unsat,unsat,unsat,unsat,1.4668660163879395,1.4363470077514648,1.3891842365264893,1.363379955291748,1.2863991260528564,unsat,unsat,unsat,unsat,unsat,1.3748857975006104,1.4403493404388428,1.452561616897583,1.41972017288208,1.4937727451324463,unsat,unsat,unsat,unsat,unsat
vdp, vdp_5, 1.4325356483459473,1.3699164390563965,1.2727491855621338,1.3330771923065186,1.4294230937957764,unsat,unsat,unsat,unsat,unsat,1.4727764129638672,1.3899898529052734,1.4605391025543213,1.441615343093872,1.452261209487915,unsat,unsat,unsat,unsat,unsat,1.432220458984375,1.4165856838226318,1.4932849407196045,1.4588267803192139,1.501387119293213,unsat,unsat,unsat,unsat,unsat
vdp, vdp_6, 1.3369150161743164,1.3267998695373535,1.3655200004577637,1.273010015487671,1.4065697193145752,sat,sat,sat,sat,sat,1.5260868072509766,1.5364539623260498,1.5628910064697266,1.585132360458374,1.5869901180267334,sat,sat,sat,sat,sat,1.5624773502349854,1.589759111404419,1.580005168914795,1.588336706161499,1.6054661273956299,sat,sat,sat,sat,sat
vdp, vdp_7, 1.3884587287902832,1.4228265285491943,1.3209221363067627,1.387594223022461,1.3220875263214111,unsat,unsat,unsat,unsat,unsat,1.4383106231689453,1.5240731239318848,1.4345524311065674,1.385469913482666,1.4315824508666992,unsat,unsat,unsat,unsat,unsat,1.4679200649261475,1.4408056735992432,1.4225809574127197,1.4464256763458252,1.4639647006988525,unsat,unsat,unsat,unsat,unsat
vdp, vdp_8, 1.3670544624328613,1.3666465282440186,1.3504014015197754,1.4010565280914307,1.3725049495697021,sat,sat,sat,sat,sat,1.38411545753479,1.4237678050994873,1.44468092918396,1.4187448024749756,1.430776596069336,sat,sat,sat,sat,sat,1.4278802871704102,1.4313852787017822,1.4586212635040283,1.2986793518066406,1.2823975086212158,sat,sat,sat,sat,sat
vdp, vdp_9, 1.3271191120147705,1.4066474437713623,1.2642011642456055,1.370344638824463,1.2817628383636475,unsat,unsat,unsat,unsat,unsat,1.3809878826141357,1.3611924648284912,1.376596450805664,1.4265964031219482,1.4147326946258545,unsat,unsat,unsat,unsat,unsat,1.3269636631011963,1.3839495182037354,1.4131653308868408,1.37184739112854,1.4075982570648193,unsat,unsat,unsat,unsat,unsat
