onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
vdp, vdp_0, 4.014,3.981,3.965,4.048,3.991,unsat,unsat,unsat,unsat,unsat,4.163,3.516,4.004,4.002,4.419,unsat,unsat,unsat,unsat,unsat,5.662,4.534,4.533,4.055,4.06,unsat,unsat,unsat,unsat,unsat
vdp, vdp_1, 3.635,3.584,3.723,3.613,3.657,unsat,unsat,unsat,unsat,unsat,3.768,4.643,4.896,3.551,4.005,unsat,unsat,unsat,unsat,unsat,6.362,4.187,4.227,3.977,4.513,unsat,unsat,unsat,unsat,unsat
vdp, vdp_2, 4.461,4.409,4.396,4.52,4.411,unsat,unsat,unsat,unsat,unsat,4.025,4.76,4.473,4.277,4.211,unsat,unsat,unsat,unsat,unsat,5.566,3.558,5.478,4.031,4.037,unsat,unsat,unsat,unsat,unsat
vdp, vdp_3, 1.838,1.864,1.822,1.875,1.902,sat,sat,sat,sat,sat,1.581,2.479,2.148,1.634,3.271,sat,sat,sat,sat,sat,1.645,2.048,1.32,1.399,0.471,sat,sat,sat,sat,sat
vdp, vdp_4, 4.255,4.319,4.261,4.265,4.414,unsat,unsat,unsat,unsat,unsat,4.362,4.69,4.504,3.967,4.443,unsat,unsat,unsat,unsat,unsat,5.837,4.889,5.591,3.439,4.139,unsat,unsat,unsat,unsat,unsat
vdp, vdp_5, 4.743,4.726,4.686,4.621,4.731,unsat,unsat,unsat,unsat,unsat,4.657,4.076,4.44,4.661,4.177,unsat,unsat,unsat,unsat,unsat,4.64,4.488,5.62,3.74,3.873,unsat,unsat,unsat,unsat,unsat
vdp, vdp_6, 0.409,0.389,0.449,0.443,0.43,sat,sat,sat,sat,sat,0.448,0.362,0.533,1.211,1.16,sat,sat,sat,sat,sat,0.393,0.42,0.74,0.388,0.364,sat,sat,sat,sat,sat
vdp, vdp_7, 3.855,3.827,3.889,3.831,3.896,unsat,unsat,unsat,unsat,unsat,3.987,4.126,5.503,3.804,4.008,unsat,unsat,unsat,unsat,unsat,6.103,4.385,4.424,4.195,4.184,unsat,unsat,unsat,unsat,unsat
vdp, vdp_8, 1.429,1.475,1.421,1.454,1.429,sat,sat,sat,sat,sat,3.336,1.698,1.819,1.853,2.683,sat,sat,sat,sat,sat,1.236,4.061,3.266,2.81,2.417,sat,sat,sat,sat,sat
vdp, vdp_9, 4.873,4.791,4.804,4.879,4.831,unsat,unsat,unsat,unsat,unsat,4.527,3.536,3.738,4.406,4.066,unsat,unsat,unsat,unsat,unsat,5.83,4.3,5.894,4.177,4.139,unsat,unsat,unsat,unsat,unsat
vdp, vdp_10, 4.222,4.242,4.102,4.344,4.289,unsat,unsat,unsat,unsat,unsat,4.375,3.759,4.559,3.591,4.107,unsat,unsat,unsat,unsat,unsat,5.687,3.662,4.6,4.202,3.982,unsat,unsat,unsat,unsat,unsat
vdp, vdp_11, 2.914,3.047,2.937,3.016,3.128,unsat,unsat,unsat,unsat,unsat,3.028,3.54,3.506,4.448,3.296,unsat,unsat,unsat,unsat,unsat,5.572,3.715,5.271,3.644,3.296,unsat,unsat,unsat,unsat,unsat
robot, robot_0, 117.278,117.803,114.229,116.001,115.402,sat,sat,sat,sat,sat,346.041,8.387,424.328,150.633,260.543,sat,sat,sat,sat,sat,8.636,900,334.982,409.695,900,sat,timeout,sat,sat,timeout
robot, robot_1, 67.623,71.083,67.281,69.552,68.385,sat,sat,sat,sat,sat,20.85,13.857,9.401,33.065,92.214,sat,sat,sat,sat,sat,29.652,133.835,467.919,215.173,13.745,sat,sat,sat,sat,sat
robot, robot_2, 5.275,5.348,5.371,5.425,5.365,sat,sat,sat,sat,sat,67.896,124.033,4.303,18.688,4.908,sat,sat,sat,sat,sat,5.9,62.728,5.504,19.339,4.852,sat,sat,sat,sat,sat
