onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
vdp, vdp_0, 3.8852,3.7828,3.7958,3.8773,3.8998,unsat,unsat,unsat,unsat,unsat,3.9477,3.8724,3.9332,3.9512,3.9426,unsat,unsat,unsat,unsat,unsat,3.8999,3.906,3.9446,3.8723,3.9033,unsat,unsat,unsat,unsat,unsat
vdp, vdp_1, 3.8189,3.8464,3.8898,3.8414,3.8269,unsat,unsat,unsat,unsat,unsat,3.8345,3.8247,3.7536,3.8102,3.8453,unsat,unsat,unsat,unsat,unsat,3.8721,3.9027,3.8352,3.7903,3.7283,unsat,unsat,unsat,unsat,unsat
vdp, vdp_2, 3.8238,3.804,3.8861,3.9388,3.9171,unsat,unsat,unsat,unsat,unsat,3.8934,3.8518,3.832,3.8585,3.878,unsat,unsat,unsat,unsat,unsat,3.8822,3.7886,3.9893,3.9309,3.9128,unsat,unsat,unsat,unsat,unsat
vdp, vdp_3, 3.9905,3.994,3.9706,4.1644,3.9971,sat,sat,sat,sat,sat,4.089,4.0084,4.0936,4.1038,4.1749,sat,sat,sat,sat,sat,4.1324,4.0144,4.0936,4.0069,4.0875,sat,sat,sat,sat,sat
vdp, vdp_4, 3.7855,3.8085,3.864,3.7946,3.8098,unsat,unsat,unsat,unsat,unsat,3.7831,3.8681,3.8308,3.8153,3.8542,unsat,unsat,unsat,unsat,unsat,3.9007,3.8628,3.9292,3.876,3.8786,unsat,unsat,unsat,unsat,unsat
vdp, vdp_5, 3.8093,3.7863,3.8773,3.8689,3.8503,unsat,unsat,unsat,unsat,unsat,3.885,3.894,3.9283,3.8228,3.9472,unsat,unsat,unsat,unsat,unsat,3.9007,3.9923,3.9208,3.9127,3.9187,unsat,unsat,unsat,unsat,unsat
vdp, vdp_6, 4.037,2.6943,2.7703,2.7699,1.5942,sat,sat,sat,sat,sat,4.1894,2.7812,4.1125,4.1434,2.7389,sat,sat,sat,sat,sat,4.1303,4.2064,2.6994,4.1088,4.0736,sat,sat,sat,sat,sat
vdp, vdp_7, 3.732,3.8321,3.8357,3.9198,3.8294,unsat,unsat,unsat,unsat,unsat,3.8991,3.8654,3.9832,3.9696,3.827,unsat,unsat,unsat,unsat,unsat,3.9829,3.8918,3.9379,3.8638,3.8731,unsat,unsat,unsat,unsat,unsat
vdp, vdp_8, 4.0413,4.2204,4.0254,3.9847,3.9915,sat,sat,sat,sat,sat,4.1152,4.136,4.1058,4.1008,4.1229,sat,sat,sat,sat,sat,4.1617,4.0008,4.0472,4.0879,4.1488,sat,sat,sat,sat,sat
vdp, vdp_9, 3.8297,3.8085,3.792,3.786,3.8182,unsat,unsat,unsat,unsat,unsat,3.7662,3.9706,3.8936,3.9111,3.8206,unsat,unsat,unsat,unsat,unsat,3.8501,3.8768,3.8404,3.8773,3.8475,unsat,unsat,unsat,unsat,unsat
vdp, vdp_10, 3.8681,3.8154,3.9093,3.8207,3.8347,unsat,unsat,unsat,unsat,unsat,3.9181,3.9512,3.8137,3.9437,3.7655,unsat,unsat,unsat,unsat,unsat,3.9057,3.9467,3.921,3.8134,3.8819,unsat,unsat,unsat,unsat,unsat
vdp, vdp_11, 3.8497,3.8572,3.8512,3.8376,3.7887,unsat,unsat,unsat,unsat,unsat,3.9327,3.8699,3.8402,3.8194,3.9224,unsat,unsat,unsat,unsat,unsat,3.7664,3.8247,3.9229,3.8658,3.9236,unsat,unsat,unsat,unsat,unsat
robot, robot_0, 6.5017,6.3749,6.3611,6.3172,6.5723,sat,sat,sat,sat,sat,6.5229,6.6514,6.5561,6.6953,6.7572,sat,sat,sat,sat,sat,6.4707,7.1443,6.4506,7.1006,7.0023,sat,sat,sat,sat,sat
robot, robot_1, 2.8143,2.7911,4.4064,2.8178,4.3035,sat,sat,sat,sat,sat,1.6443,4.4423,4.2477,2.8191,2.8532,sat,sat,sat,sat,sat,2.78,4.522,2.7781,4.5078,4.437,sat,sat,sat,sat,sat
robot, robot_2, 4.4803,2.7907,3.6447,2.2001,4.2689,sat,sat,sat,sat,sat,0.7498,2.7076,3.7226,4.7024,4.4963,sat,sat,sat,sat,sat,2.7799,1.6268,4.7324,0.809,4.5103,sat,sat,sat,sat,sat
robot, robot_3, 4.8333,4.8934,4.7811,4.7829,4.9066,unsat,unsat,unsat,unsat,unsat,5.063,5.0123,5.0351,4.9922,4.9393,unsat,unsat,unsat,unsat,unsat,5.0271,4.9674,4.9307,5.055,5.1336,unsat,unsat,unsat,unsat,unsat
robot, robot_4, 5.1477,5.3757,5.2392,5.5236,5.3483,sat,sat,sat,sat,sat,5.2848,4.9902,5.1753,4.849,4.8669,sat,sat,sat,sat,sat,5.1161,5.0125,5.1243,5.1817,5.1466,sat,sat,sat,sat,sat
robot, robot_5, 4.529,4.5187,4.5297,4.4972,4.344,unsat,unsat,unsat,unsat,unsat,4.6784,4.5489,4.6707,4.5221,4.6328,unsat,unsat,unsat,unsat,unsat,4.6816,4.7083,4.6693,4.5166,4.7132,unsat,unsat,unsat,unsat,unsat
robot, robot_6, 4.3953,4.5413,4.4793,4.4761,4.4547,unsat,unsat,unsat,unsat,unsat,4.6378,4.4704,4.6072,4.5659,4.6423,unsat,unsat,unsat,unsat,unsat,4.6696,4.6057,4.544,4.5925,4.5765,unsat,unsat,unsat,unsat,unsat
robot, robot_7, 4.4655,4.403,4.5592,4.5367,4.4726,unsat,unsat,unsat,unsat,unsat,4.5114,4.7127,4.7322,4.6092,4.5715,unsat,unsat,unsat,unsat,unsat,4.6383,4.7239,4.6611,4.6107,4.5981,unsat,unsat,unsat,unsat,unsat
robot, robot_8, 4.4436,4.5323,4.5462,4.4672,4.5045,unsat,unsat,unsat,unsat,unsat,4.7965,4.5092,4.7543,4.657,4.6697,unsat,unsat,unsat,unsat,unsat,4.6152,4.6995,4.704,4.6766,4.7427,unsat,unsat,unsat,unsat,unsat
robot, robot_9, 4.4044,4.3617,4.4115,4.4677,4.418,sat,sat,sat,sat,sat,3.6051,4.4902,4.7255,4.8056,2.7967,sat,sat,sat,sat,sat,4.758,2.7911,3.7424,4.6658,4.6406,sat,sat,sat,sat,sat
robot, robot_10, ERROR_SKIPPED, LAST RES timeout 600
robot, robot_11, 361.7659,357.396,350.0108,355.093,356.4078,sat,sat,sat,sat,sat,451.5702,502.8548,448.7213,443.0784,491.4857,sat,sat,sat,sat,sat,426.5358,457.602,448.3887,469.248,457.8847,sat,sat,sat,sat,sat
gcas, gcas_0, 52.1189,50.2197,50.0417,51.5735,49.7297,unsat,unsat,unsat,unsat,unsat,900,253.986,900,516.9284,900,timeout,unsat,timeout,unsat,timeout,66.7829,67.0392,68.0373,66.9228,67.0021,unsat,unsat,unsat,unsat,unsat
gcas, gcas_1, 2.7953,2.8184,2.7443,2.7541,2.7412,sat,sat,sat,sat,sat,2.7886,2.7422,2.8538,2.774,2.7344,sat,sat,sat,sat,sat,2.7868,2.7569,2.779,2.0434,2.7638,sat,sat,sat,sat,sat
gcas, gcas_2, 0.3893,0.5809,0.7464,0.594,0.5872,sat,sat,sat,sat,sat,1.9825,0.5268,0.9742,1.9092,0.7218,sat,sat,sat,sat,sat,0.5567,0.3966,0.3585,0.9888,0.4217,sat,sat,sat,sat,sat
gcas, gcas_3, 3.9318,3.8165,3.8726,3.9032,3.8396,unsat,unsat,unsat,unsat,unsat,5.3866,4.5296,4.2538,4.6271,24.6073,unsat,unsat,unsat,unsat,unsat,3.8479,3.8737,3.9262,3.7522,3.8603,unsat,unsat,unsat,unsat,unsat
gcas, gcas_4, 4.3409,4.203,4.2516,4.2186,4.2099,unsat,unsat,unsat,unsat,unsat,35.4934,13.3167,35.5949,13.0551,43.2706,unsat,unsat,unsat,unsat,unsat,4.8265,4.7478,4.8507,4.7959,4.9098,unsat,unsat,unsat,unsat,unsat
gcas, gcas_5, 3.9858,3.9671,3.9133,3.9182,3.9257,unsat,unsat,unsat,unsat,unsat,33.4287,13.28,33.8408,33.9501,60.5764,unsat,unsat,unsat,unsat,unsat,5.7331,5.6612,5.7295,5.7442,5.5345,unsat,unsat,unsat,unsat,unsat
gcas, gcas_6, 1.9058,2.7971,2.7976,2.7724,2.7267,sat,sat,sat,sat,sat,1.663,2.7287,1.6776,2.1629,2.7131,sat,sat,sat,sat,sat,2.7504,2.7548,2.7311,2.302,2.6666,sat,sat,sat,sat,sat
gcas, gcas_7, 3.927,3.8266,3.9275,3.9299,3.8588,unsat,unsat,unsat,unsat,unsat,4.2787,4.0118,4.0194,3.9278,6.2048,unsat,unsat,unsat,unsat,unsat,3.8443,3.8151,3.8263,3.8788,3.8469,unsat,unsat,unsat,unsat,unsat
gcas, gcas_8, 3.9506,3.9405,3.7653,3.833,3.9613,unsat,unsat,unsat,unsat,unsat,6.2261,5.0385,4.5329,5.326,24.6242,unsat,unsat,unsat,unsat,unsat,3.9354,3.8514,3.9304,3.8776,3.8755,unsat,unsat,unsat,unsat,unsat
gcas, gcas_9, 2.7348,2.0748,0.8216,2.0568,0.7701,sat,sat,sat,sat,sat,1.444,0.831,1.8977,0.5276,1.7224,sat,sat,sat,sat,sat,1.0941,1.3402,0.7379,1.7692,1.8115,sat,sat,sat,sat,sat
gcas, gcas_10, 6.0467,5.9457,5.8588,6.0664,6.0387,unsat,unsat,unsat,unsat,unsat,161.4946,127.0166,163.3712,136.7092,160.4806,unsat,unsat,unsat,unsat,unsat,13.537,13.1399,13.3938,13.8446,13.592,unsat,unsat,unsat,unsat,unsat
gcas, gcas_11, 3.8063,3.9302,3.8628,3.7777,3.8498,unsat,unsat,unsat,unsat,unsat,14.4146,6.8504,6.1313,12.8515,33.7621,unsat,unsat,unsat,unsat,unsat,4.2614,4.2871,4.3552,4.2563,4.102,unsat,unsat,unsat,unsat,unsat
