onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,3.0256965160369873,unsat,3.0819764137268066,unsat,3.0794782638549805
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,3.045379400253296,unsat,3.0650649070739746,unsat,3.097196578979492
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,1.9277875423431396,sat,1.9502549171447754,sat,1.924309253692627
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,3.0229523181915283,unsat,3.0538113117218018,unsat,3.0610761642456055
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,1.946962833404541,sat,2.0782971382141113,sat,2.07486891746521
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,1.9150710105895996,sat,2.071126937866211,sat,2.0956709384918213
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,1.9504749774932861,sat,2.0529327392578125,sat,2.084893226623535
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,1.9364588260650635,sat,2.0475358963012695,sat,2.0742030143737793
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,1.9922542572021484,sat,2.595319986343384,sat,2.6121482849121094
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,3.5342514514923096,unsat,4.324990272521973,unsat,4.3496105670928955
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,3.4791269302368164,unsat,4.166205167770386,unsat,4.179803371429443
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,3.7382712364196777,unsat,4.4914820194244385,unsat,4.518848180770874
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,2.041855812072754,sat,4.031431198120117,sat,4.022956132888794
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,3.700407028198242,unsat,5.761155605316162,unsat,5.778388738632202
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,3.4740958213806152,unsat,5.391571760177612,unsat,5.385045766830444
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,2.0498392581939697,sat,3.9341368675231934,sat,3.937619924545288
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,2.143171548843384,sat,7.31313943862915,sat,7.358406066894531
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,3.9175240993499756,unsat,8.811648845672607,unsat,8.813164472579956
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,4.4373533725738525,unsat,9.887979745864868,unsat,9.78951907157898
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,3.931711435317993,unsat,8.753994703292847,unsat,8.799205541610718
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,2.354300022125244,sat,11.86533498764038,sat,11.992321014404297
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,2.2579355239868164,sat,11.939361810684204,sat,11.802231788635254
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable,1752,unsat,4.428081274032593,unsat,15.405611515045166,unsat,15.429227590560913
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable,1334,sat,2.2682251930236816,sat,12.058893918991089,sat,11.93814468383789
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable,2122,unsat,5.495804786682129,unsat,25.69839310646057,unsat,25.92000937461853
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable,1778,sat,2.522632122039795,sat,20.29151701927185,sat,20.063220977783203
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable,1744,sat,2.530877113342285,sat,20.08205223083496,sat,20.356385469436646
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable,2056,sat,2.5332140922546387,sat,20.839051961898804,sat,20.876189470291138
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable,2332,unsat,5.35494589805603,unsat,36.53883123397827,unsat,36.696935176849365
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable,2332,sat,3.2331130504608154,sat,33.316092014312744,sat,33.04442620277405
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable,2606,sat,2.9347074031829834,sat,33.94365692138672,sat,34.02989673614502
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable,2284,unsat,5.33661413192749,unsat,36.93698024749756,unsat,36.457993030548096
