onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,5.1926,unsat,5.1923,unsat,5.3728
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,5.1805,unsat,5.2753,unsat,5.3298
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,1.6944,sat,1.6453,sat,1.6485
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,5.1794,unsat,5.345,unsat,5.3074
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,1.7098,sat,1.7471,sat,1.7842
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,1.6659,sat,1.7685,sat,1.7487
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,1.6919,sat,1.7644,sat,1.7574
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,1.6981,sat,1.756,sat,1.7529
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,1.698,sat,2.1581,sat,2.1401
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,5.6341,unsat,6.2885,unsat,6.2533
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,5.6738,unsat,6.1691,unsat,6.0843
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,5.8999,unsat,6.4771,unsat,6.4047
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,1.749,sat,3.2275,sat,3.2301
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,5.8533,unsat,7.3957,unsat,7.3199
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,5.683,unsat,7.1553,unsat,7.0511
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,1.7925,sat,3.1787,sat,3.0756
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,1.8394,sat,5.6072,sat,5.4808
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,6.3111,unsat,10.2644,unsat,10.2781
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,7.0178,unsat,11.4799,unsat,11.5361
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,6.3683,unsat,10.4047,unsat,10.2598
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,2.0843,sat,8.894,sat,9.0057
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,2.1713,sat,8.7796,sat,8.7315
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable,1752,unsat,7.0952,unsat,15.869,unsat,15.8828
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable,1334,sat,2.1462,sat,8.9381,sat,8.9083
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable,2122,unsat,8.7902,unsat,24.8119,unsat,24.7203
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable,1778,sat,2.6072,sat,15.1302,sat,14.7387
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable,1744,sat,2.484,sat,14.9656,sat,14.8918
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable,2056,sat,2.4984,sat,15.3581,sat,15.384
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable,2332,unsat,9.0075,unsat,33.4521,unsat,33.3148
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable,2332,sat,3.6231,sat,24.0707,sat,24.3056
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable,2606,sat,3.1983,sat,24.5839,sat,24.6468
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable,2284,unsat,9.0742,unsat,33.4092,unsat,33.4017
