onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,1.6497423648834229,unsat,1.688453197479248,unsat,1.7282116413116455
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,1.6764886379241943,unsat,1.7043066024780273,unsat,1.7085704803466797
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,0.5078434944152832,sat,0.4821922779083252,sat,0.4967515468597412
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,1.619508981704712,unsat,1.7044248580932617,unsat,1.7146198749542236
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,0.501298189163208,sat,0.6089458465576172,sat,0.6448347568511963
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,0.523193359375,sat,0.644127607345581,sat,0.633143424987793
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,0.5066468715667725,sat,0.6380653381347656,sat,0.6629993915557861
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,0.49814581871032715,sat,0.6211347579956055,sat,0.6316320896148682
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,0.504767894744873,sat,1.0805914402008057,sat,1.0975861549377441
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,2.192725419998169,unsat,2.905064105987549,unsat,2.9121639728546143
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,2.0701284408569336,unsat,2.7120296955108643,unsat,2.7215819358825684
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,2.3486461639404297,unsat,3.0441548824310303,unsat,3.0537617206573486
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,0.5939624309539795,sat,2.495328903198242,sat,2.5178720951080322
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,2.2913076877593994,unsat,4.338306427001953,unsat,4.337269067764282
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,2.0734775066375732,unsat,3.985077381134033,unsat,3.9741921424865723
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,0.5515820980072021,sat,2.3828864097595215,sat,2.398300886154175
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,0.6696093082427979,sat,5.720488548278809,sat,5.702660322189331
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,2.576413869857788,unsat,7.19178581237793,unsat,7.364296913146973
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,3.034113645553589,unsat,8.284921169281006,unsat,8.337840795516968
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,2.566847085952759,unsat,7.375900506973267,unsat,7.23444676399231
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,0.79886794090271,sat,10.181771039962769,sat,10.301306962966919
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,0.8706848621368408,sat,10.093477725982666,sat,10.341395854949951
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable,1752,unsat,3.0351319313049316,unsat,13.844421863555908,unsat,13.724070072174072
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable,1334,sat,0.7939631938934326,sat,10.11848759651184,sat,10.180246114730835
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable,2122,unsat,4.1000847816467285,unsat,24.445359230041504,unsat,24.2333824634552
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable,1778,sat,1.0751595497131348,sat,18.42924213409424,sat,18.25513195991516
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable,1744,sat,1.0631294250488281,sat,18.27530789375305,sat,18.301254272460938
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable,2056,sat,1.0921521186828613,sat,18.9881489276886,sat,18.87996792793274
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable,2332,unsat,3.987605094909668,unsat,34.56501913070679,unsat,34.39526963233948
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable,2332,sat,1.8158154487609863,sat,31.841091871261597,sat,31.4193172454834
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable,2606,sat,1.499279499053955,sat,32.02692222595215,sat,31.78702449798584
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable,2284,unsat,3.9620985984802246,unsat,34.68040490150452,unsat,34.43535351753235
