onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,3.9899,unsat,3.8569,unsat,3.8525
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,3.8976,unsat,3.9465,unsat,3.9178
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,0.2464,sat,0.2453,sat,0.259
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,3.8626,unsat,3.9199,unsat,3.9024
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,0.2468,sat,0.3361,sat,0.3259
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,0.3491,sat,0.3535,sat,0.4485
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,0.251,sat,0.3378,sat,0.35
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,0.2546,sat,0.3419,sat,0.3319
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,0.2721,sat,0.7032,sat,0.7157
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,4.2817,unsat,4.7625,unsat,4.838
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,4.2784,unsat,4.8313,unsat,4.7535
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,4.5586,unsat,5.1244,unsat,5.0332
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,0.3387,sat,1.7588,sat,1.7684
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,4.4842,unsat,6.0415,unsat,6.0464
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,4.4262,unsat,5.7555,unsat,5.926
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,0.3398,sat,1.7276,sat,1.7072
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,0.4912,sat,4.1291,sat,4.1078
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,5.0489,unsat,8.8245,unsat,8.8542
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,5.5889,unsat,10.1996,unsat,10.1926
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,5.1988,unsat,8.9881,unsat,8.9779
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,0.7246,sat,7.447,sat,7.2765
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,0.7373,sat,7.3949,sat,7.2341
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable,1752,unsat,5.6872,unsat,14.2481,unsat,14.4087
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable,1334,sat,0.7028,sat,7.3373,sat,7.388
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable,2122,unsat,7.4569,unsat,23.224,unsat,23.2749
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable,1778,sat,1.1796,sat,13.0727,sat,13.1407
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable,1744,sat,1.1535,sat,13.0673,sat,13.087
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable,2056,sat,1.1306,sat,13.6741,sat,13.4922
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable,2332,unsat,7.5792,unsat,31.6736,unsat,31.6957
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable,2332,sat,1.7811,sat,22.8794,sat,22.5813
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable,2606,sat,1.8034,sat,22.8746,sat,22.8826
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable,2284,unsat,7.6058,unsat,31.8685,unsat,31.9254
