onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable-,22,unsat,2.28,unsat,2.858,unsat,2.229
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable-,19,unsat,2.367,unsat,3.134,unsat,2.76
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable-,14,unsat,5.855,unsat,6.945,unsat,7.529
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable-,15,unsat,4.895,unsat,4.771,unsat,5.148
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable-,13,unsat,1.819,unsat,2.047,unsat,1.892
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable-,15,unsat,2.95,unsat,3.463,unsat,3.136
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable-,14,unsat,1.498,unsat,1.834,unsat,1.556
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable-,18,unsat,1.457,unsat,1.783,unsat,1.557
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable-,13,unsat,1.397,unsat,1.615,unsat,1.786
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable-,19,unsat,3.985,unsat,5.027,unsat,4.431
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable-,20,unsat,9.242,unsat,11.23,unsat,10.471
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable-,24,unsat,8.783,unsat,11.423,unsat,9.596
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable-,22,unsat,3.597,unsat,5.77,unsat,4.504
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable-,12,unsat,40.053,unsat,45.025,unsat,44.352
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable-,13,unsat,32.485,unsat,38.42,unsat,38.389
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable-,29,unsat,4.695,unsat,6.147,unsat,5.941
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable-,22,unsat,5.259,unsat,7.407,unsat,7.15
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable-,20,unsat,6.35,unsat,7.508,unsat,6.996
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable-,21,unsat,3.857,unsat,4.195,unsat,3.849
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable-,18,unsat,20.431,timeout,150,unsat,22.287
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
