onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,unstable,18,unsat,2.284,unsat,2.526,unsat,2.565
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,unstable,26,unsat,2.365,unsat,4.731,unsat,3.243
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,unstable,27,unsat,5.763,unsat,9.827,unsat,8.21
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,unstable,24,unsat,4.777,unsat,5.609,unsat,4.688
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,unstable,22,unsat,1.816,unsat,2.607,unsat,2.075
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,unstable,26,unsat,3.088,unsat,4.338,unsat,3.221
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,unstable,23,unsat,1.46,unsat,2.217,unsat,1.738
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,unstable,21,unsat,1.453,unsat,2.357,unsat,1.937
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,unstable,25,unsat,1.397,unsat,2.046,unsat,1.985
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,unstable,25,unsat,4.011,unsat,6.819,unsat,4.69
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,unstable,27,unsat,9.304,unsat,16.541,unsat,10.577
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,unstable,21,unsat,8.961,unsat,11.659,unsat,9.496
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,unstable,20,unsat,3.648,unsat,6.008,unsat,4.479
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,unstable,27,unsat,40.77,timeout,150,unsat,48.722
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,unstable,31,unsat,32.824,unsat,59.756,unsat,42.921
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,unstable,18,unsat,4.65,unsat,8.183,unsat,5.801
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,unstable,23,unsat,5.265,unsat,10.03,unsat,6.601
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,unstable,22,unsat,6.392,unsat,9.633,unsat,6.942
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,unstable,22,unsat,3.925,unsat,6.199,unsat,4.341
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,unstable,24,unsat,20.631,unsat,30.018,unsat,27.252
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,unstable,SKIPPED,timeout,120,-1,-1,-1,-1
