onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable+,10,unsat,5.4036,unsat,5.8941,unsat,5.8882
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable+,5,unsat,5.3357,unsat,9.9893,unsat,5.4209
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable+,9,unsat,9.7723,unsat,15.837,unsat,10.733
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable+,11,unsat,9.7228,unsat,11.0798,unsat,10.7646
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable+,15,unsat,5.2728,unsat,10.7614,unsat,5.4888
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable+,9,unsat,5.3688,unsat,5.459,unsat,5.3921
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable+,13,unsat,5.2071,unsat,5.3468,unsat,5.2768
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable+,11,unsat,5.2021,unsat,5.2361,unsat,5.2245
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable+,12,unsat,5.1098,unsat,5.2046,unsat,5.1931
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable+,6,unsat,5.3388,unsat,6.3226,unsat,5.6021
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable+,3,unsat,9.9625,unsat,10.4325,unsat,10.5545
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable+,5,unsat,9.8926,unsat,10.8059,unsat,10.755
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable+,8,unsat,8.0613,unsat,11.2033,unsat,10.1907
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable+,11,unsat,7.7716,unsat,13.1516,unsat,10.5015
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable+,6,unsat,10.1581,unsat,14.7306,unsat,10.6378
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable+,7,unsat,11.1665,unsat,16.3503,unsat,13.2086
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable+,5,unsat,12.333,unsat,25.3885,unsat,22.9694
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable+,3,unsat,12.6192,unsat,16.0747,unsat,15.0814
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable+,3,unsat,5.431,unsat,6.1316,unsat,5.7265
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable+,5,unsat,10.1858,unsat,11.2865,unsat,10.9072
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable+,8,unsat,5.6624,unsat,6.4435,unsat,5.8493
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable+,7,unsat,7.0813,unsat,11.104,unsat,10.5736
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable+,8,unsat,6.6709,unsat,11.5936,unsat,10.8513
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable+,13,unsat,11.7471,unsat,16.3863,unsat,13.8391
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable+,6,unsat,10.7844,unsat,12.5991,unsat,12.4086
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable+,5,unsat,11.2619,unsat,14.6326,unsat,12.8671
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable+,6,unsat,13.6485,unsat,16.9753,unsat,16.5145
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable+,3,unsat,11.8547,unsat,16.1834,unsat,16.5144
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable+,2,unsat,5.7365,unsat,7.919,unsat,5.9938
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable+,9,unsat,5.7851,unsat,11.5609,unsat,6.8995
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable+,15,unsat,7.8727,unsat,11.5375,unsat,10.434
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable+,6,unsat,10.4055,unsat,16.3017,unsat,11.5533
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable+,1,unsat,12.7183,unsat,15.9829,unsat,16.6036
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable+,9,unsat,15.1761,unsat,25.6057,unsat,16.3968
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable+,6,unsat,12.7301,unsat,16.489,unsat,16.5679
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable+,5,unsat,16.3755,unsat,16.599,unsat,17.3536
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable+,3,unsat,6.4997,unsat,11.2902,unsat,8.4122
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable+,3,unsat,5.9535,unsat,12.2609,unsat,6.8454
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable+,6,unsat,5.4007,unsat,5.6512,unsat,5.4519
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable+,7,unsat,6.2372,unsat,10.4477,unsat,7.7759
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable+,10,unsat,10.0284,unsat,16.2621,unsat,10.7317
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable+,5,unsat,15.2201,unsat,16.3811,unsat,16.2465
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable+,5,unsat,10.3406,unsat,14.707,unsat,11.5521
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable+,6,unsat,12.3683,unsat,16.4112,unsat,15.2108
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable+,4,unsat,11.7442,unsat,16.1166,unsat,14.7846
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable+,10,unsat,5.7141,unsat,17.6358,unsat,6.3475
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable+,5,sat,2.049,sat,5.6545,sat,2.2839
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable+,9,sat,6.3442,sat,18.5817,sat,7.1529
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable+,11,sat,2.6234,sat,2.2872,sat,2.1673
ACASXU_run2a_1_5_batch_2000_converted,prop_2,random,stable+,15,sat,17.3102,sat,18.5491,sat,18.2969
ACASXU_run2a_1_6_batch_2000_converted,prop_2,random,stable+,9,sat,5.6235,sat,8.6489,sat,3.0187
ACASXU_run2a_1_7_batch_2000_converted,prop_2,random,stable+,13,unsat,8.5544,unsat,16.5781,unsat,16.5887
ACASXU_run2a_1_8_batch_2000_converted,prop_2,random,stable+,11,unsat,15.4966,unsat,16.6138,unsat,16.8894
ACASXU_run2a_1_9_batch_2000_converted,prop_2,random,stable+,12,unsat,15.9662,unsat,16.9662,unsat,17.6422
ACASXU_run2a_2_1_batch_2000_converted,prop_2,random,stable+,6,sat,1.6712,sat,1.6866,sat,1.6732
ACASXU_run2a_2_2_batch_2000_converted,prop_2,random,stable+,3,sat,1.6535,sat,1.6964,sat,1.6745
ACASXU_run2a_2_3_batch_2000_converted,prop_2,random,stable+,5,sat,1.66,sat,1.6824,sat,1.7671
ACASXU_run2a_2_4_batch_2000_converted,prop_2,random,stable+,8,sat,1.7531,sat,1.6989,sat,1.6469
ACASXU_run2a_2_5_batch_2000_converted,prop_2,random,stable+,11,sat,1.755,sat,1.6458,sat,1.6599
ACASXU_run2a_2_6_batch_2000_converted,prop_2,random,stable+,6,sat,1.643,sat,1.7386,sat,1.6681
ACASXU_run2a_2_7_batch_2000_converted,prop_2,random,stable+,7,sat,1.6468,sat,1.6332,sat,1.6494
ACASXU_run2a_2_8_batch_2000_converted,prop_2,random,stable+,5,sat,1.6501,sat,1.6354,sat,1.8277
ACASXU_run2a_2_9_batch_2000_converted,prop_2,random,stable+,3,sat,1.6774,sat,1.7078,sat,1.7708
ACASXU_run2a_3_1_batch_2000_converted,prop_2,random,stable+,3,sat,1.6565,sat,1.6886,sat,1.6459
ACASXU_run2a_3_2_batch_2000_converted,prop_2,random,stable+,5,sat,2.8726,sat,1.9817,sat,1.6826
ACASXU_run2a_3_3_batch_2000_converted,prop_2,random,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_4_batch_2000_converted,prop_2,random,stable+,7,sat,1.7396,sat,1.7538,sat,1.7168
ACASXU_run2a_3_5_batch_2000_converted,prop_2,random,stable+,8,sat,1.6337,sat,1.6734,sat,1.6349
ACASXU_run2a_3_6_batch_2000_converted,prop_2,random,stable+,13,sat,1.6519,sat,1.6543,sat,1.6484
ACASXU_run2a_3_7_batch_2000_converted,prop_2,random,stable+,6,sat,1.7279,sat,1.6811,sat,1.6641
