onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,unstable,18,unsat,5.5194,unsat,5.6153,unsat,5.8828
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,unstable,26,unsat,5.3785,unsat,6.8403,unsat,5.5478
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,unstable,27,unsat,9.8977,unsat,11.1814,unsat,11.202
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,unstable,24,unsat,9.8435,unsat,11.1809,unsat,10.6579
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,unstable,22,unsat,5.3096,unsat,5.3908,unsat,5.4822
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,unstable,26,unsat,5.3598,unsat,5.6286,unsat,5.4376
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,unstable,23,unsat,5.2019,unsat,5.2702,unsat,5.233
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,unstable,21,unsat,5.2664,unsat,5.284,unsat,5.2011
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,unstable,25,unsat,5.0753,unsat,5.1606,unsat,5.2382
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,unstable,25,unsat,5.4152,unsat,6.2963,unsat,5.61
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,unstable,27,unsat,9.7592,unsat,10.4048,unsat,10.4121
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,unstable,21,unsat,9.6226,unsat,10.5549,unsat,10.5688
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,unstable,20,unsat,8.0839,unsat,10.3059,unsat,10.4002
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,unstable,27,unsat,7.9474,unsat,13.374,unsat,10.7784
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,unstable,31,unsat,10.1716,unsat,11.4459,unsat,10.7606
