onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable+,10,unsat,2.4359354972839355,unsat,2.4879701137542725,unsat,2.4303808212280273
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable+,5,unsat,2.3661272525787354,unsat,2.4348437786102295,unsat,2.4147911071777344
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable+,9,unsat,2.4020047187805176,unsat,2.5490007400512695,unsat,2.47841739654541
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable+,11,unsat,2.401979684829712,unsat,2.497927665710449,unsat,2.5043163299560547
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable+,15,unsat,2.3265249729156494,unsat,2.4357001781463623,unsat,2.4125277996063232
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable+,9,unsat,2.3636646270751953,unsat,2.474799871444702,unsat,2.474353313446045
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable+,13,unsat,2.323640823364258,unsat,2.3950629234313965,unsat,2.3806190490722656
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable+,11,unsat,2.297924041748047,unsat,2.2722067832946777,unsat,2.2769782543182373
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable+,12,unsat,2.221855640411377,unsat,2.201362371444702,unsat,2.2719082832336426
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable+,6,unsat,2.368539810180664,unsat,2.4315338134765625,unsat,2.4542019367218018
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable+,3,unsat,2.491901397705078,unsat,2.55232572555542,unsat,2.5739352703094482
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable+,5,unsat,2.402597427368164,unsat,2.4794857501983643,unsat,2.397998809814453
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable+,8,unsat,2.4276249408721924,unsat,2.5096890926361084,unsat,2.4921774864196777
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable+,11,unsat,2.702096939086914,unsat,2.7958691120147705,unsat,2.8028414249420166
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable+,6,unsat,2.52358078956604,unsat,2.617114543914795,unsat,2.596607208251953
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable+,7,unsat,2.6978728771209717,unsat,2.8692150115966797,unsat,2.7943062782287598
