onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable-,22,unsat,2.4876132011413574,unsat,2.6528000831604004,unsat,2.5216522216796875
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable-,19,unsat,2.3602256774902344,unsat,2.4826903343200684,unsat,2.4855759143829346
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable-,14,unsat,2.450483798980713,unsat,2.5456671714782715,unsat,2.551927328109741
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable-,15,unsat,2.4443674087524414,unsat,2.672268867492676,unsat,2.544530153274536
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable-,13,unsat,2.33365797996521,unsat,2.4155499935150146,unsat,2.465327739715576
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable-,15,unsat,2.41459059715271,unsat,2.503835439682007,unsat,2.505772352218628
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable-,14,unsat,2.343614339828491,unsat,2.495972156524658,unsat,2.396785259246826
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable-,18,unsat,2.287200689315796,unsat,2.390850782394409,unsat,2.3747031688690186
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable-,13,unsat,2.2526016235351562,unsat,2.2950971126556396,unsat,2.3022005558013916
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable-,19,unsat,2.3353466987609863,unsat,2.5586225986480713,unsat,2.4847331047058105
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable-,20,unsat,2.506418466567993,unsat,2.5897672176361084,unsat,2.6580281257629395
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable-,24,unsat,2.411375045776367,unsat,2.4617726802825928,unsat,2.499467611312866
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable-,22,unsat,2.4554367065429688,unsat,2.5453948974609375,unsat,2.519627809524536
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable-,12,unsat,2.681759834289551,unsat,2.8005311489105225,unsat,2.937472343444824
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable-,13,unsat,2.5005669593811035,unsat,2.645750045776367,unsat,2.6548407077789307
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable-,8,unsat,2.763603925704956,unsat,2.8834826946258545,unsat,2.902324914932251
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable-,8,unsat,2.8311009407043457,unsat,2.946678400039673,unsat,2.9334564208984375
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable-,8,unsat,2.9387590885162354,unsat,3.08233904838562,unsat,3.0582454204559326
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable-,29,unsat,2.4223344326019287,unsat,2.5343778133392334,unsat,2.534329414367676
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable-,22,unsat,2.507605791091919,unsat,2.674591541290283,unsat,2.543283224105835
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable-,20,unsat,2.4330198764801025,unsat,2.4952728748321533,unsat,2.520289182662964
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable-,21,unsat,2.436915874481201,unsat,2.5357866287231445,unsat,2.5640316009521484
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable-,18,unsat,2.5147132873535156,unsat,2.739957094192505,unsat,2.640510320663452
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable-,12,unsat,2.6769156455993652,unsat,2.7387731075286865,unsat,2.8413000106811523
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable-,7,unsat,2.7405247688293457,unsat,2.8682861328125,unsat,2.87373685836792
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable-,12,unsat,2.7044105529785156,unsat,2.8404934406280518,unsat,2.8531558513641357
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable-,8,unsat,3.2520322799682617,unsat,3.42246413230896,unsat,3.4261810779571533
