onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,4.0513999462127686,unsat,4.102004289627075,unsat,4.106684923171997
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,3.9915874004364014,unsat,4.032405138015747,unsat,4.037323236465454
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,4.007668972015381,unsat,4.062939643859863,unsat,4.107548952102661
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,4.015162229537964,unsat,4.101583957672119,unsat,4.108295917510986
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,3.888869285583496,unsat,3.9742023944854736,unsat,3.986327886581421
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,3.9525046348571777,unsat,4.032327651977539,unsat,3.988480806350708
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,3.916440486907959,unsat,3.9670755863189697,unsat,3.973684549331665
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,3.899505376815796,unsat,3.9535999298095703,unsat,3.94480562210083
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,3.796389579772949,unsat,3.87593150138855,unsat,3.8851468563079834
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,3.97824764251709,unsat,4.041915416717529,unsat,4.05633544921875
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,4.050483465194702,unsat,4.165392875671387,unsat,4.11846923828125
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,stable-,24,unsat,3.9546384811401367,unsat,4.0122904777526855,unsat,3.944422483444214
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,3.983982801437378,unsat,4.0347068309783936,unsat,4.0433573722839355
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,4.212716579437256,unsat,4.365227937698364,unsat,4.369067430496216
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,4.072980642318726,unsat,4.18315863609314,unsat,4.089022397994995
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,4.31364893913269,unsat,4.411694288253784,unsat,4.394355058670044
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,4.33700156211853,unsat,4.455935716629028,unsat,4.419580936431885
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,4.446069240570068,unsat,4.57788610458374,unsat,4.607155084609985
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,stable-,29,unsat,3.9865193367004395,unsat,4.020889043807983,unsat,4.058197736740112
