onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,unstable,18,unsat,2.541750192642212,unsat,2.6205296516418457,unsat,2.55478835105896
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,unstable,26,unsat,2.4161617755889893,unsat,2.593327522277832,unsat,2.5199503898620605
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,unstable,27,unsat,2.478916883468628,unsat,2.5819284915924072,unsat,2.4915733337402344
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,unstable,24,unsat,2.392817735671997,unsat,2.5897367000579834,unsat,2.4857022762298584
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,unstable,22,unsat,2.3773999214172363,unsat,2.483260154724121,unsat,2.454005718231201
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,unstable,26,unsat,2.4144508838653564,unsat,2.4829790592193604,unsat,2.5670368671417236
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,unstable,23,unsat,2.350754737854004,unsat,2.4226958751678467,unsat,2.4056878089904785
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,unstable,21,unsat,2.2720870971679688,unsat,2.3439011573791504,unsat,2.3557167053222656
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,unstable,25,unsat,2.231041669845581,unsat,2.385148763656616,unsat,2.3440680503845215
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,unstable,25,unsat,2.291412591934204,unsat,2.433389902114868,unsat,2.450824737548828
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,unstable,27,unsat,2.4617230892181396,unsat,2.661052703857422,unsat,2.5424611568450928
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,unstable,21,unsat,2.3802032470703125,unsat,2.511967182159424,unsat,2.484980344772339
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,unstable,20,unsat,2.408046245574951,unsat,2.509610176086426,unsat,2.5004689693450928
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,unstable,27,unsat,2.611721992492676,unsat,2.7902700901031494,unsat,2.7921125888824463
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,unstable,31,unsat,2.5395514965057373,unsat,2.636873483657837,unsat,2.6196577548980713
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,unstable,35,unsat,2.73274564743042,unsat,2.894589424133301,unsat,2.8507614135742188
