onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS+,unstable,18,unsat,2.4699928760528564,unsat,2.462489604949951,unsat,2.5512309074401855
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS+,unstable,26,unsat,2.3538928031921387,unsat,2.5051920413970947,unsat,2.4768013954162598
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,2.4131925106048584,unsat,2.506861925125122,unsat,2.527778387069702
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS+,unstable,24,unsat,2.4238016605377197,unsat,2.5605130195617676,unsat,2.5059943199157715
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS+,unstable,22,unsat,2.320666551589966,unsat,2.4429266452789307,unsat,2.344849109649658
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS+,unstable,26,unsat,2.3916635513305664,unsat,2.478569746017456,unsat,2.4438586235046387
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS+,unstable,23,unsat,2.2997660636901855,unsat,2.3555757999420166,unsat,2.3843514919281006
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS+,unstable,21,unsat,2.306680202484131,unsat,2.351605176925659,unsat,2.276200294494629
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS+,unstable,25,unsat,2.2304954528808594,unsat,2.283250331878662,unsat,2.280752182006836
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS+,unstable,25,unsat,2.4169654846191406,unsat,2.469027519226074,unsat,2.4028494358062744
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,2.4693126678466797,unsat,2.5915563106536865,unsat,2.5916552543640137
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS+,unstable,21,unsat,2.4209420680999756,unsat,2.5445210933685303,unsat,2.4698069095611572
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS+,unstable,20,unsat,2.4282426834106445,unsat,2.5282795429229736,unsat,2.5039594173431396
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,2.7015888690948486,unsat,2.835822105407715,unsat,2.8042569160461426
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS+,unstable,31,unsat,2.502403974533081,unsat,2.647465467453003,unsat,2.6310653686523438
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS+,unstable,35,unsat,2.7320032119750977,unsat,2.8773038387298584,unsat,2.8906991481781006
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS+,unstable,37,unsat,2.798189640045166,unsat,2.9591774940490723,unsat,2.943495273590088
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS+,unstable,39,unsat,2.91342830657959,unsat,3.114617109298706,unsat,3.070909261703491
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS+,unstable,18,unsat,2.4232494831085205,unsat,2.5816242694854736,unsat,2.4605445861816406
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS+,unstable,23,unsat,2.4890732765197754,unsat,2.594539165496826,unsat,2.6088390350341797
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS+,unstable,22,unsat,2.4274563789367676,unsat,2.527001142501831,unsat,2.4889025688171387
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS+,unstable,22,unsat,2.4379584789276123,unsat,2.600654363632202,unsat,2.5017430782318115
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS+,unstable,24,unsat,2.535731554031372,unsat,2.6443519592285156,unsat,2.6547048091888428
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS+,unstable,25,unsat,2.599463939666748,unsat,2.826263666152954,unsat,2.661285638809204
ACASXU_run2a_3_7_batch_2000_converted,prop_1,reluS+,unstable,37,unsat,2.711848020553589,unsat,2.907480239868164,unsat,2.8258657455444336
