onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,unstable,18,unsat,2.4779229164123535,unsat,2.538304090499878,unsat,2.515425682067871
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,unstable,26,unsat,2.393871545791626,unsat,2.478708267211914,unsat,2.45585298538208
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,2.474381685256958,unsat,2.5093491077423096,unsat,2.5895016193389893
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,2.4372289180755615,unsat,2.5104777812957764,unsat,2.5080599784851074
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,2.348822832107544,unsat,2.462975263595581,unsat,2.4335081577301025
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,unstable,26,unsat,2.4057226181030273,unsat,2.4768736362457275,unsat,2.4078516960144043
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,unstable,23,unsat,2.329167127609253,unsat,2.42392897605896,unsat,2.4221980571746826
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,2.3261444568634033,unsat,2.3540961742401123,unsat,2.3477721214294434
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,2.243607759475708,unsat,2.299569845199585,unsat,2.283639430999756
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,2.3436484336853027,unsat,2.477612018585205,unsat,2.4875295162200928
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,2.496645450592041,unsat,2.5889220237731934,unsat,2.5711450576782227
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,2.3813297748565674,unsat,2.449726104736328,unsat,2.486213207244873
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,unstable,20,unsat,2.400588274002075,unsat,2.5077402591705322,unsat,2.5117485523223877
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,2.7563977241516113,unsat,2.847001075744629,unsat,2.8132987022399902
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,unstable,31,unsat,2.5239858627319336,unsat,2.7267534732818604,unsat,2.6404354572296143
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,unstable,35,unsat,2.700228452682495,unsat,2.8979642391204834,unsat,2.955336093902588
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,unstable,37,unsat,2.805795192718506,unsat,2.990576982498169,unsat,2.977646589279175
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,unstable,39,unsat,2.899340867996216,unsat,3.1248362064361572,unsat,3.0662338733673096
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,unstable,18,unsat,2.43638014793396,unsat,2.5458154678344727,unsat,2.51543927192688
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS-,unstable,23,unsat,2.5058786869049072,unsat,2.5896615982055664,unsat,2.5621097087860107
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,2.503657579421997,unsat,2.526113986968994,unsat,2.488415002822876
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,2.4316163063049316,unsat,2.5839548110961914,unsat,2.511481285095215
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,2.5213446617126465,unsat,2.637126922607422,unsat,2.6284987926483154
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,2.6329281330108643,unsat,2.73919677734375,unsat,2.697782039642334
ACASXU_run2a_3_7_batch_2000_converted,prop_1,reluS-,unstable,37,unsat,2.688330888748169,unsat,2.8690690994262695,unsat,2.8625566959381104
ACASXU_run2a_3_8_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,2.723947286605835,unsat,2.8412280082702637,unsat,2.872952938079834
ACASXU_run2a_3_9_batch_2000_converted,prop_1,reluS-,unstable,36,unsat,3.211693048477173,unsat,3.440162420272827,unsat,3.3917465209960938
ACASXU_run2a_4_1_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,2.6056764125823975,unsat,2.5688085556030273,unsat,2.6218318939208984
ACASXU_run2a_4_2_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,2.3241429328918457,unsat,2.396733283996582,unsat,2.4737792015075684
ACASXU_run2a_4_3_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,2.403740167617798,unsat,2.534860610961914,unsat,2.515392780303955
ACASXU_run2a_4_4_batch_2000_converted,prop_1,reluS-,unstable,20,unsat,2.4371540546417236,unsat,2.5371084213256836,unsat,2.528198719024658
ACASXU_run2a_4_5_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,2.515408992767334,unsat,2.6907637119293213,unsat,2.5902860164642334
ACASXU_run2a_4_6_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,2.817209005355835,unsat,2.974018096923828,unsat,3.046272039413452
ACASXU_run2a_4_7_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,2.9584314823150635,unsat,3.164539098739624,unsat,3.1128289699554443
ACASXU_run2a_4_8_batch_2000_converted,prop_1,reluS-,unstable,34,unsat,2.8603782653808594,unsat,3.014047622680664,unsat,2.997979164123535
ACASXU_run2a_4_9_batch_2000_converted,prop_1,reluS-,unstable,39,unsat,3.001403570175171,unsat,3.3057682514190674,unsat,3.1874349117279053
ACASXU_run2a_5_1_batch_2000_converted,prop_1,reluS-,unstable,18,unsat,2.406803846359253,unsat,2.510042190551758,unsat,2.494588851928711
ACASXU_run2a_5_2_batch_2000_converted,prop_1,reluS-,unstable,17,unsat,2.427952289581299,unsat,2.4819741249084473,unsat,2.4949519634246826
ACASXU_run2a_5_3_batch_2000_converted,prop_1,reluS-,unstable,30,unsat,2.449354648590088,unsat,2.5163991451263428,unsat,2.506706476211548
ACASXU_run2a_5_4_batch_2000_converted,prop_1,reluS-,unstable,17,unsat,2.3265695571899414,unsat,2.47542405128479,unsat,2.544226884841919
ACASXU_run2a_5_5_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,2.4637527465820312,unsat,2.639620542526245,unsat,2.6147642135620117
ACASXU_run2a_5_6_batch_2000_converted,prop_1,reluS-,unstable,36,unsat,2.666188955307007,unsat,2.8307366371154785,unsat,2.7882614135742188
ACASXU_run2a_5_7_batch_2000_converted,prop_1,reluS-,unstable,38,unsat,2.68864369392395,unsat,2.8215107917785645,unsat,2.800877094268799
ACASXU_run2a_5_8_batch_2000_converted,prop_1,reluS-,unstable,34,unsat,2.9071848392486572,unsat,3.114790678024292,unsat,3.0787644386291504
ACASXU_run2a_5_9_batch_2000_converted,prop_1,reluS-,unstable,35,unsat,2.679926633834839,unsat,2.812976360321045,unsat,2.7763102054595947
ACASXU_run2a_1_1_batch_2000_converted,prop_2,reluS-,unstable,18,unsat,3.7076735496520996,unsat,3.9465670585632324,unsat,4.007114410400391
ACASXU_run2a_1_2_batch_2000_converted,prop_2,reluS-,unstable,26,sat,2.051544427871704,sat,2.0907232761383057,sat,2.034302234649658
ACASXU_run2a_1_3_batch_2000_converted,prop_2,reluS-,unstable,27,sat,2.1517348289489746,sat,2.189544677734375,sat,2.2166707515716553
ACASXU_run2a_1_4_batch_2000_converted,prop_2,reluS-,unstable,24,sat,0.5025503635406494,sat,0.533747673034668,sat,0.492415189743042
ACASXU_run2a_1_5_batch_2000_converted,prop_2,reluS-,unstable,22,sat,4.790459394454956,sat,2.1497204303741455,sat,5.367795705795288
ACASXU_run2a_1_6_batch_2000_converted,prop_2,reluS-,unstable,26,sat,0.489058256149292,sat,0.4903435707092285,sat,0.48592472076416016
ACASXU_run2a_1_7_batch_2000_converted,prop_2,reluS-,unstable,23,unsat,2.582679510116577,unsat,2.9372775554656982,unsat,2.7816977500915527
ACASXU_run2a_1_8_batch_2000_converted,prop_2,reluS-,unstable,21,unsat,2.6601078510284424,unsat,2.8262929916381836,unsat,2.8475637435913086
ACASXU_run2a_1_9_batch_2000_converted,prop_2,reluS-,unstable,25,unsat,2.8496739864349365,unsat,3.1085126399993896,unsat,2.9745490550994873
ACASXU_run2a_2_1_batch_2000_converted,prop_2,reluS-,unstable,25,sat,0.5082290172576904,sat,0.49527907371520996,sat,0.4885902404785156
ACASXU_run2a_2_2_batch_2000_converted,prop_2,reluS-,unstable,27,sat,0.49331068992614746,sat,0.49983644485473633,sat,0.5238988399505615
ACASXU_run2a_2_3_batch_2000_converted,prop_2,reluS-,unstable,21,sat,0.4746129512786865,sat,0.46517491340637207,sat,0.46937060356140137
ACASXU_run2a_2_4_batch_2000_converted,prop_2,reluS-,unstable,20,sat,0.49614524841308594,sat,0.5060319900512695,sat,0.4887669086456299
ACASXU_run2a_2_5_batch_2000_converted,prop_2,reluS-,unstable,27,sat,0.4759523868560791,sat,0.48362278938293457,sat,0.4915647506713867
ACASXU_run2a_2_6_batch_2000_converted,prop_2,reluS-,unstable,31,sat,0.46592259407043457,sat,0.4676187038421631,sat,0.47088074684143066
ACASXU_run2a_2_7_batch_2000_converted,prop_2,reluS-,unstable,35,sat,0.45583367347717285,sat,0.4930839538574219,sat,0.46159887313842773
ACASXU_run2a_2_8_batch_2000_converted,prop_2,reluS-,unstable,37,sat,0.4673435688018799,sat,0.44953298568725586,sat,0.4596247673034668
ACASXU_run2a_2_9_batch_2000_converted,prop_2,reluS-,unstable,39,sat,0.48191237449645996,sat,0.4874155521392822,sat,0.4968876838684082
ACASXU_run2a_3_1_batch_2000_converted,prop_2,reluS-,unstable,18,sat,0.4347877502441406,sat,0.4722464084625244,sat,0.46342968940734863
ACASXU_run2a_3_2_batch_2000_converted,prop_2,reluS-,unstable,23,sat,0.5307230949401855,sat,0.48908305168151855,sat,0.4996144771575928
ACASXU_run2a_3_3_batch_2000_converted,prop_2,reluS-,unstable,22,unsat,59.880143880844116,unsat,71.15824270248413,unsat,65.27670311927795
ACASXU_run2a_3_4_batch_2000_converted,prop_2,reluS-,unstable,22,sat,0.4631035327911377,sat,0.4631497859954834,sat,0.4902033805847168
ACASXU_run2a_3_5_batch_2000_converted,prop_2,reluS-,unstable,24,sat,0.45896339416503906,sat,0.447253942489624,sat,0.4741029739379883
ACASXU_run2a_3_6_batch_2000_converted,prop_2,reluS-,unstable,25,sat,0.4677548408508301,sat,0.49077463150024414,sat,0.5142531394958496
ACASXU_run2a_3_7_batch_2000_converted,prop_2,reluS-,unstable,37,sat,0.4844954013824463,sat,0.48174071311950684,sat,0.4883384704589844
ACASXU_run2a_3_8_batch_2000_converted,prop_2,reluS-,unstable,33,sat,0.48933839797973633,sat,0.4994692802429199,sat,0.4947793483734131
ACASXU_run2a_3_9_batch_2000_converted,prop_2,reluS-,unstable,36,sat,0.4480323791503906,sat,0.46904540061950684,sat,0.4606175422668457
ACASXU_run2a_4_1_batch_2000_converted,prop_2,reluS-,unstable,21,sat,0.5171608924865723,sat,0.49939608573913574,sat,0.49010443687438965
ACASXU_run2a_4_2_batch_2000_converted,prop_2,reluS-,unstable,24,unsat,54.46109056472778,unsat,67.02136826515198,unsat,60.42359638214111
ACASXU_run2a_4_3_batch_2000_converted,prop_2,reluS-,unstable,24,sat,0.46303367614746094,sat,0.48497962951660156,sat,0.4671144485473633
ACASXU_run2a_4_4_batch_2000_converted,prop_2,reluS-,unstable,20,sat,0.4961843490600586,sat,0.5065996646881104,sat,0.486095666885376
ACASXU_run2a_4_5_batch_2000_converted,prop_2,reluS-,unstable,25,sat,0.4680185317993164,sat,0.4649207592010498,sat,0.45488572120666504
ACASXU_run2a_4_6_batch_2000_converted,prop_2,reluS-,unstable,33,sat,0.47418999671936035,sat,0.4524698257446289,sat,0.4592001438140869
ACASXU_run2a_4_7_batch_2000_converted,prop_2,reluS-,unstable,33,sat,0.4528498649597168,sat,0.4960312843322754,sat,0.4661295413970947
ACASXU_run2a_4_8_batch_2000_converted,prop_2,reluS-,unstable,34,sat,0.450878381729126,sat,0.46332812309265137,sat,0.4520578384399414
ACASXU_run2a_4_9_batch_2000_converted,prop_2,reluS-,unstable,39,sat,0.4893457889556885,sat,0.5310506820678711,sat,0.5070137977600098
ACASXU_run2a_5_1_batch_2000_converted,prop_2,reluS-,unstable,18,sat,0.45311927795410156,sat,0.4567539691925049,sat,0.46782851219177246
