onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable+,10,unsat,2.273,unsat,2.829,unsat,2.081
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable+,5,unsat,2.329,unsat,3.022,unsat,3.286
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable+,9,unsat,5.737,unsat,9.179,unsat,6.689
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable+,11,unsat,4.749,unsat,5.512,unsat,4.988
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable+,15,unsat,1.801,unsat,3.431,unsat,2.327
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable+,9,unsat,2.961,unsat,4.146,unsat,3.031
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable+,13,unsat,1.457,unsat,1.916,unsat,1.624
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable+,11,unsat,1.429,unsat,1.997,unsat,1.704
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable+,12,unsat,1.37,unsat,1.502,unsat,1.77
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable+,6,unsat,3.964,unsat,4.539,unsat,3.946
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable+,3,unsat,9.173,unsat,11.099,unsat,9.628
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable+,5,unsat,8.804,unsat,9.468,unsat,8.382
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable+,8,unsat,3.559,unsat,6.074,unsat,4.111
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable+,11,unsat,40.075,unsat,82.844,unsat,44.443
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable+,6,unsat,31.827,unsat,58.563,unsat,35.63
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable+,3,unsat,4.662,unsat,5.655,unsat,4.835
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable+,5,unsat,5.111,unsat,8.86,unsat,6.174
