onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS+,stable+,10,unsat,2.303,unsat,2.323,unsat,2.306
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,2.374,unsat,3.145,unsat,2.713
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,5.826,unsat,9.718,unsat,6.622
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,4.821,unsat,5.689,unsat,5.165
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS+,stable+,15,unsat,1.852,unsat,2.701,unsat,2.382
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,2.972,unsat,3.877,unsat,3.4
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS+,stable+,13,unsat,1.489,unsat,1.956,unsat,1.709
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,1.469,unsat,1.737,unsat,1.722
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS+,stable+,12,unsat,1.384,unsat,1.361,unsat,1.698
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,3.97,unsat,4.813,unsat,3.942
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS+,stable+,3,unsat,9.242,unsat,11.191,timeout,120
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,8.883,unsat,9.277,unsat,7.984
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS+,stable+,8,unsat,3.669,unsat,6.059,unsat,3.968
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,40.171,unsat,78.826,unsat,47.311
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,32.728,timeout,150,unsat,36.308
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS+,stable+,3,unsat,4.725,unsat,6.84,unsat,4.806
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,5.196,unsat,8.237,unsat,6.244
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS+,stable+,8,unsat,6.402,unsat,10.006,unsat,6.532
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS+,stable+,7,unsat,3.876,unsat,5.361,unsat,3.981
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS+,stable+,8,unsat,20.717,unsat,28.122,unsat,25.05
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_7_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_8_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_9_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_1_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_2_batch_2000_converted,prop_1,reluS+,stable+,2,unsat,4.674,unsat,5.682,unsat,5.634
ACASXU_run2a_4_3_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,5.67,unsat,8.342,unsat,6.456
ACASXU_run2a_4_4_batch_2000_converted,prop_1,reluS+,stable+,15,unsat,4.64,unsat,15.174,unsat,6.238
ACASXU_run2a_4_5_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,21.219,unsat,41.4,unsat,24.798
ACASXU_run2a_4_6_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_7_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_8_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_4_9_batch_2000_converted,prop_1,reluS+,stable+,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_5_1_batch_2000_converted,prop_1,reluS+,stable+,3,unsat,4.427,unsat,5.045,unsat,4.92
