onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,2.324,unsat,2.92,unsat,2.512
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,2.381,unsat,3.614,unsat,2.851
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,5.877,unsat,6.543,unsat,6.779
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,4.838,unsat,4.917,unsat,5.168
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,1.84,unsat,2.034,unsat,2.288
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,3.01,unsat,3.234,unsat,3.06
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,1.474,unsat,1.926,unsat,1.537
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,1.452,unsat,2.263,unsat,1.675
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,1.397,unsat,1.641,unsat,1.87
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,4.028,unsat,4.287,unsat,3.974
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,9.321,unsat,10.818,unsat,11.657
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,stable-,24,unsat,8.976,unsat,9.766,unsat,8.547
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,3.613,unsat,5.199,unsat,4.579
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,40.503,unsat,52.602,unsat,46.55
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,32.706,unsat,42.649,unsat,35.8
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,stable-,SKIPPED,timeout,120,-1,-1,-1,-1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,stable-,29,unsat,4.715,unsat,5.848,unsat,5.623
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,5.222,unsat,7.223,unsat,6.837
