onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable+,10,unsat,4.2174,unsat,4.5657,unsat,4.6045
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable+,5,unsat,4.1047,unsat,8.8156,unsat,4.1872
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable+,9,unsat,8.8131,unsat,14.5168,unsat,9.5176
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable+,11,unsat,8.7342,unsat,9.9264,unsat,9.2884
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable+,15,unsat,3.9829,unsat,8.2328,unsat,4.1257
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable+,9,unsat,3.9877,unsat,4.1948,unsat,4.0781
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable+,13,unsat,3.8781,unsat,3.9835,unsat,3.9375
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable+,11,unsat,3.8694,unsat,3.8967,unsat,3.8572
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable+,12,unsat,3.7665,unsat,3.9225,unsat,3.8668
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable+,6,unsat,4.021,unsat,5.097,unsat,4.3052
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable+,3,unsat,8.2864,unsat,9.0555,unsat,9.3416
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable+,5,unsat,8.5247,unsat,9.7057,unsat,9.4496
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable+,8,unsat,6.6604,unsat,9.9063,unsat,8.8516
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable+,11,unsat,6.1908,unsat,11.6217,unsat,9.1532
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable+,6,unsat,8.601,unsat,12.8538,unsat,9.3188
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable+,7,unsat,9.8888,unsat,15.0084,unsat,11.4976
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable+,5,unsat,10.9128,unsat,23.8922,unsat,21.8946
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable+,3,unsat,11.3867,unsat,15.0547,unsat,13.7623
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable+,3,unsat,4.0147,unsat,4.5229,unsat,4.453
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable+,5,unsat,8.8457,unsat,10.1604,unsat,9.3895
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable+,8,unsat,4.3604,unsat,5.0375,unsat,4.5522
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable+,7,unsat,5.7832,unsat,9.4481,unsat,9.1285
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable+,8,unsat,5.3609,unsat,10.2999,unsat,9.8274
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable+,13,unsat,10.2748,unsat,14.9155,unsat,12.9895
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable+,6,unsat,9.8332,unsat,11.2389,unsat,10.6879
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable+,5,unsat,9.5125,unsat,13.4281,unsat,11.5149
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable+,6,unsat,12.4323,unsat,14.8854,unsat,15.0557
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable+,3,unsat,10.2456,unsat,14.6867,unsat,14.6943
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable+,2,unsat,4.398,unsat,6.2733,unsat,4.6922
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable+,9,unsat,4.3874,unsat,10.8884,unsat,5.3742
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable+,15,unsat,6.5171,unsat,10.1268,unsat,8.8215
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable+,6,unsat,8.8456,unsat,14.726,unsat,9.9492
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable+,1,unsat,10.9737,unsat,14.7356,unsat,14.914
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable+,9,unsat,14.2985,unsat,23.7784,unsat,15.6047
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable+,6,unsat,11.9484,unsat,15.2257,unsat,15.3937
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable+,5,unsat,15.1608,unsat,15.7777,unsat,16.0259
