onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS+,stable+,10,unsat,5.5605,unsat,5.7781,unsat,5.9561
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,5.4189,unsat,5.7248,unsat,5.5465
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,10.1613,unsat,15.945,unsat,11.0344
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,9.7932,unsat,11.1132,unsat,10.8055
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS+,stable+,15,unsat,5.3013,unsat,6.1799,unsat,5.5062
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,5.3008,unsat,5.5825,unsat,5.3263
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS+,stable+,13,unsat,5.1495,unsat,5.2602,unsat,5.1805
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,5.185,unsat,5.3063,unsat,5.2989
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS+,stable+,12,unsat,5.1355,unsat,5.2553,unsat,5.1557
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,5.3172,unsat,5.988,unsat,5.6051
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS+,stable+,3,unsat,9.7454,unsat,10.8529,unsat,10.4244
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,9.9282,unsat,11.1767,unsat,10.6239
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS+,stable+,8,unsat,7.9781,unsat,11.3713,unsat,10.3901
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,7.8404,unsat,12.3409,unsat,10.6108
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,10.3296,unsat,13.0375,unsat,10.9673
