onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable-,22,unsat,4.1678,unsat,4.5896,unsat,4.6493
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable-,19,unsat,4.0738,unsat,4.1457,unsat,4.2379
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable-,14,unsat,8.5821,unsat,9.9101,unsat,9.5965
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable-,15,unsat,8.6962,unsat,9.1904,unsat,9.1115
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable-,13,unsat,3.9172,unsat,4.1647,unsat,4.0582
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable-,15,unsat,4.0748,unsat,4.0354,unsat,4.1024
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable-,14,unsat,3.8607,unsat,3.9436,unsat,3.867
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable-,18,unsat,3.8422,unsat,3.8596,unsat,3.8909
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable-,13,unsat,3.7719,unsat,3.8797,unsat,3.8764
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable-,19,unsat,4.0297,unsat,4.325,unsat,4.3508
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable-,20,unsat,8.5789,unsat,8.9681,unsat,9.0239
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable-,24,unsat,8.4284,unsat,9.1053,unsat,9.4631
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable-,22,unsat,6.588,unsat,9.1127,unsat,8.8511
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable-,12,unsat,6.3985,unsat,9.4245,unsat,9.3637
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable-,13,unsat,8.8371,unsat,9.6552,unsat,9.2629
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable-,8,unsat,10.2516,unsat,11.5731,unsat,11.5292
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable-,8,unsat,10.9352,unsat,21.5554,unsat,21.5837
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable-,8,unsat,11.6861,unsat,13.2482,unsat,13.1885
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable-,29,unsat,4.0713,unsat,4.3701,unsat,4.3926
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable-,22,unsat,8.8111,unsat,9.6218,unsat,9.2765
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable-,20,unsat,4.2916,unsat,4.5016,unsat,4.5313
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable-,21,unsat,5.7255,unsat,9.0913,unsat,9.0077
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable-,18,unsat,5.4112,unsat,9.6415,unsat,9.5319
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable-,12,unsat,10.3515,unsat,12.9381,unsat,12.5894
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable-,7,unsat,9.3845,unsat,10.6381,unsat,10.5599
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable-,12,unsat,9.544,unsat,11.4771,unsat,11.1626
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable-,8,unsat,12.2289,unsat,15.0882,unsat,15.0181
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable-,26,unsat,10.5907,unsat,14.6082,unsat,14.7831
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable-,24,unsat,4.3911,unsat,4.684,unsat,4.6343
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable-,17,unsat,4.5524,unsat,5.4697,unsat,5.4873
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable-,15,unsat,6.4224,unsat,8.8164,unsat,8.783
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable-,19,unsat,8.9661,unsat,9.959,unsat,10.3203
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable-,16,unsat,10.9045,unsat,14.9004,unsat,14.8937
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable-,8,unsat,14.2803,unsat,15.4888,unsat,15.5249
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable-,10,unsat,11.3619,unsat,15.5287,unsat,15.4807
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable-,6,unsat,15.324,unsat,16.3628,unsat,15.846
