onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,5.562,unsat,5.9505,unsat,5.9362
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,5.3739,unsat,5.4813,unsat,5.6197
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,9.8772,unsat,10.8878,unsat,11.0016
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,9.7992,unsat,10.4764,unsat,10.6089
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,5.2932,unsat,5.4942,unsat,5.5025
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,5.3437,unsat,5.4962,unsat,5.4378
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,5.2292,unsat,5.2542,unsat,5.2383
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,5.2469,unsat,5.2162,unsat,5.3061
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,5.1004,unsat,5.1945,unsat,5.1748
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,5.3836,unsat,5.6167,unsat,5.6462
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,9.68,unsat,10.4147,unsat,10.5805
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,stable-,24,unsat,9.6933,unsat,10.906,unsat,10.8236
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,7.8571,unsat,10.4435,unsat,10.4581
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,7.6666,unsat,10.6684,unsat,10.7942
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,10.2649,unsat,10.6697,unsat,10.6867
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,11.5763,unsat,13.0695,unsat,12.7888
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,12.4189,unsat,23.0618,unsat,23.234
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,12.9507,unsat,14.6446,unsat,14.5485
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,stable-,29,unsat,5.4184,unsat,5.6969,unsat,5.683
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,9.915,unsat,10.8895,unsat,10.7029
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,5.6458,unsat,5.878,unsat,5.8843
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS-,stable-,21,unsat,7.0466,unsat,10.0827,unsat,10.4858
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,6.8061,unsat,10.9275,unsat,11.0712
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,11.382,unsat,14.2869,unsat,13.8437
