onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,unstable,18,unsat,4.2497,unsat,4.4871,unsat,4.6641
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,unstable,26,unsat,4.058,unsat,4.5791,unsat,4.1758
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,unstable,27,unsat,8.6564,unsat,9.5523,unsat,9.6931
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,unstable,24,unsat,8.7291,unsat,9.8766,unsat,9.5019
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,unstable,22,unsat,3.9549,unsat,4.1012,unsat,4.2092
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,unstable,26,unsat,3.9989,unsat,4.2309,unsat,4.1256
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,unstable,23,unsat,3.8883,unsat,3.9518,unsat,3.9404
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,unstable,21,unsat,3.8635,unsat,3.9156,unsat,3.9357
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,unstable,25,unsat,3.8351,unsat,3.8989,unsat,3.861
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,unstable,25,unsat,4.0377,unsat,4.6117,unsat,4.3003
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,unstable,27,unsat,8.2838,unsat,9.3391,unsat,9.2447
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,unstable,21,unsat,8.3335,unsat,10.5055,unsat,9.4494
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,unstable,20,unsat,6.5447,unsat,9.4224,unsat,9.1088
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,unstable,27,unsat,6.4871,unsat,10.3464,unsat,9.3668
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,unstable,31,unsat,8.902,unsat,9.9869,unsat,9.3355
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,unstable,35,unsat,10.2319,unsat,13.0286,unsat,11.5642
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,unstable,37,unsat,11.0993,unsat,19.3116,unsat,22.5045
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,unstable,39,unsat,11.6598,unsat,15.7035,unsat,13.832
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,unstable,18,unsat,4.1453,unsat,5.0521,unsat,4.4722
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,unstable,23,unsat,8.6167,unsat,10.2798,unsat,9.7409
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,unstable,22,unsat,4.336,unsat,4.8075,unsat,4.5198
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,unstable,22,unsat,5.7584,unsat,9.338,unsat,8.932
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,unstable,24,unsat,5.4708,unsat,9.8016,unsat,9.7537
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,unstable,25,unsat,10.4144,unsat,15.1667,unsat,12.5622
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,unstable,37,unsat,9.4965,unsat,15.1514,unsat,10.897
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,unstable,33,unsat,9.8677,unsat,11.6415,unsat,11.1558
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,unstable,36,unsat,12.3652,unsat,15.5908,unsat,15.2801
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,unstable,21,unsat,10.5755,unsat,11.3005,unsat,14.7654
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,unstable,24,unsat,4.4326,unsat,4.79,unsat,4.6993
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,unstable,24,unsat,4.5416,unsat,10.0184,unsat,5.516
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,unstable,20,unsat,6.6158,unsat,9.0267,unsat,9.1297
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,unstable,25,unsat,8.9022,unsat,14.8733,unsat,9.9927
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,unstable,33,unsat,10.9125,unsat,15.2532,unsat,14.7599
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,unstable,33,unsat,14.286,unsat,18.2359,unsat,15.6227
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,unstable,34,unsat,11.4714,unsat,15.5427,unsat,15.1955
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,unstable,39,unsat,14.7668,unsat,15.5091,unsat,16.3256
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,unstable,18,unsat,5.2357,unsat,9.2862,unsat,6.9849
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,unstable,17,unsat,4.7508,unsat,5.9828,unsat,5.5694
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,unstable,30,unsat,4.1074,unsat,4.188,unsat,4.1816
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,unstable,17,unsat,4.9685,unsat,6.6323,unsat,6.3889
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,unstable,25,unsat,8.5013,unsat,10.0389,unsat,9.6575
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,unstable,36,unsat,13.9032,unsat,15.0977,unsat,14.9778
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,unstable,38,unsat,9.2748,unsat,10.8145,unsat,9.9537
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,unstable,34,unsat,11.1196,unsat,15.4345,unsat,13.4426
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,unstable,35,unsat,10.452,unsat,13.3967,unsat,13.401
