onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS+,unstable,18,unsat,4.1879,unsat,4.3013,unsat,4.5997
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS+,unstable,26,unsat,4.0107,unsat,4.2396,unsat,4.1124
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,8.5405,unsat,9.7371,unsat,9.5178
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS+,unstable,24,unsat,8.7474,unsat,9.0445,unsat,9.2473
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS+,unstable,22,unsat,3.9403,unsat,4.1493,unsat,4.1832
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS+,unstable,26,unsat,4.0262,unsat,4.1355,unsat,4.0962
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS+,unstable,23,unsat,3.8544,unsat,3.9578,unsat,3.9645
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS+,unstable,21,unsat,3.8497,unsat,3.9814,unsat,3.8813
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS+,unstable,25,unsat,3.8359,unsat,3.8485,unsat,3.85
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS+,unstable,25,unsat,4.0008,unsat,5.5647,unsat,4.3436
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,8.6028,unsat,9.4878,unsat,9.0162
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS+,unstable,21,unsat,8.3733,unsat,9.6314,unsat,9.0596
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS+,unstable,20,unsat,6.5197,unsat,9.3947,unsat,8.9229
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS+,unstable,27,unsat,6.2753,unsat,12.0138,unsat,9.4304
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS+,unstable,31,unsat,8.6108,unsat,10.3943,unsat,9.5305
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS+,unstable,35,unsat,9.9714,unsat,11.7738,unsat,11.4307
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS+,unstable,37,unsat,11.3711,unsat,23.4315,unsat,22.2522
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS+,unstable,39,unsat,11.5844,unsat,15.6225,unsat,13.2988
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS+,unstable,18,unsat,4.0752,unsat,4.9824,unsat,4.399
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS+,unstable,23,unsat,8.5712,unsat,10.1975,unsat,9.488
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS+,unstable,22,unsat,4.3356,unsat,4.909,unsat,4.581
