onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,unstable,18,unsat,4.2391,unsat,4.3711,unsat,4.6502
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,unstable,26,unsat,4.0844,unsat,4.1239,unsat,4.2816
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,8.9002,unsat,9.0293,unsat,9.5541
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,8.696,unsat,9.054,unsat,9.4955
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,3.9911,unsat,4.0747,unsat,4.1446
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,unstable,26,unsat,3.9492,unsat,4.1255,unsat,4.0755
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,unstable,23,unsat,3.8834,unsat,3.9764,unsat,3.9534
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,3.8718,unsat,3.986,unsat,3.9776
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,3.8515,unsat,3.7726,unsat,3.8894
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,4.0572,unsat,4.07,unsat,4.244
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,8.2827,unsat,9.0703,unsat,8.9678
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,8.3482,unsat,9.1257,unsat,9.5301
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,unstable,20,unsat,6.5164,unsat,7.1039,unsat,8.9558
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,unstable,27,unsat,6.3394,unsat,6.8758,unsat,9.1415
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,unstable,31,unsat,8.6025,unsat,9.1059,unsat,9.3874
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,unstable,35,unsat,10.1385,unsat,10.6161,unsat,11.5807
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,unstable,37,unsat,11.0001,unsat,11.7568,unsat,22.384
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,unstable,39,unsat,11.2361,unsat,12.1638,unsat,13.2041
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,unstable,18,unsat,4.079,unsat,4.2033,unsat,4.4411
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS-,unstable,23,unsat,8.7569,unsat,9.128,unsat,9.7811
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,4.3772,unsat,4.4395,unsat,4.6307
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS-,unstable,22,unsat,5.7932,unsat,6.0499,unsat,9.0224
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,5.3836,unsat,5.6014,unsat,9.8682
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,9.9521,unsat,11.2008,unsat,12.7131
ACASXU_run2a_3_7_batch_2000_converted,prop_1,reluS-,unstable,37,unsat,9.4748,unsat,10.0414,unsat,10.8286
ACASXU_run2a_3_8_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,9.6094,unsat,10.3689,unsat,11.1707
ACASXU_run2a_3_9_batch_2000_converted,prop_1,reluS-,unstable,36,unsat,12.2606,unsat,13.1251,unsat,15.3772
ACASXU_run2a_4_1_batch_2000_converted,prop_1,reluS-,unstable,21,unsat,10.2878,unsat,11.1154,unsat,14.8746
ACASXU_run2a_4_2_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,4.4524,unsat,4.4757,unsat,4.6818
ACASXU_run2a_4_3_batch_2000_converted,prop_1,reluS-,unstable,24,unsat,4.5322,unsat,4.6337,unsat,5.4397
ACASXU_run2a_4_4_batch_2000_converted,prop_1,reluS-,unstable,20,unsat,6.3718,unsat,6.9395,unsat,9.1591
ACASXU_run2a_4_5_batch_2000_converted,prop_1,reluS-,unstable,25,unsat,8.7991,unsat,9.6412,unsat,10.0404
ACASXU_run2a_4_6_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,10.9905,unsat,11.685,unsat,15.424
ACASXU_run2a_4_7_batch_2000_converted,prop_1,reluS-,unstable,33,unsat,13.9928,unsat,15.0498,unsat,15.7508
ACASXU_run2a_4_8_batch_2000_converted,prop_1,reluS-,unstable,34,unsat,11.5216,unsat,12.4884,unsat,15.3961
ACASXU_run2a_4_9_batch_2000_converted,prop_1,reluS-,unstable,39,unsat,14.8179,unsat,15.8903,unsat,16.0675
