onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable+,10,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable+,5,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable+,9,unsat,1.6,unsat,4.5,unsat,1.7
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable+,11,unsat,1.6,unsat,3.0,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable+,15,unsat,1.5,unsat,5.2,unsat,1.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable+,9,unsat,1.6,unsat,3.6,unsat,1.8
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable+,13,unsat,1.6,unsat,1.9,unsat,1.7
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable+,11,unsat,1.6,unsat,1.9,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable+,12,unsat,1.6,unsat,2.0,unsat,1.6
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable+,6,unsat,1.6,unsat,2.1,unsat,1.8
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable+,3,unsat,1.7,unsat,2.0,unsat,1.8
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable+,5,unsat,1.6,unsat,1.9,unsat,1.7
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable+,8,unsat,1.5,unsat,2.3,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable+,11,unsat,1.7,unsat,13.3,unsat,1.8
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable+,6,unsat,1.6,unsat,2.9,unsat,1.7
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable+,7,unsat,1.7,unsat,5.6,unsat,1.9
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable+,5,unsat,1.7,unsat,3.0,unsat,1.9
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable+,3,unsat,1.7,unsat,5.5,unsat,1.9
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable+,3,unsat,1.6,unsat,1.8,unsat,1.7
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable+,5,unsat,1.5,unsat,1.9,unsat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable+,8,unsat,1.6,unsat,2.8,unsat,1.8
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable+,7,unsat,1.6,unsat,2.1,unsat,1.7
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable+,8,unsat,1.6,unsat,4.2,unsat,1.8
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable+,13,unsat,1.8,unsat,13.7,unsat,2.0
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable+,6,unsat,1.8,unsat,3.9,unsat,2.0
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable+,5,unsat,1.7,unsat,5.4,unsat,1.9
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable+,6,unsat,1.7,unsat,5.1,unsat,1.9
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable+,3,unsat,1.7,unsat,2.3,unsat,1.8
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable+,2,unsat,1.6,unsat,1.8,unsat,1.9
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable+,9,unsat,1.6,unsat,7.4,unsat,1.7
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable+,15,unsat,1.6,unsat,4.6,unsat,1.7
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable+,6,unsat,1.7,unsat,2.4,unsat,1.8
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable+,1,unsat,2.0,unsat,3.3,unsat,2.2
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable+,9,unsat,1.8,unsat,8.3,unsat,1.9
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable+,6,unsat,1.7,unsat,3.4,unsat,1.9
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable+,5,unsat,2.4,unsat,18.2,unsat,2.8
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable+,3,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable+,3,unsat,1.6,unsat,1.7,unsat,1.7
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable+,6,unsat,1.6,unsat,2.1,unsat,1.7
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable+,7,unsat,1.5,unsat,2.0,unsat,1.7
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable+,10,unsat,1.6,unsat,5.7,unsat,1.7
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable+,5,unsat,1.7,unsat,4.3,unsat,1.8
