onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable-,22,unsat,1.5,unsat,5.5,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable-,19,unsat,1.5,unsat,8.5,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable-,14,unsat,1.6,unsat,10.1,unsat,1.7
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable-,15,unsat,1.6,unsat,8.9,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable-,13,unsat,1.6,unsat,2.4,unsat,1.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable-,15,unsat,1.6,unsat,9.2,unsat,1.7
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable-,14,unsat,1.5,unsat,4.0,unsat,1.7
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable-,18,unsat,1.6,unsat,3.6,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable-,13,unsat,1.6,unsat,1.8,unsat,1.7
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable-,19,unsat,1.6,unsat,24.4,unsat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable-,20,unsat,1.7,unsat,17.9,unsat,1.8
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable-,24,unsat,1.6,unsat,37.6,unsat,1.8
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable-,22,unsat,1.6,unsat,5.5,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable-,12,unsat,1.7,unsat,10.6,unsat,1.8
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable-,13,unsat,1.6,unsat,9.9,unsat,1.8
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable-,8,unsat,1.8,unsat,8.8,unsat,2.0
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable-,8,unsat,1.7,unsat,10.4,unsat,1.9
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable-,8,unsat,1.8,unsat,14.0,unsat,2.1
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable-,29,unsat,1.6,unsat,75.6,unsat,1.7
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable-,22,unsat,1.6,unsat,22.1,unsat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable-,20,unsat,1.6,unsat,18.6,unsat,1.8
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable-,21,unsat,1.6,unsat,14.3,unsat,1.7
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable-,18,unsat,1.6,unsat,20.7,unsat,1.8
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable-,12,unsat,2.1,unsat,6.3,unsat,2.0
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable-,7,unsat,1.8,unsat,4.9,unsat,2.0
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable-,12,unsat,1.8,unsat,8.9,unsat,1.9
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable-,8,unsat,1.7,unsat,7.5,unsat,1.9
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable-,26,unsat,1.6,unsat,136.51,unsat,1.9
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable-,24,unsat,1.6,unsat,31.7,unsat,1.9
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable-,17,unsat,1.6,unsat,10.1,unsat,1.7
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable-,15,unsat,1.6,unsat,6.3,unsat,1.8
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable-,19,unsat,1.6,unsat,16.4,unsat,1.8
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable-,16,unsat,2.1,unsat,13.7,unsat,2.4
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable-,8,unsat,1.8,unsat,4.2,unsat,2.0
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable-,10,unsat,1.7,unsat,3.0,unsat,1.9
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable-,6,unsat,2.4,unsat,11.8,unsat,2.9
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable-,29,unsat,1.5,unsat,37.9,unsat,1.7
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable-,30,unsat,1.6,unsat,45.3,unsat,1.7
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable-,14,unsat,1.6,unsat,8.5,unsat,1.7
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable-,26,unsat,1.6,unsat,13.2,unsat,1.7
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable-,15,unsat,1.6,unsat,9.4,unsat,1.7
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable-,9,unsat,1.7,unsat,5.9,unsat,1.9
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable-,7,unsat,1.7,unsat,2.6,unsat,1.9
ACASXU_run2a_5_8_batch_2000_converted,prop_1,random,stable-,10,unsat,1.6,unsat,6.0,unsat,1.9
ACASXU_run2a_5_9_batch_2000_converted,prop_1,random,stable-,11,unsat,1.7,unsat,6.1,unsat,2.0
ACASXU_run2a_1_1_batch_2000_converted,prop_2,random,stable-,22,unsat,1.6,unsat,32.8,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_2,random,stable-,19,sat,1.5,sat,1.9,sat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_2,random,stable-,14,sat,1.7,sat,36.7,sat,1.8
ACASXU_run2a_1_4_batch_2000_converted,prop_2,random,stable-,15,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_2,random,stable-,13,sat,1.5,sat,4.9,sat,1.6
ACASXU_run2a_1_6_batch_2000_converted,prop_2,random,stable-,15,sat,1.6,sat,2.0,sat,1.9
ACASXU_run2a_1_7_batch_2000_converted,prop_2,random,stable-,14,unsat,1.6,unsat,20.2,unsat,1.8
ACASXU_run2a_1_8_batch_2000_converted,prop_2,random,stable-,18,unsat,1.7,unsat,31.5,unsat,2.0
ACASXU_run2a_1_9_batch_2000_converted,prop_2,random,stable-,13,unsat,1.7,unsat,32.3,unsat,1.8
ACASXU_run2a_2_1_batch_2000_converted,prop_2,random,stable-,19,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_2,random,stable-,20,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_3_batch_2000_converted,prop_2,random,stable-,24,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_4_batch_2000_converted,prop_2,random,stable-,22,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_2,random,stable-,12,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_6_batch_2000_converted,prop_2,random,stable-,13,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_7_batch_2000_converted,prop_2,random,stable-,8,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_2_8_batch_2000_converted,prop_2,random,stable-,8,sat,1.6,sat,1.6,sat,1.7
ACASXU_run2a_2_9_batch_2000_converted,prop_2,random,stable-,8,sat,1.6,sat,1.8,sat,1.7
ACASXU_run2a_3_1_batch_2000_converted,prop_2,random,stable-,29,sat,1.5,sat,1.7,sat,1.6
ACASXU_run2a_3_2_batch_2000_converted,prop_2,random,stable-,22,sat,1.5,sat,1.6,sat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_2,random,stable-,20,unsat,4.4,timeout,150,unsat,7.5
ACASXU_run2a_3_4_batch_2000_converted,prop_2,random,stable-,21,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_3_5_batch_2000_converted,prop_2,random,stable-,18,sat,1.5,sat,1.7,sat,1.7
ACASXU_run2a_3_6_batch_2000_converted,prop_2,random,stable-,12,sat,1.5,sat,1.6,sat,1.6
ACASXU_run2a_3_7_batch_2000_converted,prop_2,random,stable-,7,sat,1.6,sat,1.7,sat,1.7
ACASXU_run2a_3_8_batch_2000_converted,prop_2,random,stable-,12,sat,1.5,sat,1.6,sat,1.7
ACASXU_run2a_3_9_batch_2000_converted,prop_2,random,stable-,8,sat,1.5,sat,1.6,sat,1.7
