onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,1.5,unsat,2.4,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,1.5,unsat,6.3,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,1.5,unsat,2.1,unsat,1.7
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,1.6,unsat,7.3,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,1.5,unsat,1.9,unsat,1.6
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,1.6,unsat,6.2,unsat,1.7
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS-,stable-,14,unsat,1.5,unsat,2.6,unsat,1.6
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,1.6,unsat,5.0,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,1.6,unsat,1.8,unsat,1.7
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,1.6,error,-1,unsat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,1.7,unsat,16.7,unsat,1.9
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS-,stable-,24,unsat,1.6,unsat,16.0,unsat,1.7
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,1.6,unsat,3.2,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,1.7,unsat,5.9,unsat,1.8
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS-,stable-,13,unsat,1.6,unsat,3.2,unsat,1.7
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,1.7,unsat,5.9,unsat,1.9
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,1.7,unsat,8.5,unsat,1.9
ACASXU_run2a_2_9_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,1.8,unsat,7.9,unsat,2.0
ACASXU_run2a_3_1_batch_2000_converted,prop_1,reluS-,stable-,29,unsat,1.6,unsat,34.3,unsat,1.7
ACASXU_run2a_3_2_batch_2000_converted,prop_1,reluS-,stable-,22,unsat,1.5,unsat,8.5,unsat,1.7
ACASXU_run2a_3_3_batch_2000_converted,prop_1,reluS-,stable-,20,unsat,1.5,unsat,12.0,unsat,1.8
ACASXU_run2a_3_4_batch_2000_converted,prop_1,reluS-,stable-,21,unsat,1.5,unsat,5.4,unsat,1.7
ACASXU_run2a_3_5_batch_2000_converted,prop_1,reluS-,stable-,18,unsat,1.6,error,-1,unsat,1.8
ACASXU_run2a_3_6_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,1.8,error,-1,unsat,2.0
ACASXU_run2a_3_7_batch_2000_converted,prop_1,reluS-,stable-,7,unsat,1.8,unsat,2.0,unsat,2.0
ACASXU_run2a_3_8_batch_2000_converted,prop_1,reluS-,stable-,12,unsat,1.7,error,-1,unsat,1.9
ACASXU_run2a_3_9_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,1.6,unsat,2.6,unsat,1.8
ACASXU_run2a_4_1_batch_2000_converted,prop_1,reluS-,stable-,26,unsat,1.6,unsat,141.48,unsat,1.8
ACASXU_run2a_4_2_batch_2000_converted,prop_1,reluS-,stable-,24,unsat,1.6,unsat,20.3,unsat,1.9
ACASXU_run2a_4_3_batch_2000_converted,prop_1,reluS-,stable-,17,unsat,1.6,timeout,150,unsat,1.7
ACASXU_run2a_4_4_batch_2000_converted,prop_1,reluS-,stable-,15,unsat,1.6,unsat,3.1,unsat,1.7
ACASXU_run2a_4_5_batch_2000_converted,prop_1,reluS-,stable-,19,unsat,1.6,error,-1,unsat,1.8
ACASXU_run2a_4_6_batch_2000_converted,prop_1,reluS-,stable-,16,unsat,2.1,unsat,8.3,unsat,2.3
ACASXU_run2a_4_7_batch_2000_converted,prop_1,reluS-,stable-,8,unsat,1.8,unsat,3.3,unsat,2.0
ACASXU_run2a_4_8_batch_2000_converted,prop_1,reluS-,stable-,10,unsat,1.7,timeout,150,unsat,1.8
ACASXU_run2a_4_9_batch_2000_converted,prop_1,reluS-,stable-,6,unsat,2.6,unsat,68.98,unsat,2.8
ACASXU_run2a_5_1_batch_2000_converted,prop_1,reluS-,stable-,29,unsat,1.5,error,-1,unsat,1.7
ACASXU_run2a_5_2_batch_2000_converted,prop_1,reluS-,stable-,30,unsat,1.6,error,-1,unsat,1.7
