onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,unstable,18,unsat,1.5,unsat,1.7,unsat,1.7
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,unstable,26,unsat,1.5,unsat,1.9,unsat,1.7
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,unstable,27,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,unstable,24,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,unstable,22,unsat,1.5,unsat,1.7,unsat,1.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,unstable,26,unsat,1.5,unsat,2.0,unsat,1.8
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,unstable,23,unsat,1.5,unsat,1.7,unsat,1.7
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,unstable,21,unsat,1.5,unsat,1.8,unsat,1.7
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,unstable,25,unsat,1.5,unsat,1.7,unsat,1.6
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,unstable,25,unsat,1.6,unsat,1.8,unsat,1.7
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,unstable,27,unsat,1.6,unsat,4.0,unsat,1.8
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,unstable,21,unsat,1.6,unsat,1.9,unsat,1.8
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,unstable,20,unsat,1.6,unsat,1.7,unsat,1.7
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,unstable,27,unsat,1.7,unsat,3.1,unsat,1.8
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,unstable,31,unsat,1.6,unsat,1.9,unsat,1.8
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,unstable,35,unsat,1.7,unsat,2.6,unsat,2.0
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,unstable,37,unsat,1.7,unsat,2.6,unsat,2.0
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,unstable,39,unsat,1.7,unsat,3.4,unsat,2.2
