onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,stable-,245,unsat,2.8405628204345703,unsat,2.9976398944854736,unsat,3.0099570751190186
mnist-net_256x2,prop_1_0.03,reluS-,stable-,241,sat,2.2853503227233887,sat,2.4329442977905273,sat,2.457277536392212
mnist-net_256x2,prop_2_0.03,reluS-,stable-,243,sat,6.044754981994629,sat,7.089096546173096,sat,6.360823631286621
mnist-net_256x2,prop_3_0.03,reluS-,stable-,247,unsat,2.82918381690979,unsat,2.9703736305236816,unsat,2.974409580230713
mnist-net_256x2,prop_4_0.03,reluS-,stable-,240,unsat,4.4980857372283936,unsat,4.658849716186523,unsat,4.6741554737091064
mnist-net_256x2,prop_5_0.03,reluS-,stable-,242,unsat,2.7896170616149902,unsat,2.9910340309143066,unsat,2.950935125350952
mnist-net_256x2,prop_6_0.03,reluS-,stable-,239,unsat,6.79047966003418,unsat,7.877973318099976,unsat,7.3614678382873535
mnist-net_256x2,prop_7_0.03,reluS-,stable-,249,unsat,2.9334142208099365,unsat,3.1032557487487793,unsat,3.0794622898101807
mnist-net_256x2,prop_8_0.03,reluS-,stable-,247,unsat,6.540472030639648,unsat,7.748960971832275,unsat,7.069616079330444
mnist-net_256x2,prop_9_0.03,reluS-,stable-,250,unsat,2.8394222259521484,unsat,2.981722593307495,unsat,2.9689176082611084
mnist-net_256x2,prop_10_0.03,reluS-,stable-,245,unsat,2.837177038192749,unsat,2.9584574699401855,unsat,2.978991746902466
mnist-net_256x2,prop_11_0.03,reluS-,stable-,247,unsat,2.8281641006469727,unsat,2.967505931854248,unsat,2.969487428665161
mnist-net_256x2,prop_12_0.03,reluS-,stable-,251,sat,2.03617262840271,sat,2.160238265991211,sat,2.1695868968963623
mnist-net_256x2,prop_13_0.03,reluS-,stable-,253,unsat,2.8435633182525635,unsat,3.020106554031372,unsat,2.9752745628356934
mnist-net_256x2,prop_14_0.03,reluS-,stable-,246,unsat,2.8163902759552,unsat,2.975318670272827,unsat,2.979006052017212
mnist-net_256x2,prop_0_0.05,reluS-,stable-,241,sat,7.93331241607666,sat,22.58942151069641,sat,8.809816598892212
mnist-net_256x2,prop_1_0.05,reluS-,stable-,236,sat,2.3169403076171875,sat,2.4352643489837646,sat,2.4216344356536865
mnist-net_256x2,prop_2_0.05,reluS-,stable-,240,sat,2.2900032997131348,sat,2.4265389442443848,sat,2.4392685890197754
mnist-net_256x2,prop_3_0.05,reluS-,stable-,247,unsat,4.50220251083374,unsat,4.656752824783325,unsat,4.642314434051514
mnist-net_256x2,prop_4_0.05,reluS-,stable-,239,sat,2.3016648292541504,sat,2.4448909759521484,sat,2.4117603302001953
mnist-net_256x2,prop_5_0.05,reluS-,stable-,241,sat,2.304029703140259,sat,2.37196683883667,sat,2.4107444286346436
mnist-net_256x2,prop_6_0.05,reluS-,stable-,225,sat,2.2743406295776367,sat,2.4088897705078125,sat,2.4463095664978027
mnist-net_256x2,prop_7_0.05,reluS-,stable-,248,unsat,2.8630759716033936,unsat,2.9480443000793457,unsat,2.936162233352661
