onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,2.8690810203552246,unsat,4.682877779006958,unsat,2.9766342639923096
mnist-net_256x2,prop_1_0.03,random,unstable,12,sat,2.292754888534546,sat,2.4253132343292236,sat,2.3583054542541504
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,6.080237627029419,sat,7.698774576187134,sat,6.108497142791748
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,2.8817858695983887,unsat,2.928071975708008,unsat,2.918661594390869
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,4.499940872192383,unsat,4.751788854598999,unsat,4.658398389816284
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,2.818948984146118,unsat,4.708554029464722,unsat,2.9206647872924805
mnist-net_256x2,prop_6_0.03,random,unstable,15,unsat,6.8479766845703125,unsat,7.8880298137664795,unsat,7.044400930404663
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,2.9922144412994385,unsat,2.899465322494507,unsat,2.9954965114593506
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,6.573778867721558,unsat,7.667696952819824,unsat,6.831672430038452
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,2.8743486404418945,unsat,2.9209792613983154,unsat,2.888916254043579
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,2.843282699584961,unsat,4.678450345993042,unsat,2.9071366786956787
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,2.838515043258667,unsat,4.662217617034912,unsat,2.926098108291626
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,2.0399882793426514,sat,2.0952913761138916,sat,2.08967924118042
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,2.8056273460388184,unsat,2.9100582599639893,unsat,2.914706230163574
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,2.7959048748016357,unsat,2.9193429946899414,unsat,2.9144837856292725
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,7.905712127685547,sat,9.980881214141846,sat,8.68914532661438
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,2.353255033493042,sat,2.3448593616485596,sat,2.3899667263031006
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,2.2843177318573,sat,2.3682427406311035,sat,2.3386502265930176
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,4.499504327774048,unsat,7.505831241607666,unsat,4.5986902713775635
mnist-net_256x2,prop_4_0.05,random,unstable,16,sat,2.270238161087036,sat,2.3726894855499268,sat,2.355593681335449
mnist-net_256x2,prop_5_0.05,random,unstable,14,sat,2.2974722385406494,sat,2.363403558731079,sat,2.388193368911743
mnist-net_256x2,prop_6_0.05,random,unstable,31,sat,2.303210973739624,sat,2.3548905849456787,sat,2.377958059310913
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,2.774494171142578,unsat,4.685720443725586,unsat,2.9183948040008545
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,2.2991108894348145,sat,2.373089551925659,sat,2.4175875186920166
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,6.800981521606445,unsat,7.579352140426636,unsat,7.053314208984375
mnist-net_256x2,prop_10_0.05,random,unstable,14,unsat,7.1572301387786865,unsat,7.860273361206055,unsat,7.323606491088867
mnist-net_256x2,prop_11_0.05,random,unstable,8,unsat,6.67546820640564,unsat,7.154253959655762,unsat,7.041857004165649
mnist-net_256x2,prop_12_0.05,random,unstable,8,sat,2.0541956424713135,sat,2.0865871906280518,sat,2.103072166442871
mnist-net_256x2,prop_13_0.05,random,unstable,5,unsat,4.547506809234619,unsat,4.768465757369995,unsat,4.637201547622681
mnist-net_256x2,prop_14_0.05,random,unstable,10,unsat,6.581508159637451,unsat,7.252917051315308,unsat,7.090397119522095
mnist-net_256x4,prop_0_0.03,random,unstable,26,unsat,3.144029378890991,unsat,5.414313316345215,unsat,3.187990427017212
mnist-net_256x4,prop_1_0.03,random,unstable,31,sat,2.1125550270080566,sat,2.2961525917053223,sat,2.286858558654785
mnist-net_256x4,prop_2_0.03,random,unstable,31,unsat,4.743206024169922,timeout,330,unsat,4.739593267440796
mnist-net_256x4,prop_3_0.03,random,unstable,17,unsat,3.039947271347046,unsat,3.0369184017181396,unsat,3.166112184524536
mnist-net_256x4,prop_4_0.03,random,unstable,33,unsat,2.9885222911834717,unsat,192.96869254112244,unsat,3.060615062713623
mnist-net_256x4,prop_5_0.03,random,unstable,31,unsat,2.9965062141418457,unsat,5.12047004699707,unsat,3.03340482711792
mnist-net_256x4,prop_6_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,unstable,21,unsat,3.0587003231048584,unsat,15.682271242141724,unsat,3.052628755569458
mnist-net_256x4,prop_8_0.03,random,unstable,29,unsat,30.883031606674194,timeout,330,unsat,34.21943283081055
mnist-net_256x4,prop_9_0.03,random,unstable,23,unsat,2.9732022285461426,unsat,56.35786747932434,unsat,3.047288179397583
mnist-net_256x4,prop_10_0.03,random,unstable,21,unsat,2.9184155464172363,unsat,5.199004650115967,unsat,3.0178918838500977
mnist-net_256x4,prop_11_0.03,random,unstable,24,unsat,2.9631850719451904,unsat,3.0571506023406982,unsat,3.0513200759887695
mnist-net_256x4,prop_12_0.03,random,unstable,16,unsat,2.956028461456299,unsat,11.747002363204956,unsat,3.063253402709961
mnist-net_256x4,prop_13_0.03,random,unstable,25,unsat,3.0371062755584717,unsat,5.198371171951294,unsat,3.0770254135131836
mnist-net_256x4,prop_14_0.03,random,unstable,23,unsat,3.051271915435791,unsat,4.786484956741333,unsat,3.1549758911132812
mnist-net_256x4,prop_0_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,unstable,52,sat,2.117001533508301,sat,2.2172763347625732,sat,2.1972296237945557
mnist-net_256x4,prop_2_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,unstable,33,unsat,22.615206480026245,timeout,330,unsat,22.333553314208984
mnist-net_256x4,prop_4_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_6_0.05,random,unstable,80,sat,2.1836047172546387,sat,2.257258653640747,sat,2.2286972999572754
mnist-net_256x4,prop_7_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,random,unstable,42,sat,2.117764472961426,sat,2.251943349838257,sat,2.263211488723755
mnist-net_256x4,prop_9_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,random,unstable,39,unsat,134.7250270843506,timeout,330,unsat,127.64609861373901
mnist-net_256x4,prop_12_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_0_0.03,random,unstable,39,unsat,3.0845019817352295,unsat,5.121888875961304,unsat,3.1445188522338867
mnist-net_256x6,prop_1_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,random,unstable,51,unsat,4.782313346862793,timeout,330,unsat,10.4264817237854
mnist-net_256x6,prop_3_0.03,random,unstable,29,unsat,3.093656301498413,unsat,5.048253297805786,unsat,3.144151210784912
mnist-net_256x6,prop_4_0.03,random,unstable,30,unsat,3.0273971557617188,unsat,5.431021690368652,unsat,3.184048652648926
mnist-net_256x6,prop_5_0.03,random,unstable,43,unsat,3.0548791885375977,timeout,330,unsat,9.055152654647827
mnist-net_256x6,prop_6_0.03,random,unstable,59,sat,2.2011656761169434,sat,2.2736904621124268,sat,2.247396469116211
mnist-net_256x6,prop_7_0.03,random,unstable,25,unsat,35.0940842628479,timeout,330,unsat,40.97015023231506
mnist-net_256x6,prop_8_0.03,random,unstable,20,unsat,3.1371355056762695,unsat,5.551326751708984,unsat,3.3064258098602295
mnist-net_256x6,prop_9_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,random,unstable,27,unsat,3.100933074951172,unsat,6.563163757324219,unsat,3.1451172828674316
mnist-net_256x6,prop_11_0.03,random,unstable,33,unsat,3.057614326477051,unsat,39.47192454338074,unsat,3.196073532104492
mnist-net_256x6,prop_12_0.03,random,unstable,18,unsat,5.609607696533203,timeout,330,unsat,5.89509916305542
mnist-net_256x6,prop_13_0.03,random,unstable,28,unsat,3.0539867877960205,timeout,330,unsat,8.552536010742188
mnist-net_256x6,prop_14_0.03,random,unstable,28,unsat,3.1863532066345215,unsat,5.178363561630249,unsat,3.274263381958008
mnist-net_256x6,prop_0_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_1_0.05,random,unstable,67,sat,2.4738197326660156,sat,2.5391156673431396,sat,2.52628493309021
mnist-net_256x6,prop_2_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_4_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_5_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
