onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,stable+,3,unsat,24.489,unsat,25.568,unsat,26.605
mnist-net_256x2,prop_1_0.03,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,reluS+,stable+,2,sat,74.639,sat,82.341,sat,67.462
mnist-net_256x2,prop_3_0.03,reluS+,stable+,5,unsat,18.274,unsat,11.29,unsat,18.695
mnist-net_256x2,prop_4_0.03,reluS+,stable+,3,unsat,42.793,unsat,130.212,unsat,23.373
mnist-net_256x2,prop_5_0.03,reluS+,stable+,3,unsat,18.233,unsat,19.296,unsat,25.505
mnist-net_256x2,prop_6_0.03,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,reluS+,stable+,2,unsat,16.099,unsat,10.455,unsat,10.677
mnist-net_256x2,prop_8_0.03,reluS+,stable+,2,unsat,34.331,unsat,65.628,unsat,36.853
mnist-net_256x2,prop_9_0.03,reluS+,stable+,1,unsat,24.626,unsat,17.067,unsat,18.761
mnist-net_256x2,prop_10_0.03,reluS+,stable+,2,unsat,16.399,unsat,11.522,unsat,23.281
mnist-net_256x2,prop_11_0.03,reluS+,stable+,3,unsat,22.869,unsat,11.456,unsat,18.834
mnist-net_256x2,prop_12_0.03,reluS+,stable+,SPLIT_FAILED,sat,145.995,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,reluS+,stable+,1,unsat,16.164,unsat,10.706,unsat,10.472
mnist-net_256x2,prop_14_0.03,reluS+,stable+,3,unsat,16.42,unsat,15.913,unsat,15.752
mnist-net_256x2,prop_0_0.05,reluS+,stable+,SPLIT_FAILED,sat,18.062,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,reluS+,stable+,SPLIT_FAILED,sat,17.923,-1,-1,-1,-1, 
mnist-net_256x2,prop_2_0.05,reluS+,stable+,SPLIT_FAILED,sat,18.105,-1,-1,-1,-1, 
mnist-net_256x2,prop_3_0.05,reluS+,stable+,2,unsat,44.968,unsat,48.459,unsat,41.1
mnist-net_256x2,prop_4_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_5_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_6_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,reluS+,stable+,2,unsat,16.739,unsat,23.414,unsat,17.185
mnist-net_256x2,prop_8_0.05,reluS+,stable+,SPLIT_FAILED,sat,16.839,-1,-1,-1,-1, 
mnist-net_256x2,prop_9_0.05,reluS+,stable+,1,unsat,168.137,unsat,232.051,unsat,198.835
mnist-net_256x2,prop_10_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_11_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_12_0.05,reluS+,stable+,SPLIT_FAILED,sat,16.663,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.05,reluS+,stable+,SPLIT_FAILED,unsat,35.867,-1,-1,-1,-1, 
mnist-net_256x2,prop_14_0.05,reluS+,stable+,2,unsat,48.678,unsat,120.086,unsat,99.341
mnist-net_256x4,prop_0_0.03,reluS+,stable+,19,unsat,44.663,timeout,330,unsat,27.855
mnist-net_256x4,prop_1_0.03,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,reluS+,stable+,16,unsat,148.14,timeout,330,unsat,119.914
mnist-net_256x4,prop_3_0.03,reluS+,stable+,21,unsat,20.691,timeout,330,unsat,18.355
