onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable-,245,unsat,22.461,unsat,287.06,unsat,115.292
mnist-net_256x2,prop_1_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,random,stable-,243,sat,74.87,timeout,330,sat,168.543
mnist-net_256x2,prop_3_0.03,random,stable-,247,unsat,17.924,unsat,234.301,unsat,70.653
mnist-net_256x2,prop_4_0.03,random,stable-,240,unsat,40.396,timeout,330,unsat,134.235
mnist-net_256x2,prop_5_0.03,random,stable-,242,unsat,17.85,unsat,197.277,unsat,88.222
mnist-net_256x2,prop_6_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,random,stable-,249,unsat,15.84,unsat,35.871,unsat,34.275
mnist-net_256x2,prop_8_0.03,random,stable-,247,unsat,31.817,timeout,330,unsat,257.092
mnist-net_256x2,prop_9_0.03,random,stable-,250,unsat,24.103,unsat,292.351,unsat,65.191
mnist-net_256x2,prop_10_0.03,random,stable-,245,unsat,16.499,unsat,161.042,unsat,90.99
mnist-net_256x2,prop_11_0.03,random,stable-,247,unsat,16.206,unsat,160.298,unsat,78.329
mnist-net_256x2,prop_12_0.03,random,stable-,251,sat,144.709,sat,278.868,sat,37.854
mnist-net_256x2,prop_13_0.03,random,stable-,253,unsat,15.798,unsat,35.411,unsat,35.14
mnist-net_256x2,prop_14_0.03,random,stable-,246,unsat,16.265,unsat,157.497,unsat,58.798
mnist-net_256x2,prop_0_0.05,random,stable-,241,sat,17.684,sat,208.883,sat,39.149
mnist-net_256x2,prop_1_0.05,random,stable-,236,sat,17.212,sat,134.116,sat,37.085
mnist-net_256x2,prop_2_0.05,random,stable-,240,sat,17.437,timeout,330,sat,42.29
mnist-net_256x2,prop_3_0.05,random,stable-,247,unsat,38.393,timeout,330,unsat,103.368
mnist-net_256x2,prop_4_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_5_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_6_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,random,stable-,248,unsat,16.604,unsat,127.368,unsat,62.758
mnist-net_256x2,prop_8_0.05,random,stable-,243,sat,16.875,sat,173.95,sat,38.783
mnist-net_256x2,prop_9_0.05,random,stable-,247,unsat,169.059,timeout,330,timeout,300
mnist-net_256x2,prop_10_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_11_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_12_0.05,random,stable-,248,sat,16.168,sat,217.716,sat,35.447
mnist-net_256x2,prop_13_0.05,random,stable-,251,unsat,35.169,timeout,330,unsat,275.606
mnist-net_256x2,prop_14_0.05,random,stable-,244,unsat,54.748,sat,242.278,timeout,300
mnist-net_256x4,prop_0_0.03,random,stable-,211,unsat,45.507,unsat,186.888,unsat,155.544
mnist-net_256x4,prop_1_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,stable-,209,unsat,115.442,timeout,330,timeout,300
mnist-net_256x4,prop_3_0.03,random,stable-,218,unsat,20.409,unsat,37.463,unsat,36.605
mnist-net_256x4,prop_4_0.03,random,stable-,212,unsat,58.587,unsat,208.741,unsat,123.945
mnist-net_256x4,prop_5_0.03,random,stable-,209,unsat,22.793,unsat,46.65,unsat,48.626
mnist-net_256x4,prop_6_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,stable-,223,unsat,58.09,unsat,251.509,unsat,121.067
mnist-net_256x4,prop_8_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.03,random,stable-,219,unsat,58.819,timeout,330,unsat,126.542
mnist-net_256x4,prop_10_0.03,random,stable-,220,unsat,36.051,unsat,267.858,unsat,77.001
mnist-net_256x4,prop_11_0.03,random,stable-,213,unsat,20.458,unsat,37.325,unsat,36.176
mnist-net_256x4,prop_12_0.03,random,stable-,229,unsat,66.484,unsat,307.269,unsat,131.523
mnist-net_256x4,prop_13_0.03,random,stable-,222,unsat,20.974,unsat,38.344,unsat,37.561
mnist-net_256x4,prop_14_0.03,random,stable-,215,unsat,37.345,unsat,188.819,unsat,60.7
mnist-net_256x4,prop_0_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,stable-,194,sat,247.163,timeout,330,timeout,300
mnist-net_256x4,prop_2_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_4_0.05,random,stable-,205,sat,120.332,timeout,330,sat,277.237
mnist-net_256x4,prop_5_0.05,random,stable-,195,sat,257.405,timeout,330,sat,254.845
mnist-net_256x4,prop_6_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,random,stable-,209,sat,164.705,timeout,330,sat,218.577
mnist-net_256x4,prop_10_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_12_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,random,stable-,213,sat,82.044,timeout,330,sat,192.693
mnist-net_256x4,prop_14_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_0_0.03,random,stable-,190,unsat,28.12,unsat,42.743,unsat,41.142
mnist-net_256x6,prop_1_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.03,random,stable-,201,unsat,27.552,unsat,43.914,unsat,43.06
mnist-net_256x6,prop_4_0.03,random,stable-,209,unsat,80.935,unsat,152.67,unsat,95.867
mnist-net_256x6,prop_5_0.03,random,stable-,202,unsat,180.742,timeout,330,unsat,154.987
mnist-net_256x6,prop_6_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_8_0.03,random,stable-,220,unsat,26.93,unsat,46.507,unsat,44.985
mnist-net_256x6,prop_9_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,random,stable-,215,unsat,158.288,timeout,330,unsat,198.635
mnist-net_256x6,prop_11_0.03,random,stable-,200,unsat,27.078,unsat,43.969,unsat,43.259
mnist-net_256x6,prop_12_0.03,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_13_0.03,random,stable-,217,unsat,38.89,unsat,67.633,unsat,63.054
mnist-net_256x6,prop_14_0.03,random,stable-,210,unsat,99.947,timeout,330,unsat,160.648
mnist-net_256x6,prop_0_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_1_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_4_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_5_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_6_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_8_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_9_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_11_0.05,random,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
